nuts,Winter Total Precipitation (mm) (1981 - 2010)
DE50,198.23535
DE60,199.17184
DE71,213.85474
DE72,215.78206
DE73,207.92287
DE80,161.64804
DE91,194.04459
BG41,172.16545
BG42,191.78625
CH01,369.56686
AT32,272.50064
AT33,266.15753
AT34,331.0914
BE10,199.41632
BE23,194.63542
BE24,204.92058
BE25,195.84222
BE31,210.11725
BE32,213.79572
BE33,256.40692
BE34,271.64334
BE35,245.65945
BG31,143.42883
BG32,145.97495
BG33,144.25912
BG34,171.7768
DE92,201.3091
DE93,193.82773
DE94,207.54387
CZ07,158.49725
CZ08,165.0128
AL01,449.57104
AL02,338.23978
AL03,345.88132
AT11,120.46437
AT12,151.62257
AT13,125.188034
AT21,192.55933
AT22,190.61133
AT31,242.79932
DK05,201.59238
BE21,204.03894
BE22,219.5452
ES43,216.06258
ES51,147.83992
ES52,115.67529
ES53,129.94434
ES61,197.30415
ES62,94.23808
ES63,297.90942
ES64,113.441956
CH02,337.30423
CH03,271.6621
CH04,271.8927
CH05,273.2645
CH06,340.82886
CH07,253.831
CY00,202.51208
CZ01,127.83002
CZ02,141.89815
CZ03,166.83282
CZ04,167.86244
CZ05,175.77753
CZ06,133.7675
DE40,156.24881
EL53,223.43156
EL54,423.32257
EL61,287.08594
EL62,425.87164
EL63,388.57086
ES70,85.62218
ITC1,237.3169
ITC2,306.28354
DE11,229.33388
DE12,255.19249
DE13,274.34933
DE14,238.26978
DE21,236.2258
DE22,213.04073
DE23,210.90622
DE24,221.51712
DE25,207.47789
DE26,220.02731
DE27,249.55829
DE30,153.58926
EL42,255.88795
LV00,159.9939
ME00,453.09253
MK00,198.12985
MT00,206.35942
NL11,206.44817
NL12,227.45456
EL64,277.25116
EL65,273.66147
ES11,417.04935
ES12,333.10995
ES13,277.1183
ES21,285.09265
ES22,218.16995
ES23,164.61484
ES24,134.64717
ES30,156.45117
IE05,299.66537
IE06,234.06645
IS00,427.76953
ITC3,280.2913
FI19,134.97191
FI1B,165.82822
FI1C,153.79532
DEA1,233.97699
DEA2,251.93694
DEA3,221.64517
DEA4,220.11223
DEA5,267.31
DEB1,220.83777
DEB2,240.07887
DEB3,203.81476
DEC0,256.50552
DED2,181.6353
DED4,200.50456
DED5,166.35095
DEE0,159.3434
DEF0,194.7992
DEG0,186.47008
DK01,174.43497
DK02,167.41635
DK03,194.72188
DK04,194.91728
ES41,192.55019
ES42,150.42926
HU23,139.4686
HU31,123.75072
HU32,136.16289
HU33,128.66754
IE04,335.405
EE00,157.90155
EL30,193.48265
EL41,299.64618
EL43,244.90813
EL51,228.26941
EL52,212.7674
FI20,152.24663
FR10,189.8864
FRB0,198.02681
FRC1,245.98193
FRC2,342.70184
FRD1,238.29028
FRD2,211.71521
FRE1,212.74988
FRE2,206.36946
FRF1,267.3689
NL13,196.6239
NL21,205.03006
NL22,205.2312
NL23,211.30948
NL31,201.17326
NL32,228.1591
ITG2,178.55095
ITH1,187.26216
ITH2,187.91289
FRI3,222.18262
FRJ1,226.3266
FRJ2,245.32758
FRK1,233.56299
FRK2,289.301
FRL0,209.06728
FRM0,219.03201
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,325.21054
TR32,325.09888
TR33,194.419
HR03,342.15686
HR02,185.91151
HU11,121.818985
HU12,123.20282
HU21,131.52452
HU22,128.31323
PT16,307.20676
PT17,240.8457
FRF2,248.48387
FRF3,272.57217
FRG0,217.05121
FRH0,260.7123
FRI1,247.83131
FRI2,268.47488
ITC4,194.63905
ITF1,253.04663
ITF2,248.83505
ITF3,335.03564
ITF4,195.72476
ITF5,216.3889
ITF6,310.03427
ITG1,223.16827
LT01,159.57268
LT02,160.81683
LU00,250.49585
PL22,166.56271
PL41,142.64542
PL42,164.27788
PT18,212.76277
PT20,0.0
PT30,190.65042
RO11,184.54678
RO12,146.53853
RO21,117.19921
RO22,116.58407
RO31,129.27753
RO32,123.47266
ITH3,192.81255
ITH4,261.09872
ITH5,211.78021
ITI1,238.8137
ITI2,235.79149
ITI3,213.7804
ITI4,284.7891
LI00,353.9285
FI1D,123.85543
TR82,221.63252
TR83,197.29652
TR90,288.2403
TRA1,183.86366
TRA2,141.54237
PL43,154.34262
PL51,165.5193
PL52,147.0061
PL61,137.31995
PL62,156.01288
PL63,159.75471
PL71,142.21246
PL72,136.08864
PL81,139.19478
PL82,164.9835
PL84,144.92073
PL91,143.21976
PL92,140.58765
PT11,369.96994
PT15,213.68918
TRB1,278.9703
TRB2,243.17287
TRC1,281.48795
RS12,143.70938
RS21,185.33873
RS22,166.02959
SE11,142.56464
SE12,138.76407
NL33,208.99203
NL34,197.1824
NL41,202.91777
