nuts,Winter Total Precipitation (mm) ensemble median - RCP8.5 - (2041 - 2070)
DE50,212.3283
DE60,218.8036
DE71,242.85722
DE72,243.90875
DE73,234.03915
DE80,183.56905
DE91,214.96072
BG41,197.73824
BG42,206.92845
CH01,415.99142
AT32,301.86542
AT33,289.74942
AT34,363.21027
BE10,224.58977
BE23,214.47235
BE24,230.58994
BE25,218.24725
BE31,237.47998
BE32,238.85553
BE33,287.90585
BE34,298.92578
BE35,275.03513
BG31,165.7782
BG32,170.59383
BG33,168.55695
BG34,196.62796
DE92,218.54181
DE93,210.8385
DE94,225.32935
CZ07,174.08942
CZ08,181.61493
AL01,479.72995
AL02,354.90366
AL03,365.69638
AT11,141.61292
AT12,172.67888
AT13,143.8096
AT21,215.35631
AT22,214.50124
AT31,272.0129
DK05,217.39272
BE21,226.56212
BE22,248.80798
ES43,200.11665
ES51,138.07549
ES52,103.87733
ES53,125.86629
ES61,160.85056
ES62,79.89341
ES63,220.93896
ES64,90.969734
CH02,382.65967
CH03,312.34198
CH04,315.98074
CH05,304.72983
CH06,381.54483
CH07,272.6642
CY00,184.57298
CZ01,145.84914
CZ02,161.74251
CZ03,190.01334
CZ04,190.98233
CZ05,196.75105
CZ06,148.40514
DE40,177.69913
EL53,246.36778
EL54,436.11252
EL61,297.22147
EL62,433.62936
EL63,404.5908
ES70,3.6921813
ITC1,251.42743
ITC2,336.41718
DE11,258.21194
DE12,288.70685
DE13,312.88086
DE14,272.14996
DE21,263.11874
DE22,237.63554
DE23,237.42122
DE24,250.70715
DE25,234.82979
DE26,250.6673
DE27,281.90692
DE30,174.14145
EL42,257.6739
LV00,173.03284
ME00,497.8878
MK00,211.798
MT00,200.12651
NL11,225.63358
NL12,247.71637
EL64,291.3068
EL65,269.25006
ES11,442.63953
ES12,352.60168
ES13,307.8581
ES21,315.2475
ES22,242.74858
ES23,180.08774
ES24,135.58304
ES30,152.48615
IE05,315.23212
IE06,253.94283
IS00,457.78244
ITC3,282.93246
FI19,150.85402
FI1B,182.43062
FI1C,170.4693
DEA1,263.3014
DEA2,283.6379
DEA3,244.39241
DEA4,240.1084
DEA5,297.04468
DEB1,247.67618
DEB2,264.30115
DEB3,232.17635
DEC0,283.01868
DED2,203.00687
DED4,225.55656
DED5,188.05467
DEE0,177.26157
DEF0,212.80222
DEG0,209.2274
DK01,191.50137
DK02,184.22073
