nuts,Annual Maximum Consecutive Five-Day Precipitation (mm) (1981 - 2010)
DE50,54.087948
DE60,57.870724
DE71,58.955273
DE72,58.69246
DE73,57.50839
DE80,49.72599
DE91,54.692303
BG41,64.15595
BG42,73.7992
CH01,118.77804
AT32,98.188034
AT33,100.82439
AT34,110.85654
BE10,54.679493
BE23,54.522964
BE24,55.61425
BE25,55.4077
BE31,55.85122
BE32,56.091434
BE33,64.309235
BE34,65.3536
BE35,60.40163
BG31,65.6754
BG32,69.04889
BG33,65.59319
BG34,68.34246
DE92,54.58043
DE93,55.784004
DE94,56.754063
CZ07,69.78864
CZ08,74.75017
AL01,136.35477
AL02,98.27914
AL03,104.73444
AT11,62.193645
AT12,72.475
AT13,65.77552
AT21,94.84292
AT22,79.560135
AT31,91.124275
DK05,54.712566
BE21,55.184208
BE22,57.651882
ES43,82.51021
ES51,86.76919
ES52,78.42612
ES53,63.83502
ES61,78.53413
ES62,59.561317
ES63,100.30684
ES64,56.011936
CH02,101.5029
CH03,83.82917
CH04,87.89374
CH05,109.11043
CH06,117.38268
CH07,174.97775
CY00,63.194534
CZ01,62.23639
CZ02,61.18637
CZ03,66.9825
CZ04,60.195786
CZ05,63.845104
CZ06,61.476902
DE40,50.838303
EL53,71.36992
EL54,124.120705
EL61,100.768936
EL62,129.15866
EL63,112.612885
ES70,39.687466
ITC1,144.60323
ITC2,142.55695
DE11,67.074776
DE12,70.70318
DE13,77.22131
DE14,76.67417
DE21,89.51055
DE22,74.29436
DE23,65.41946
DE24,61.315422
DE25,63.30493
DE26,61.482307
DE27,86.56613
DE30,50.67738
EL42,68.911644
LV00,53.0399
ME00,147.49464
MK00,65.54067
MT00,74.890755
NL11,57.672474
NL12,62.900776
EL64,89.396706
EL65,84.888596
ES11,117.85344
ES12,96.06792
ES13,80.85839
ES21,80.93775
ES22,69.94369
ES23,58.97475
ES24,65.22838
ES30,58.979393
IE05,65.77945
IE06,55.779385
IS00,91.892624
ITC3,126.49716
FI19,50.664238
FI1B,53.386005
FI1C,51.885498
DEA1,59.080853
DEA2,64.15913
DEA3,58.153103
DEA4,58.009026
DEA5,66.13973
DEB1,59.01782
DEB2,60.43439
DEB3,55.963287
DEC0,65.104095
DED2,62.625282
DED4,63.329784
DED5,54.47737
DEE0,50.455353
DEF0,55.34722
DEG0,56.113518
DK01,56.050014
DK02,51.962902
DK03,52.170444
DK04,53.652386
ES41,66.41667
ES42,60.474243
HU23,58.569447
HU31,58.968105
HU32,56.601944
HU33,53.529587
IE04,67.76107
EE00,53.044537
EL30,71.565506
EL41,88.28871
EL43,66.46934
EL51,81.68998
EL52,80.07035
FI20,46.396423
FR10,49.07454
FRB0,54.478935
FRC1,68.66961
FRC2,90.39886
FRD1,58.97223
FRD2,53.191338
FRE1,55.952244
FRE2,52.171703
FRF1,72.531
NL13,53.288223
NL21,54.38207
NL22,54.042908
NL23,55.57411
NL31,54.06969
NL32,62.453915
ITG2,63.738808
ITH1,91.24114
ITH2,111.98275
FRI3,62.67909
FRJ1,110.09344
FRJ2,81.35553
FRK1,77.5877
FRK2,102.91489
FRL0,99.86321
FRM0,80.50643
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,92.037674
TR32,89.773766
TR33,57.618572
HR03,116.12452
HR02,70.22193
HU11,56.67145
HU12,57.376995
HU21,58.50993
HU22,60.818317
PT16,101.69681
PT17,76.81901
FRF2,63.254982
FRF3,71.59115
FRG0,58.390366
FRH0,63.949352
FRI1,74.95894
FRI2,76.31779
ITC4,113.76364
ITF1,84.61015
ITF2,80.22632
ITF3,104.099
ITF4,70.38656
ITF5,75.81841
ITF6,102.86008
ITG1,71.097244
LT01,57.829006
LT02,54.479702
LU00,61.536827
PL22,67.47934
PL41,53.666412
PL42,53.254772
PT18,75.796684
PT20,0.0
PT30,66.29294
RO11,69.34102
RO12,70.196236
RO21,74.138275
RO22,63.085587
RO31,69.44341
RO32,70.82574
ITH3,108.46284
ITH4,139.52348
ITH5,91.03491
ITI1,89.612625
ITI2,78.60156
ITI3,73.20091
ITI4,101.24972
LI00,119.7252
FI1D,48.4352
TR82,64.05772
TR83,62.73406
TR90,87.73366
TRA1,61.607754
TRA2,56.594757
PL43,52.94967
PL51,63.150787
PL52,63.091255
