nuts,Annual Maximum Consecutive Five-Day Precipitation (mm) ensemble median - RCP4.5 - (2011 - 2040)
DE50,55.349964
DE60,59.009163
DE71,60.180367
DE72,61.80897
DE73,60.525608
DE80,51.10008
DE91,56.179432
BG41,74.388435
BG42,82.09153
CH01,124.644646
AT32,107.33369
AT33,111.42274
AT34,117.40181
BE10,52.575653
BE23,53.81163
BE24,53.519783
BE25,54.998295
BE31,53.85336
BE32,54.254875
BE33,63.375393
BE34,64.79162
BE35,58.845238
BG31,76.19921
BG32,75.77675
BG33,68.41851
BG34,75.11875
DE92,55.244198
DE93,56.16636
DE94,59.110092
CZ07,69.05214
CZ08,74.60849
AL01,142.71758
AL02,108.80502
AL03,112.284355
AT11,68.508545
AT12,76.85685
AT13,70.31703
AT21,110.506165
AT22,87.99679
AT31,88.92071
DK05,55.601166
BE21,54.380093
BE22,55.908398
ES43,77.73824
ES51,95.648766
ES52,77.848915
ES53,64.957565
ES61,77.12743
ES62,64.002625
ES63,98.77892
ES64,58.59776
CH02,109.89241
CH03,90.55364
CH04,92.83396
CH05,114.58686
CH06,127.98974
CH07,175.37846
CY00,61.966015
CZ01,63.958748
CZ02,60.964462
CZ03,65.50593
CZ04,61.452286
CZ05,64.22462
CZ06,62.862064
DE40,54.178375
EL53,77.34095
EL54,133.75464
EL61,105.12341
EL62,137.34639
EL63,115.019226
ES70,30.812092
ITC1,149.09932
ITC2,146.1575
DE11,69.990326
DE12,71.82772
DE13,81.83498
DE14,82.23648
DE21,91.47075
DE22,73.02634
DE23,65.23413
DE24,60.55155
DE25,64.00212
DE26,62.30535
DE27,90.8042
DE30,53.6146
EL42,73.49934
LV00,55.95295
ME00,151.29414
MK00,71.35832
MT00,71.035065
NL11,60.399994
NL12,65.18158
EL64,93.95825
EL65,89.561264
ES11,116.89301
ES12,100.98895
ES13,84.97894
ES21,90.754944
ES22,81.14911
ES23,64.46637
ES24,72.95822
ES30,63.771854
IE05,67.31438
IE06,59.936317
IS00,100.49483
ITC3,137.01416
FI19,51.10233
FI1B,51.3669
FI1C,50.45116
DEA1,58.54723
DEA2,63.197777
DEA3,58.716183
DEA4,59.66621
DEA5,66.5623
DEB1,60.05958
DEB2,61.39306
DEB3,59.345295
DEC0,66.59115
DED2,65.28393
DED4,68.2069
DED5,56.46488
DEE0,52.626907
DEF0,56.75374
DEG0,60.189297
DK01,55.505512
DK02,55.06435
DK03,56.859932
DK04,54.170692
ES41,68.21755
ES42,64.749985
HU23,64.11148
HU31,58.74905
HU32,59.345573
HU33,57.79391
IE04,67.37816
EE00,54.772495
EL30,73.58699
EL41,87.179
EL43,69.11911
EL51,84.981544
EL52,88.08042
FI20,48.25379
FR10,52.88486
FRB0,56.835327
FRC1,68.89252
FRC2,93.610596
FRD1,59.855515
FRD2,56.402996
FRE1,55.61573
FRE2,53.41434
FRF1,74.81587
NL13,55.38647
NL21,56.873344
NL22,56.490795
NL23,59.069294
NL31,56.12328
NL32,65.4163
ITG2,68.39228
ITH1,101.708305
ITH2,124.04721
FRI3,65.6839
FRJ1,118.763916
FRJ2,86.98077
FRK1,77.5174
FRK2,103.526436
FRL0,105.063805
FRM0,89.23351
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,91.39491
TR32,94.354515
TR33,59.737152
HR03,126.59017
HR02,78.104805
HU11,56.95841
HU12,58.23554
HU21,59.915283
HU22,64.54379
PT16,96.10547
PT17,72.388596
FRF2,63.122032
FRF3,71.8267
FRG0,59.507698
FRH0,62.267624
FRI1,81.10934
FRI2,77.48252
ITC4,120.841225
ITF1,100.82879
ITF2,91.20419
ITF3,109.674644
ITF4,74.9817
ITF5,79.112274
ITF6,109.89449
ITG1,76.23716
LT01,56.98766
LT02,56.00595
LU00,61.459892
PL22,67.762794
PL41,56.915485
PL42,56.460358
PT18,70.63321
PT20,0.0
