nuts,April Maximum Consecutive Five-Day Precipitation (mm) (1981 - 2010)
DE50,23.736553
DE60,22.83863
DE71,29.157917
DE72,28.14751
DE73,27.35888
DE80,20.582756
DE91,23.6235
BG41,35.904644
BG42,33.63466
CH01,59.91889
AT32,44.87548
AT33,45.174458
AT34,49.729877
BE10,24.62116
BE23,25.652292
BE24,25.246899
BE25,25.79081
BE31,25.766163
BE32,26.273182
BE33,31.394567
BE34,33.296
BE35,30.18399
BG31,34.695858
BG32,30.840103
BG33,27.934853
BG34,29.80901
DE92,23.468006
DE93,22.602121
DE94,23.39909
CZ07,27.066223
CZ08,28.081285
AL01,64.54486
AL02,50.81608
AL03,43.887424
AT11,27.950247
AT12,29.534197
AT13,25.593788
AT21,45.602596
AT22,37.480736
AT31,37.972305
DK05,23.872702
BE21,25.160852
BE22,26.536854
ES43,34.939953
ES51,37.564144
ES52,29.635328
ES53,21.491707
ES61,31.390179
ES62,22.128868
ES63,32.338608
ES64,22.836592
CH02,51.21038
CH03,43.61982
CH04,44.040676
CH05,51.129467
CH06,57.08463
CH07,82.73194
CY00,14.301694
CZ01,20.657255
CZ02,21.956934
CZ03,25.998314
CZ04,24.03479
CZ05,24.66351
CZ06,24.00156
DE40,21.451527
EL53,34.244797
EL54,45.287003
EL61,32.41997
EL62,35.364952
EL63,40.46093
ES70,8.346823
ITC1,72.80382
ITC2,71.05964
DE11,33.25468
DE12,34.3898
DE13,39.17201
DE14,39.241585
DE21,38.989826
DE22,31.522654
DE23,28.7753
DE24,29.05399
DE25,29.508799
DE26,30.458637
DE27,40.279686
DE30,20.665657
EL42,16.85674
LV00,21.796043
ME00,67.90733
MK00,36.396584
MT00,14.078112
NL11,23.241804
NL12,22.128405
EL64,28.604216
EL65,26.32735
ES11,55.65749
ES12,50.18788
ES13,44.451332
ES21,44.05381
ES22,41.870724
ES23,36.50369
ES24,35.414246
ES30,32.963757
IE05,34.275974
IE06,31.329945
IS00,43.252033
ITC3,57.81243
FI19,19.56835
FI1B,18.084122
FI1C,18.528904
DEA1,26.636286
DEA2,30.287607
DEA3,25.344303
DEA4,25.421268
DEA5,30.462685
DEB1,29.489923
DEB2,31.177593
DEB3,29.119009
DEC0,31.855225
DED2,25.229092
DED4,27.24962
DED5,23.190798
DEE0,21.381397
DEF0,21.81918
DEG0,26.8212
DK01,20.45528
DK02,19.43932
DK03,21.59216
DK04,23.323023
ES41,34.647118
ES42,32.415924
HU23,27.627365
HU31,29.735083
HU32,29.52969
HU33,27.928703
IE04,35.05402
EE00,19.146854
EL30,17.700104
EL41,24.160088
EL43,18.14487
EL51,31.45181
EL52,32.7944
FI20,19.497866
FR10,26.443304
FRB0,29.38675
FRC1,36.378365
FRC2,47.29472
FRD1,28.012856
FRD2,27.48541
FRE1,26.354874
FRE2,26.908941
FRF1,35.689835
NL13,23.215452
NL21,23.69684
NL22,23.62769
NL23,23.448875
NL31,23.598331
NL32,22.07392
ITG2,31.467806
ITH1,42.109497
ITH2,52.14469
FRI3,31.95617
FRJ1,47.796734
FRJ2,45.305286
FRK1,42.933384
FRK2,52.09023
FRL0,48.44273
FRM0,37.773247
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,31.370737
TR32,31.222612
TR33,28.670227
HR03,55.56792
HR02,36.99451
HU11,27.591131
HU12,27.796766
HU21,27.606544
HU22,27.736097
PT16,43.863636
PT17,33.87006
FRF2,31.876724
FRF3,33.942
FRG0,28.540459
FRH0,30.611885
FRI1,40.636208
FRI2,42.16159
ITC4,54.394836
ITF1,43.377205
ITF2,41.322273
ITF3,45.298
ITF4,29.2815
ITF5,35.28552
ITF6,37.41293
ITG1,27.787722
LT01,24.262213
LT02,22.662378
LU00,32.128864
PL22,27.302446
PL41,21.491455
PL42,22.73775
PT18,33.719646
PT20,0.0
PT30,22.48453
RO11,36.655346
RO12,36.121006
RO21,30.71792
RO22,25.856268
RO31,31.47268
RO32,30.3954
ITH3,48.723724
ITH4,61.102253
ITH5,44.818913
ITI1,42.54618
ITI2,43.15273
ITI3,39.97617
ITI4,45.11093
LI00,54.2439
FI1D,18.18944
TR82,33.674923
TR83,36.02444
TR90,43.987926
TRA1,39.893547
TRA2,39.46851
PL43,24.017952
PL51,24.884602
PL52,23.903292
PL61,21.707329
PL62,22.513403
PL63,22.132463
PL71,23.06233
PL72,26.248186
PL81,26.540073
PL82,32.92182
PL84,21.9525
PL91,24.201881
PL92,23.653118
PT11,52.210125
PT15,31.56336
TRB1,47.15786
TRB2,45.047752
TRC1,34.72654
RS12,29.352
RS21,35.86388
RS22,35.127094
SE11,19.011784
SE12,22.192204
NL33,24.076508
NL34,25.357363
NL41,24.566849
NL42,25.236713
PL21,32.63749
UKM6,36.48478
TR22,30.171434
TRC2,38.916103
TRC3,48.336143
UKC1,31.880077
UKC2,31.519163
UKD1,36.11122
UKD3,35.8493
UKD4,37.193485
UKD6,32.41628
UKD7,34.048386
UKE1,26.281599
UKE2,31.586744
UKE3,29.681564
RO41,36.82075
RO42,37.43188
RS11,29.73232
TR41,28.995436
TR42,32.892117
TR51,25.517733
TR52,24.321669
TR61,33.462692
TR62,35.11263
TR63,36.581024
TR71,27.26077
TR72,33.83199
TR81,35.33549
UKK1,28.854324
UKK2,29.914371
UKK3,30.93942
UKK4,31.559267
UKL1,35.223404
UKL2,34.325832
UKM5,30.601385
UKM7,34.13301
UKM8,38.724144
UKM9,35.37091
UKN0,33.470314
SE21,22.089602
SE22,21.666286
SE23,26.015797
SE31,25.26093
SE32,24.721926
SE33,21.886892
SI03,44.115547
SI04,54.020042
SK01,26.70262
SK02,28.552378
SK03,32.1857
SK04,32.708256
TR10,24.391499
TR21,26.966724
UKE4,32.926815
UKF1,29.268509
UKF2,26.238863
UKF3,25.68548
UKG1,28.716099
UKG2,30.50375
UKG3,28.829195
UKH1,23.73911
UKH2,24.45149
UKH3,22.639595
UKI3,23.597866
UKI4,23.597866
UKI5,23.426075
UKI6,23.818996
UKI7,24.009937
UKJ1,26.224321
UKJ2,24.581018
UKJ3,27.34582
UKJ4,23.066658
NO09,39.86701
NO0A,52.055264
NO0B,23.247822
HR05,35.76662
HR06,34.74748
NO02,28.402864
NO06,39.14692
NO07,31.798233
NO08,31.43033
