nuts,April Maximum Consecutive Five-Day Precipitation (mm) ensemble median - RCP8.5 - (2011 - 2040)
DE50,24.70335
DE60,24.22884
DE71,28.372942
DE72,27.890049
DE73,27.659489
DE80,22.702353
DE91,25.871937
BG41,39.562447
BG42,37.040817
CH01,59.54682
AT32,47.319378
AT33,50.099392
AT34,51.524403
BE10,24.059046
BE23,24.578278
BE24,24.779642
BE25,24.380981
BE31,25.266438
BE32,25.910217
BE33,29.976553
BE34,32.46922
BE35,29.148262
BG31,37.97732
BG32,34.799763
BG33,30.987701
BG34,33.649918
DE92,25.853294
DE93,24.884573
DE94,24.162432
CZ07,28.521587
CZ08,31.28524
AL01,61.366547
AL02,51.161003
AL03,45.342003
AT11,27.199997
AT12,30.391739
AT13,26.500866
AT21,47.994164
AT22,38.326347
AT31,38.723965
DK05,23.526348
BE21,24.799791
BE22,25.67196
ES43,31.62802
ES51,36.565475
ES52,27.945686
ES53,20.730808
ES61,31.561256
ES62,22.195934
ES63,29.760391
ES64,20.75113
CH02,52.7402
CH03,44.34876
CH04,44.848392
CH05,53.25261
CH06,57.749928
CH07,82.64586
CY00,13.74829
CZ01,23.638859
CZ02,24.720179
CZ03,28.250408
CZ04,25.71629
CZ05,26.603521
CZ06,24.611069
DE40,22.49865
EL53,35.214043
EL54,45.582165
EL61,33.73454
EL62,33.24797
EL63,40.73324
ES70,3.8592765
ITC1,67.30232
ITC2,68.94783
DE11,33.55453
DE12,35.662792
DE13,41.11312
DE14,39.124172
DE21,41.660793
DE22,31.727953
DE23,29.383856
DE24,29.344418
DE25,29.79
DE26,28.685276
DE27,41.62384
DE30,21.659363
EL42,18.61358
LV00,23.536545
ME00,67.51615
MK00,35.896225
MT00,13.932292
NL11,23.655499
NL12,23.07745
EL64,30.578455
EL65,27.21554
ES11,56.83685
ES12,54.41478
ES13,46.40957
ES21,45.248226
ES22,40.993317
ES23,34.309273
ES24,33.582222
ES30,30.12608
IE05,33.287907
IE06,29.508495
IS00,45.178993
ITC3,57.616184
FI19,19.627865
FI1B,19.334528
FI1C,19.262264
DEA1,27.026695
DEA2,29.792025
DEA3,25.645557
DEA4,26.767511
