nuts,August Maximum Consecutive Five-Day Precipitation (mm) (1981 - 2010)
DE50,36.10418
DE60,39.082283
DE71,30.363375
DE72,32.93015
DE73,34.020226
DE80,34.279057
DE91,33.046604
BG41,33.34315
BG42,27.104927
CH01,67.4066
AT32,70.51703
AT33,71.4874
AT34,78.11499
BE10,31.934727
BE23,32.89349
BE24,32.343094
BE25,33.598713
BE31,32.27286
BE32,32.512184
BE33,36.484562
BE34,34.800934
BE35,33.876698
BG31,33.368885
BG32,29.546112
BG33,25.261683
BG34,23.803736
DE92,35.322155
DE93,36.099686
DE94,36.091316
CZ07,44.1541
CZ08,47.23386
AL01,33.18829
AL02,24.581207
AL03,19.247335
AT11,39.920975
AT12,45.70871
AT13,38.94979
AT21,61.267666
AT22,55.764374
AT31,61.957912
DK05,35.496525
BE21,32.80363
BE22,32.993874
ES43,8.61668
ES51,33.04849
ES52,17.94825
ES53,13.384881
ES61,6.6197114
ES62,9.799814
ES63,8.019086
ES64,5.0281615
CH02,66.07636
CH03,56.268307
CH04,57.64899
CH05,68.930534
CH06,82.8781
CH07,92.61115
CY00,1.2066286
CZ01,42.548023
CZ02,42.091587
CZ03,44.773117
CZ04,39.32851
CZ05,43.973946
CZ06,41.02079
DE40,33.13714
EL53,17.578115
EL54,15.808789
EL61,17.461384
EL62,10.533389
EL63,11.315908
ES70,1.9399515
ITC1,56.94532
ITC2,56.014297
DE11,33.3524
DE12,34.067295
DE13,41.748066
DE14,48.431404
DE21,61.23324
DE22,48.362965
DE23,39.662064
DE24,33.73815
DE25,33.59075
DE26,30.437254
DE27,56.78528
DE30,32.42971
EL42,0.7728419
LV00,34.165222
ME00,37.78079
MK00,22.845306
MT00,2.8707635
NL11,37.84237
NL12,40.26876
EL64,11.942651
EL65,7.2662873
ES11,28.786148
ES12,38.278866
ES13,36.32238
ES21,32.744274
ES22,32.47537
ES23,22.898375
ES24,27.399431
ES30,11.154773
IE05,36.00212
IE06,34.58943
IS00,45.092243
ITC3,37.0586
FI19,34.726627
FI1B,34.075115
FI1C,35.228195
DEA1,34.964348
DEA2,36.799297
DEA3,34.256245
DEA4,35.79406
DEA5,38.51021
DEB1,31.89145
DEB2,32.951107
DEB3,29.300074
DEC0,32.126087
DED2,42.10097
DED4,40.610394
DED5,32.97671
DEE0,31.013798
DEF0,38.07547
DEG0,32.593727
DK01,34.27927
DK02,34.407757
DK03,35.589176
DK04,35.430267
ES41,17.137981
ES42,11.553226
HU23,33.526173
HU31,33.29431
HU32,31.542908
HU33,29.68732
IE04,40.225155
EE00,36.241226
EL30,3.771858
EL41,1.7615453
EL43,1.9577427
EL51,16.954176
EL52,21.261204
FI20,30.990047
FR10,27.736156
FRB0,27.776205
FRC1,33.68878
FRC2,47.814552
FRD1,26.254732
FRD2,27.694416
FRE1,31.298594
FRE2,30.213522
FRF1,38.779034
NL13,34.0772
NL21,33.79443
NL22,33.51433
NL23,35.52304
NL31,33.67433
NL32,38.263695
ITG2,8.63068
ITH1,55.874393
ITH2,58.59532
FRI3,28.259954
FRJ1,34.680466
FRJ2,40.17524
FRK1,38.85887
FRK2,46.394245
FRL0,28.4758
FRM0,15.758587
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,3.562951
TR32,4.2797766
TR33,7.9036064
HR03,40.686954
HR02,37.483494
HU11,33.503582
HU12,34.30883
HU21,35.015774
HU22,37.58371
PT16,12.819191
PT17,5.180092
FRF2,33.1011
FRF3,35.637024
FRG0,25.092205
FRH0,25.846537
FRI1,35.532356
FRI2,37.443558
ITC4,57.645023
ITF1,25.86995
ITF2,22.044294
ITF3,16.805204
ITF4,13.700557
ITF5,13.915558
ITF6,16.48828
ITG1,8.765696
LT01,38.17786
LT02,36.39435
LU00,34.179607
PL22,42.704174
PL41,33.683765
PL42,34.95877
PT18,6.547123
PT20,0.0
PT30,3.9903126
RO11,41.286034
RO12,45.32327
RO21,41.583176
RO22,28.778767
RO31,33.57433
RO32,30.408693
ITH3,54.752605
ITH4,68.702
ITH5,38.09227
ITI1,29.49411
ITI2,26.466393
ITI3,27.762653
ITI4,23.224575
LI00,89.82452
FI1D,35.56942
TR82,22.683289
TR83,15.726154
TR90,40.059055
TRA1,17.415285
TRA2,21.236128
PL43,34.923256
PL51,42.4522
PL52,39.599724
PL61,33.28898
PL62,35.16816
PL63,36.826855
PL71,32.06965
PL72,34.395565
PL81,36.8327
PL82,39.1342
PL84,34.28608
PL91,31.95152
PL92,32.146362
PT11,21.451567
PT15,3.6258616
TRB1,5.252425
TRB2,8.312548
TRC1,2.1203637
RS12,29.401777
RS21,33.974136
RS22,30.81255
SE11,30.719887
SE12,33.692917
NL33,34.336124
NL34,32.057083
NL41,33.00808
NL42,32.842854
PL21,43.6667
UKM6,43.181923
TR22,7.7786765
TRC2,1.2526052
TRC3,1.938283
UKC1,32.59142
UKC2,31.762217
UKD1,42.65852
UKD3,38.92314
UKD4,43.822147
UKD6,33.733887
UKD7,38.38846
UKE1,30.920862
UKE2,34.84689
UKE3,33.89221
RO41,35.856297
RO42,38.005833
RS11,31.4147
TR41,12.503111
TR42,24.08154
TR51,9.125111
TR52,5.2601953
TR61,7.178095
TR62,9.466485
TR63,4.7641854
TR71,6.142986
TR72,6.7387176
TR81,32.11054
UKK1,29.912203
UKK2,30.285398
UKK3,30.124691
UKK4,30.408817
UKL1,37.887867
UKL2,33.585556
UKM5,32.11013
UKM7,37.496513
UKM8,44.71719
UKM9,38.782185
UKN0,37.05481
SE21,32.114365
SE22,34.269104
SE23,38.86217
SE31,39.786644
SE32,41.289257
SE33,39.89456
SI03,55.64866
SI04,66.61089
SK01,37.658062
SK02,38.571335
SK03,41.892204
SK04,39.457027
TR10,17.673702
TR21,11.323575
UKE4,36.732372
UKF1,33.056416
UKF2,29.83234
UKF3,30.937038
UKG1,28.457642
UKG2,29.83271
UKG3,29.346859
UKH1,29.908623
UKH2,28.533573
UKH3,27.635876
UKI3,28.775656
UKI4,28.775656
UKI5,28.548658
UKI6,29.592245
UKI7,28.12708
UKJ1,28.724293
UKJ2,28.303043
UKJ3,28.434439
UKJ4,28.375652
NO09,50.103836
NO0A,63.7158
NO0B,22.842855
HR05,41.2932
HR06,41.368324
NO02,44.38305
NO06,46.212826
NO07,41.047676
NO08,43.250126
