nuts,August Maximum Consecutive Five-Day Precipitation (mm) ensemble median - RCP8.5 - (2011 - 2040)
DE50,34.779007
DE60,37.35837
DE71,31.875124
DE72,34.112316
DE73,33.111794
DE80,34.819244
DE91,32.442543
BG41,34.514458
BG42,28.32867
CH01,64.082825
AT32,72.10133
AT33,72.7317
AT34,75.1955
BE10,32.51051
BE23,31.779358
BE24,32.25632
BE25,33.564636
BE31,32.72096
BE32,31.085144
BE33,35.024155
BE34,34.59677
BE35,33.59766
BG31,36.47903
BG32,33.151855
BG33,28.205467
BG34,24.852213
DE92,33.22285
DE93,34.58313
DE94,35.57332
CZ07,43.16492
CZ08,45.115265
AL01,28.765394
AL02,22.645449
AL03,19.233
AT11,39.801144
AT12,46.30125
AT13,38.182102
AT21,60.328293
AT22,56.949818
AT31,60.199963
DK05,36.472282
BE21,32.40737
BE22,32.319263
ES43,6.9586267
ES51,32.512733
ES52,17.425222
ES53,11.2990265
ES61,5.958231
ES62,8.85497
ES63,7.9668307
ES64,4.0599027
CH02,65.72128
CH03,58.694107
CH04,55.8561
CH05,66.73299
CH06,78.9839
CH07,82.240395
CY00,0.94776934
CZ01,41.24684
CZ02,41.65969
CZ03,44.95273
CZ04,39.295403
CZ05,41.35522
CZ06,39.565426
DE40,33.06934
EL53,18.557257
EL54,15.106239
EL61,16.77188
EL62,8.455708
EL63,10.475269
ES70,0.972197
ITC1,50.961224
ITC2,50.703987
DE11,36.630024
DE12,37.328316
DE13,43.962276
DE14,49.31349
DE21,57.41834
DE22,45.5582
DE23,38.384716
DE24,34.406086
DE25,34.069794
DE26,33.46235
DE27,54.701485
DE30,31.265999
EL42,0.5032538
LV00,36.490383
ME00,34.02089
MK00,23.551533
MT00,2.7723083
NL11,36.58492
NL12,40.01969
EL64,10.310547
EL65,6.58483
ES11,23.379362
ES12,36.12559
ES13,35.71968
ES21,30.611658
ES22,31.034021
ES23,24.021523
ES24,27.665346
ES30,11.300768
IE05,37.776848
IE06,34.23116
IS00,45.008034
ITC3,30.110977
FI19,38.363674
FI1B,35.51185
FI1C,36.366585
DEA1,33.70635
DEA2,34.459595
DEA3,32.936787
DEA4,32.65627
DEA5,36.6415
DEB1,32.036728
DEB2,32.086098
DEB3,29.378208
DEC0,30.648518
DED2,41.04673
DED4,42.504665
DED5,34.432438
DEE0,31.69141
DEF0,36.47673
DEG0,34.360546
DK01,35.77045
DK02,34.90171
DK03,36.445564
DK04,34.80146
ES41,17.196238
ES42,10.730888
HU23,34.300564
HU31,31.690094
HU32,31.874195
HU33,30.563246
IE04,42.584866
EE00,38.458183
EL30,2.8921947
EL41,1.1113358
EL43,2.1682653
EL51,15.352372
EL52,22.00589
FI20,31.9777
FR10,30.403553
FRB0,26.005508
FRC1,33.27382
FRC2,45.067432
FRD1,29.890068
FRD2,31.141579
FRE1,31.252184
FRE2,29.749638
FRF1,41.11954
NL13,33.753952
NL21,33.074986
NL22,32.049522
NL23,35.168423
