nuts,Autumn Maximum Consecutive Five-Day Precipitation (mm) (1981 - 2010)
DE50,40.041664
DE60,42.78495
DE71,46.055626
DE72,45.14468
DE73,43.13625
DE80,35.287884
DE91,40.765865
BG41,45.558548
BG42,52.82939
CH01,90.78185
AT32,69.33875
AT33,69.78105
AT34,76.01388
BE10,41.207455
BE23,40.879295
BE24,42.31391
BE25,42.613853
BE31,43.1292
BE32,43.161705
BE33,49.610252
BE34,50.9146
BE35,46.95336
BG31,43.647243
BG32,47.471905
BG33,49.713066
BG34,52.5738
DE92,40.544987
DE93,40.52121
DE94,44.180122
CZ07,44.335808
CZ08,46.86443
AL01,116.29448
AL02,85.907936
AL03,94.80211
AT11,45.171688
AT12,44.446064
AT13,40.789417
AT21,83.40539
AT22,58.87593
AT31,57.099228
DK05,44.742153
BE21,42.75584
BE22,44.559338
ES43,62.924267
ES51,71.239044
ES52,65.47779
ES53,53.47096
ES61,55.119633
ES62,46.580418
ES63,70.85486
ES64,42.694218
CH02,77.08759
CH03,62.849194
CH04,63.53224
CH05,82.050766
CH06,88.24922
CH07,145.42502
CY00,38.79974
CZ01,32.92956
CZ02,35.537003
CZ03,40.882313
CZ04,38.24852
CZ05,41.270557
CZ06,38.158676
DE40,34.579685
EL53,59.903618
EL54,112.293106
EL61,76.52648
EL62,116.98078
EL63,99.28199
ES70,20.56708
ITC1,118.95957
ITC2,109.11234
DE11,49.924835
DE12,54.080235
DE13,58.84225
DE14,55.13682
DE21,55.89428
DE22,48.531963
DE23,45.90009
DE24,46.24057
DE25,44.993786
DE26,46.422043
DE27,57.21914
DE30,33.908592
EL42,47.05509
LV00,38.470943
ME00,126.68824
MK00,52.761887
MT00,60.34969
NL11,46.31036
NL12,55.4179
EL64,66.95901
EL65,68.49082
ES11,96.23856
ES12,75.16477
ES13,62.926693
ES21,65.6454
ES22,57.654625
ES23,43.388023
ES24,51.461697
ES30,48.03088
IE05,56.453136
IE06,47.515053
IS00,77.00722
ITC3,110.868164
FI19,37.24188
FI1B,41.01352
FI1C,39.063618
DEA1,48.037506
DEA2,51.23081
DEA3,44.803276
DEA4,44.791737
DEA5,53.31753
DEB1,47.21032
DEB2,48.20589
DEB3,44.793804
DEC0,52.834545
DED2,39.785835
DED4,43.00666
DED5,38.331745
DEE0,36.78245
DEF0,42.8279
DEG0,40.485973
DK01,42.91507
DK02,39.135254
DK03,42.112503
DK04,43.409187
ES41,52.638184
ES42,46.717144
HU23,44.994434
HU31,40.2596
HU32,41.914734
HU33,41.84882
IE04,60.359478
EE00,39.490765
EL30,50.93946
EL41,64.91063
EL43,48.405624
EL51,62.03742
EL52,62.864742
FI20,37.961185
FR10,39.83742
FRB0,42.973076
FRC1,58.60772
FRC2,73.9411
FRD1,48.153187
FRD2,45.104557
FRE1,45.46263
FRE2,42.62214
FRF1,56.686836
NL13,40.848793
NL21,41.726467
NL22,42.07353
NL23,45.20909
NL31,42.77891
NL32,55.362343
ITG2,51.33156
ITH1,74.983246
ITH2,98.472374
FRI3,52.330204
FRJ1,94.037056
FRJ2,63.49967
FRK1,65.093636
FRK2,85.1759
FRL0,85.50267
FRM0,68.668205
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,71.36827
TR32,64.39558
TR33,41.135136
HR03,102.925674
HR02,54.648933
HU11,40.514236
HU12,40.62462
HU21,42.09375
HU22,44.28565
PT16,79.69746
PT17,59.359108
FRF2,51.13616
FRF3,57.005642
FRG0,46.994076
FRH0,51.272728
FRI1,61.70612
FRI2,61.635853
ITC4,97.83039
ITF1,67.6508
ITF2,66.01428
ITF3,88.94181
ITF4,59.010933
ITF5,58.627262
ITF6,80.63011
ITG1,56.235867
LT01,36.288982
LT02,37.75476
LU00,49.104317
PL22,43.829357
PL41,32.454792
PL42,37.577724
PT18,56.810013
PT20,0.0
PT30,44.888126
RO11,49.470024
RO12,44.246563
RO21,42.288765
RO22,43.490833
RO31,47.085922
RO32,48.721504
ITH3,95.48899
ITH4,128.97836
ITH5,75.64052
ITI1,80.22278
ITI2,67.886185
ITI3,59.054955
ITI4,88.49221
LI00,83.6653
FI1D,35.01042
TR82,49.270687
TR83,50.48473
TR90,78.21845
TRA1,50.486412
TRA2,41.790825
PL43,33.655403
PL51,38.637398
PL52,37.82658
PL61,33.29133
PL62,37.414852
PL63,39.070744
PL71,33.893944
PL72,37.864605
PL81,38.17186
PL82,47.781746
PL84,35.706757
PL91,34.55081
PL92,35.10783
PT11,96.40364
PT15,57.55685
TRB1,60.444687
TRB2,47.637115
TRC1,49.451935
RS12,42.182537
RS21,48.78104
RS22,43.890553
SE11,35.409634
SE12,37.57345
NL33,48.245388
NL34,44.256935
NL41,42.965103
NL42,43.75271
PL21,46.56879
UKM6,70.34715
TR22,63.425297
TRC2,48.985382
TRC3,53.512314
UKC1,44.03903
UKC2,44.729954
UKD1,65.081764
UKD3,50.48495
UKD4,61.49805
UKD6,44.148155
UKD7,52.85836
UKE1,40.51395
UKE2,46.25461
UKE3,42.30466
RO41,49.86954
RO42,48.579475
RS11,43.869217
TR41,42.221825
TR42,53.24931
TR51,33.427544
TR52,40.231724
TR61,65.3739
TR62,68.721535
TR63,56.528156
TR71,36.94893
TR72,44.189587
TR81,58.26497
UKK1,44.822495
UKK2,51.858624
UKK3,54.942924
UKK4,53.530434
UKL1,65.05759
