nuts,Autumn Maximum Consecutive Five-Day Precipitation (mm) ensemble median - RCP8.5 - (2071 - 2100)
DE50,45.303745
DE60,50.01846
DE71,50.834385
DE72,50.78373
DE73,47.4456
DE80,40.81173
DE91,44.156414
BG41,54.432377
BG42,62.28135
CH01,99.00592
AT32,83.67164
AT33,83.201164
AT34,85.58449
BE10,47.443684
BE23,47.648468
BE24,49.122574
BE25,47.29947
BE31,49.582245
BE32,48.06604
BE33,51.24868
BE34,53.84138
BE35,51.59004
BG31,54.463776
BG32,51.027817
BG33,55.7577
BG34,61.153538
DE92,44.865963
DE93,45.586212
DE94,51.66019
CZ07,51.264774
CZ08,52.160336
AL01,127.81607
AL02,95.92737
AL03,103.20376
AT11,57.1824
AT12,53.791172
AT13,47.782722
AT21,99.01778
AT22,73.025826
AT31,69.58513
DK05,52.631035
BE21,48.704964
BE22,48.949024
ES43,55.856197
ES51,76.81402
ES52,66.08436
ES53,56.755493
ES61,44.56128
ES62,42.72498
ES63,55.02377
ES64,29.687529
CH02,86.964325
CH03,75.529205
CH04,75.04149
CH05,90.754166
CH06,97.62147
CH07,147.45023
CY00,33.47986
CZ01,43.255142
CZ02,44.13554
CZ03,50.543167
CZ04,43.529037
CZ05,47.100857
CZ06,47.681965
DE40,37.808006
EL53,66.17273
EL54,118.60514
EL61,79.04288
EL62,132.75839
EL63,103.77472
ES70,11.708049
ITC1,121.7181
ITC2,109.86229
DE11,56.105507
DE12,60.111195
DE13,65.80359
DE14,64.70759
DE21,69.41773
DE22,57.77915
DE23,52.68713
DE24,51.025734
DE25,52.25228
DE26,49.961826
DE27,67.73045
DE30,36.247665
EL42,42.202225
LV00,46.11262
ME00,139.79065
MK00,59.353466
MT00,55.681396
NL11,54.445076
NL12,64.68088
EL64,67.69211
EL65,60.231693
ES11,87.27744
ES12,70.55899
ES13,62.712563
ES21,68.93022
ES22,62.77195
ES23,45.623375
ES24,57.73558
ES30,46.575077
IE05,62.333218
IE06,52.93707
IS00,93.32527
ITC3,124.71668
FI19,45.615646
FI1B,50.36668
FI1C,47.41881
DEA1,52.789833
DEA2,52.928844
DEA3,50.357967
DEA4,49.80541
DEA5,54.468014
DEB1,49.749493
DEB2,52.645226
DEB3,51.028107
DEC0,56.34628
DED2,45.31882
DED4,49.008232
DED5,42.478745
DEE0,41.27092
DEF0,50.772373
DEG0,44.663406
DK01,48.36458
DK02,47.156803
DK03,51.824257
DK04,50.614567
ES41,49.352673
ES42,44.460686
HU23,54.575146
HU31,50.966045
HU32,49.15167
HU33,48.330307
IE04,64.33223
EE00,48.178074
EL30,46.320797
EL41,59.89244
EL43,39.78406
EL51,65.0141
EL52,65.89346
FI20,45.708557
FR10,44.179943
FRB0,49.099483
FRC1,62.415657
FRC2,77.48469
FRD1,51.10862
FRD2,48.35343
FRE1,49.367813
FRE2,46.921444
FRF1,63.85014
NL13,48.76911
NL21,50.281055
NL22,49.989513
NL23,53.69124
NL31,50.385685
NL32,64.729095
ITG2,56.717804
ITH1,85.17127
ITH2,110.288635
FRI3,54.641014
FRJ1,102.95592
FRJ2,69.0247
FRK1,67.87599
FRK2,89.823
FRL0,87.60148
FRM0,77.20791
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,69.949615
TR32,61.12195
TR33,42.375057
HR03,126.69157
HR02,67.145065
HU11,48.799286
HU12,50.433056
HU21,52.678955
HU22,56.652706
PT16,69.368576
PT17,58.65662
FRF2,53.930973
FRF3,60.736656
FRG0,48.649605
FRH0,52.431705
FRI1,66.370125
FRI2,66.84407
ITC4,110.55153
ITF1,77.062706
ITF2,73.97286
ITF3,99.097916
ITF4,67.31347
ITF5,62.125057
ITF6,83.70046
ITG1,59.607468
LT01,42.601696
LT02,46.33853
LU00,53.620514
PL22,51.989506
PL41,36.950874
PL42,42.79197
PT18,51.971256
PT20,0.0
PT30,0.0
RO11,57.322838
RO12,52.466396
RO21,53.612377
RO22,51.36492
RO31,53.439575
RO32,54.828136
ITH3,112.60361
ITH4,148.67892
ITH5,86.24419
ITI1,94.90397
ITI2,80.00696
ITI3,67.64633
ITI4,101.333855
LI00,94.10477
FI1D,42.920177
TR82,55.23372
TR83,52.80716
TR90,87.290306
TRA1,56.38454
TRA2,56.830772
PL43,38.057125
PL51,43.227364
PL52,45.810154
PL61,39.53894
PL62,43.52194
PL63,42.855423
PL71,40.370834
PL72,46.732597
PL81,45.049427
PL82,52.66169
PL84,43.040577
PL91,40.407425
PL92,40.37898
PT11,88.09789
PT15,46.93495
TRB1,62.21714
TRB2,72.34359
TRC1,49.75833
RS12,47.953278
RS21,57.52499
RS22,51.143524
SE11,43.477093
SE12,43.42724
NL33,57.66816
NL34,50.990566
NL41,48.29385
NL42,49.290726
PL21,53.45866
UKM6,76.28474
TR22,64.722145
TRC2,52.495125
TRC3,44.8723
UKC1,49.884308
UKC2,47.911316
UKD1,70.35482
UKD3,58.117
UKD4,68.657196
UKD6,52.025013
UKD7,61.74238
UKE1,44.049057
UKE2,50.439693
UKE3,45.034
RO41,56.637463
RO42,53.49509
RS11,48.06196
TR41,44.807945
TR42,60.431786
TR51,35.39167
TR52,35.12879
TR61,56.703854
TR62,60.172764
TR63,53.534893
TR71,38.303345
TR72,46.915993
TR81,69.96026
UKK1,49.873405
UKK2,56.56172
UKK3,57.5324
UKK4,56.478523
UKL1,71.39859
UKL2,60.55362
UKM5,56.073467
UKM7,62.30408
UKM8,76.82133
UKM9,65.46318
UKN0,58.7297
SE21,43.781742
SE22,46.126972
SE23,53.11959
SE31,50.87854
SE32,53.67844
SE33,51.451992
SI03,91.17691
SI04,121.733116
SK01,51.931458
SK02,50.75662
SK03,56.59682
SK04,51.881363
TR10,69.21489
TR21,69.914505
UKE4,49.420998
UKF1,44.699905
UKF2,42.560745
UKF3,43.44194
UKG1,48.817425
UKG2,49.94854
UKG3,46.420277
UKH1,46.170837
UKH2,42.108135
UKH3,43.12057
UKI3,42.522083
UKI4,42.522083
UKI5,42.322033
UKI6,44.46668
UKI7,42.32268
UKJ1,45.336678
UKJ2,55.56674
UKJ3,52.87118
UKJ4,49.32606
NO09,94.81037
NO0A,124.04461
NO0B,52.82303
HR05,73.94114
HR06,70.86535
NO02,62.05238
NO06,81.110756
NO07,68.98416
NO08,71.11602
