nuts,December Maximum Consecutive Five-Day Precipitation (mm) (1981 - 2010)
DE50,30.45945
DE60,31.150759
DE71,38.001167
DE72,37.497288
DE73,35.445564
DE80,25.088255
DE91,32.177353
BG41,35.57644
BG42,44.79402
CH01,70.004486
AT32,47.71012
AT33,48.663727
AT34,59.7163
BE10,33.97559
BE23,33.39257
BE24,34.835514
BE25,33.841022
BE31,35.345474
BE32,36.224094
BE33,42.168266
BE34,45.54837
BE35,40.741085
BG31,30.699291
BG32,30.539328
BG33,29.507368
BG34,36.795963
DE92,32.608406
DE93,30.17492
DE94,32.208733
CZ07,27.62411
CZ08,28.131071
AL01,87.45292
AL02,64.41299
AL03,69.264404
AT11,25.766214
AT12,26.315086
AT13,23.742315
AT21,46.829258
AT22,35.568245
AT31,40.454144
DK05,29.205584
BE21,34.672665
BE22,36.80487
ES43,47.307327
ES51,34.770832
ES52,25.428896
ES53,30.505035
ES61,44.25405
ES62,19.471975
ES63,61.94359
ES64,20.830086
CH02,61.439938
CH03,49.142235
CH04,49.142025
CH05,53.815544
CH06,61.22934
CH07,62.03858
CY00,42.112953
CZ01,23.721432
CZ02,25.454847
CZ03,29.257898
CZ04,29.043163
CZ05,29.486412
CZ06,23.793842
DE40,24.895042
EL53,45.078754
EL54,85.27782
EL61,59.92749
EL62,88.666435
EL63,74.937195
ES70,23.831049
ITC1,58.27405
ITC2,64.915565
DE11,41.77189
DE12,46.304466
DE13,50.08838
DE14,42.652527
DE21,41.7358
DE22,38.869617
DE23,38.318596
DE24,39.258663
DE25,37.687023
DE26,39.551254
DE27,44.648746
DE30,24.276701
EL42,46.7981
LV00,24.38986
ME00,89.868385
MK00,40.292587
MT00,46.17361
NL11,31.179892
NL12,34.3995
EL64,54.70539
EL65,52.49797
ES11,79.63793
ES12,59.795673
ES13,48.76359
ES21,50.942654
ES22,40.462364
ES23,30.209648
ES24,27.666857
ES30,33.674004
IE05,44.498756
IE06,36.340916
IS00,58.209633
ITC3,69.234146
FI19,21.474575
FI1B,25.440332
FI1C,23.618097
DEA1,38.535763
DEA2,41.551826
DEA3,36.18509
DEA4,36.126553
DEA5,43.411983
DEB1,38.144802
DEB2,41.59795
DEB3,36.91935
DEC0,46.64983
DED2,29.219759
DED4,33.699913
DED5,28.393295
DEE0,26.742369
DEF0,30.093487
DEG0,32.305073
DK01,26.616718
DK02,25.7726
DK03,28.92564
DK04,28.538305
ES41,38.91783
ES42,32.467228
HU23,27.386345
HU31,23.131779
HU32,24.901093
HU33,24.120022
IE04,47.205326
EE00,24.158089
EL30,39.804996
EL41,61.348396
EL43,42.970184
EL51,55.567795
EL52,49.887115
FI20,24.021189
FR10,33.48561
FRB0,33.573097
FRC1,41.79591
FRC2,61.403328
FRD1,40.360847
FRD2,36.27561
FRE1,36.505108
FRE2,35.798973
FRF1,49.035732
NL13,29.846125
NL21,32.176918
NL22,33.843426
NL23,33.060993
NL31,33.15552
NL32,35.60977
ITG2,39.481323
ITH1,42.0908
ITH2,50.965797
FRI3,40.350258
FRJ1,48.670628
FRJ2,44.523403
FRK1,40.348995
FRK2,56.675133
FRL0,48.99007
FRM0,50.21507
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,60.43418
TR32,59.671772
TR33,34.872585
HR03,70.529564
HR02,36.406662
HU11,23.84678
HU12,23.873856
HU21,26.47643
HU22,27.342213
PT16,63.284203
PT17,48.520935
FRF2,43.260715
FRF3,49.116055
FRG0,37.116104
FRH0,42.05388
FRI1,45.507423
FRI2,45.131878
ITC4,50.596226
ITF1,50.428905
ITF2,46.65482
ITF3,66.60008
ITF4,39.99979
ITF5,43.135666
ITF6,62.724792
ITG1,43.160664
LT01,22.555397
LT02,23.812622
LU00,42.96886
PL22,27.421865
PL41,23.053625
PL42,25.408812
PT18,45.754524
PT20,0.0
PT30,44.385754
RO11,33.404312
RO12,26.43717
RO21,22.360706
RO22,24.694014
RO31,27.404646
RO32,27.00363
ITH3,50.780895
ITH4,70.19778
ITH5,50.72181
ITI1,52.692497
ITI2,48.86313
ITI3,45.839653
ITI4,60.119915
LI00,62.891083
FI1D,18.3527
TR82,40.320824
TR83,36.139545
TR90,45.152706
TRA1,31.252537
TRA2,22.065332
PL43,25.064201
PL51,26.097122
PL52,24.25921
PL61,22.346306
PL62,24.474718
PL63,24.857052
PL71,23.37597
PL72,21.621605
PL81,21.23729
PL82,25.408543
PL84,22.237707
PL91,23.278149
PL92,22.487545
PT11,79.01479
PT15,51.955647
TRB1,50.8341
TRB2,39.79178
TRC1,52.564304
RS12,26.564205
RS21,32.270424
RS22,31.535145
SE11,22.15461
SE12,22.863443
NL33,34.578827
NL34,33.36679
NL41,34.207737
NL42,35.523666
PL21,26.562508
UKM6,54.866978
TR22,49.821953
TRC2,44.230064
TRC3,50.43647
UKC1,33.428543
UKC2,33.941372
UKD1,50.585556
UKD3,41.494244
UKD4,48.569866
UKD6,34.65812
UKD7,40.217613
UKE1,28.342422
UKE2,35.14346
UKE3,30.989544
RO41,32.962006
RO42,32.376926
RS11,27.953388
TR41,35.359837
TR42,44.685963
TR51,28.822653
TR52,32.804443
TR61,63.363567
TR62,67.67426
TR63,56.761787
TR71,30.608107
TR72,32.099464
TR81,46.68446
UKK1,33.802746
UKK2,39.068386
UKK3,42.99873
UKK4,42.353146
UKL1,50.90391
UKL2,43.463802
UKM5,35.330276
UKM7,44.446365
UKM8,54.601627
UKM9,46.95152
UKN0,41.068913
SE21,24.44805
SE22,26.028236
SE23,29.9207
SE31,24.160147
SE32,24.973925
SE33,25.112232
SI03,46.526665
SI04,64.351135
SK01,24.30372
SK02,27.491472
SK03,29.819656
SK04,24.843168
TR10,47.117306
TR21,43.124477
UKE4,36.103485
UKF1,30.50869
UKF2,25.943161
UKF3,25.372803
UKG1,30.299925
UKG2,32.598396
UKG3,29.601723
UKH1,26.098827
UKH2,25.786503
UKH3,27.099398
UKI3,27.407587
UKI4,27.407587
UKI5,26.613985
UKI6,28.693468
UKI7,27.52646
UKJ1,28.79308
UKJ2,36.784477
UKJ3,36.46353
UKJ4,32.409393
NO09,53.387615
NO0A,81.526
NO0B,31.504025
HR05,37.60103
HR06,35.859165
NO02,29.667099
NO06,51.825928
NO07,43.13964
NO08,34.479256
