nuts,December Maximum Consecutive Five-Day Precipitation (mm) ensemble median - RCP4.5 - (2041 - 2070)
DE50,30.442463
DE60,31.526363
DE71,38.54457
DE72,36.877518
DE73,33.22955
DE80,25.219723
DE91,30.71151
BG41,33.15794
BG42,40.7773
CH01,71.133446
AT32,49.007248
AT33,49.42587
AT34,60.927017
BE10,33.576305
BE23,33.01291
BE24,34.423573
BE25,33.165886
BE31,35.433384
BE32,36.205532
BE33,42.38239
BE34,46.119896
BE35,41.74464
BG31,29.409794
BG32,29.910057
BG33,28.070925
BG34,35.210907
DE92,31.857126
DE93,29.978361
DE94,32.807705
CZ07,27.186888
CZ08,27.476068
AL01,87.114494
AL02,63.35686
AL03,70.11683
AT11,24.241945
AT12,26.54746
AT13,22.257442
AT21,43.116066
AT22,35.127987
AT31,41.68551
DK05,30.258465
BE21,34.79265
BE22,36.621326
ES43,40.123356
ES51,34.972134
ES52,28.18459
ES53,30.928778
ES61,35.341873
ES62,21.914625
ES63,53.441616
ES64,16.158451
CH02,59.883713
CH03,49.26142
CH04,49.61262
CH05,54.729267
CH06,63.387897
CH07,66.26399
CY00,38.12125
CZ01,22.391867
CZ02,24.485844
CZ03,30.000069
CZ04,28.408424
CZ05,27.389374
CZ06,22.814999
DE40,23.647942
EL53,45.789917
EL54,86.01935
EL61,59.67909
EL62,90.76766
EL63,72.813705
ES70,15.28024
ITC1,53.46247
ITC2,59.335754
DE11,42.11697
DE12,47.821117
DE13,52.413944
DE14,42.423985
DE21,42.891537
DE22,38.55789
DE23,38.556114
DE24,39.539185
DE25,38.437565
DE26,38.996597
DE27,45.653496
DE30,23.13225
EL42,45.805023
LV00,24.645494
ME00,92.07441
MK00,38.995377
MT00,47.27818
NL11,31.805164
NL12,36.07463
EL64,56.60156
EL65,53.53048
ES11,72.94544
ES12,58.97621
ES13,48.79356
ES21,51.618965
ES22,40.464176
ES23,29.69435
ES24,27.575619
ES30,31.254948
IE05,42.896828
IE06,35.157417
IS00,61.72067
ITC3,65.909706
FI19,23.78292
FI1B,28.820707
FI1C,26.967672
DEA1,36.97709
DEA2,40.70745
