nuts,February Maximum Consecutive Five-Day Precipitation (mm) (1981 - 2010)
DE50,26.288544
DE60,26.211092
DE71,30.44009
DE72,29.661638
DE73,28.0854
DE80,21.879583
DE91,25.097223
BG41,29.80497
BG42,34.562122
CH01,62.861702
AT32,44.241955
AT33,45.20663
AT34,58.436974
BE10,26.649508
BE23,25.058779
BE24,27.306984
BE25,24.003399
BE31,27.830553
BE32,27.59591
BE33,34.637943
BE34,36.755707
BE35,32.604134
BG31,25.235397
BG32,26.379028
BG33,26.23242
BG34,31.634968
DE92,25.920473
DE93,25.458933
DE94,27.090923
CZ07,21.859127
CZ08,21.775635
AL01,76.9385
AL02,57.818573
AL03,56.56473
AT11,19.45637
AT12,23.8104
AT13,20.023058
AT21,34.35074
AT22,31.382698
AT31,39.44145
DK05,25.170027
BE21,27.413857
BE22,29.685406
ES43,32.857162
ES51,26.682568
ES52,23.96735
ES53,21.063034
ES61,33.07429
ES62,21.325115
ES63,49.41192
ES64,25.110113
CH02,54.44447
CH03,40.154167
CH04,42.50028
CH05,46.293846
CH06,56.075855
CH07,47.84132
CY00,33.634323
CZ01,17.763418
CZ02,20.017027
CZ03,25.29986
CZ04,23.252523
CZ05,24.147785
CZ06,19.587343
DE40,20.629827
EL53,34.79704
EL54,68.65874
EL61,41.804924
EL62,62.822075
EL63,62.84673
ES70,17.642714
ITC1,46.260952
ITC2,56.837387
DE11,33.82146
DE12,37.415497
DE13,40.122185
DE14,36.85079
DE21,37.63932
DE22,33.26946
DE23,31.447622
DE24,31.235842
DE25,30.598873
DE26,31.6449
DE27,40.568073
DE30,20.257141
EL42,38.888885
LV00,18.87979
ME00,80.06391
MK00,32.4463
MT00,25.703072
NL11,27.205935
NL12,28.026144
EL64,42.24783
EL65,42.05707
ES11,57.92447
ES12,50.733986
ES13,42.5326
ES21,42.933273
ES22,33.027096
ES23,23.324291
ES24,23.027035
ES30,25.456676
IE05,37.04041
IE06,29.020847
IS00,56.981453
ITC3,45.648376
FI19,15.639788
FI1B,19.087532
FI1C,17.545393
DEA1,31.116667
DEA2,33.882507
DEA3,28.968336
DEA4,28.612284
DEA5,35.63739
DEB1,30.180756
DEB2,32.46369
DEB3,29.00132
DEC0,35.33659
DED2,24.322695
DED4,27.42514
DED5,21.39421
DEE0,20.425472
DEF0,25.125072
DEG0,24.984161
DK01,22.66864
DK02,21.778158
DK03,25.01916
DK04,25.63144
ES41,27.987898
ES42,25.176851
HU23,22.400532
HU31,20.383793
HU32,21.570055
HU33,21.158295
IE04,38.168182
EE00,17.277105
EL30,30.045767
EL41,43.861332
EL43,36.290012
EL51,40.701786
EL52,32.90935
FI20,16.813578
FR10,25.882061
FRB0,27.481504
FRC1,34.848293
FRC2,51.69342
FRD1,29.231833
