nuts,February Maximum Consecutive Five-Day Precipitation (mm) ensemble median - RCP4.5 - (2041 - 2070)
DE50,26.793524
DE60,28.272802
DE71,28.485933
DE72,28.590649
DE73,27.890997
DE80,23.319233
DE91,25.146725
BG41,30.314493
BG42,32.7712
CH01,60.41528
AT32,41.50641
AT33,41.824265
AT34,52.74969
BE10,26.296963
BE23,24.667753
BE24,27.271816
BE25,23.838938
BE31,28.650007
BE32,28.379972
BE33,34.37326
BE34,36.926327
BE35,33.69756
BG31,25.405827
BG32,25.829496
BG33,27.768003
BG34,31.48311
DE92,25.878672
DE93,26.580332
DE94,26.17313
CZ07,23.751083
CZ08,24.551935
AL01,74.57323
AL02,56.50553
AL03,55.437527
AT11,22.458738
AT12,24.31026
AT13,21.921347
AT21,37.42409
AT22,32.511402
AT31,35.78678
DK05,24.611652
BE21,26.39579
BE22,30.100399
ES43,31.926912
ES51,30.141386
ES52,21.862883
ES53,21.076403
ES61,30.427927
ES62,17.361973
ES63,44.432278
ES64,20.732668
CH02,52.32663
CH03,39.447823
CH04,41.456337
CH05,43.382114
CH06,53.617954
CH07,49.929768
CY00,30.7855
CZ01,18.418972
CZ02,20.436323
CZ03,25.505297
CZ04,24.127586
CZ05,25.228941
CZ06,20.88292
DE40,21.723948
EL53,37.362255
EL54,67.799644
EL61,45.82081
EL62,67.459435
EL63,61.111675
ES70,9.374433
ITC1,51.390903
ITC2,58.668983
DE11,33.0975
DE12,36.913578
DE13,39.813965
DE14,35.230453
DE21,34.136486
DE22,31.871168
DE23,31.02765
DE24,30.665085
DE25,29.67224
DE26,29.666414
DE27,37.102108
DE30,21.137527
EL42,39.078125
LV00,21.703539
ME00,80.257034
MK00,33.07288
MT00,28.379215
NL11,25.11509
NL12,25.924023
EL64,44.952217
EL65,41.995667
ES11,63.644405
ES12,54.814392
ES13,46.115177
ES21,47.467163
ES22,37.918816
ES23,27.883537
ES24,25.287281
ES30,26.31083
IE05,38.64069
IE06,29.039978
IS00,59.008724
ITC3,49.889652
FI19,16.92992
FI1B,20.919268
FI1C,19.020355
DEA1,29.920145
DEA2,32.832336
DEA3,28.266603
DEA4,28.21073
DEA5,35.005608
DEB1,29.370543
DEB2,31.681963
DEB3,27.77493
DEC0,35.06815
DED2,25.44099
DED4,26.944618
DED5,23.058819
DEE0,21.508795
DEF0,26.4502
DEG0,24.899323
DK01,22.061647
DK02,21.302706
DK03,24.748522
DK04,24.243261
ES41,30.228691
ES42,24.878199
HU23,26.87585
HU31,22.553957
HU32,24.421381
HU33,24.200693
IE04,40.469387
EE00,19.903124
EL30,32.090046
EL41,47.076504
EL43,37.9111
EL51,38.480213
EL52,33.573475
FI20,16.285177
FR10,25.506388
FRB0,28.154882
FRC1,35.291237
FRC2,50.87961
FRD1,30.148064
FRD2,27.123562
FRE1,27.08494
FRE2,27.590317
FRF1,37.17903
NL13,24.080456
NL21,25.55504
NL22,25.862465
NL23,24.388906
NL31,24.367668
NL32,25.679272
ITG2,29.423267
ITH1,33.004536
ITH2,40.392334
FRI3,32.13808
FRJ1,40.016983
FRJ2,39.47034
FRK1,36.285564
FRK2,46.66284
FRL0,37.41079
FRM0,36.36588
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,51.758266
TR32,49.144043
TR33,32.51686
HR03,62.810707
HR02,36.708145
HU11,21.33443
HU12,22.216825
HU21,23.37086
HU22,24.680277
PT16,46.55746
PT17,33.54555
FRF2,34.122105
FRF3,37.474205
FRG0,29.873749
FRH0,34.81842
FRI1,40.53859
FRI2,41.310936
ITC4,40.487217
ITF1,43.95723
ITF2,42.349457
ITF3,55.00425
ITF4,33.447536
ITF5,36.964027
ITF6,49.116043
ITG1,34.30512
LT01,21.778484
LT02,21.595322
LU00,33.299854
PL22,24.984905
PL41,21.81895
PL42,24.376928
PT18,30.773413
PT20,0.0
PT30,0.0
RO11,28.560955
RO12,24.6786
RO21,21.446783
RO22,21.103031
RO31,22.967146
RO32,21.925148
ITH3,41.26973
ITH4,52.304455
ITH5,42.29092
ITI1,39.910496
ITI2,41.739365
ITI3,38.222843
ITI4,49.071842
LI00,53.793663
FI1D,16.013678
TR82,34.226227
TR83,31.429264
TR90,44.413082
TRA1,34.694653
TRA2,38.203156
PL43,22.89554
PL51,24.220787
PL52,21.110977
PL61,20.740553
PL62,22.261812
PL63,22.833418
PL71,21.82664
PL72,21.561642
PL81,21.494585
PL82,25.831373
PL84,20.89188
PL91,21.911278
PL92,21.183058
PT11,59.571877
PT15,29.528664
TRB1,50.49058
TRB2,63.60218
TRC1,44.742645
RS12,25.872171
RS21,33.09651
RS22,28.425447
SE11,17.285366
SE12,18.870977
NL33,24.187883
NL34,23.821993
NL41,25.961113
NL42,28.462574
PL21,25.720652
UKM6,49.292145
TR22,42.112232
TRC2,42.958855
TRC3,40.086575
UKC1,27.358335
UKC2,27.086536
UKD1,41.975677
UKD3,32.56678
UKD4,38.13421
UKD6,26.846378
UKD7,29.684444
UKE1,22.40954
UKE2,29.704294
UKE3,24.680298
RO41,27.560823
RO42,29.907383
RS11,28.088953
TR41,30.89931
TR42,37.607395
TR51,25.281107
TR52,26.594843
TR61,48.620346
TR62,48.513115
TR63,48.123596
TR71,24.525312
TR72,28.274576
TR81,41.533443
UKK1,24.670212
UKK2,28.173697
UKK3,35.008125
UKK4,31.224293
UKL1,39.556545
UKL2,35.507355
UKM5,32.719074
UKM7,40.55918
UKM8,48.626892
UKM9,40.288452
UKN0,32.676796
SE21,20.89507
SE22,22.968725
SE23,25.443573
SE31,20.487638
SE32,22.151009
SE33,23.62704
SI03,42.42673
SI04,49.492405
SK01,21.335672
SK02,24.442184
SK03,28.847208
SK04,25.669271
TR10,35.37088
TR21,36.313164
UKE4,30.868774
UKF1,23.982935
UKF2,20.722084
UKF3,20.215775
UKG1,23.690617
UKG2,26.288853
UKG3,22.880102
UKH1,21.134613
UKH2,20.723524
UKH3,21.668247
UKI3,21.888504
UKI4,21.888504
UKI5,21.559286
UKI6,22.464622
UKI7,21.73217
UKJ1,21.773802
UKJ2,26.291035
UKJ3,26.696604
UKJ4,24.038713
NO09,48.24065
NO0A,77.06612
NO0B,28.913153
HR05,35.263092
HR06,34.91549
NO02,26.932508
NO06,48.396442
NO07,40.137245
NO08,31.234947
