nuts,January Maximum Consecutive Five-Day Precipitation (mm) (1981 - 2010)
DE50,32.674084
DE60,31.882711
DE71,32.67407
DE72,35.068344
DE73,33.35934
DE80,25.785822
DE91,31.173475
BG41,26.65271
BG42,31.347849
CH01,60.8242
AT32,39.932903
AT33,40.69604
AT34,52.19178
BE10,29.791487
BE23,29.513338
BE24,30.60442
BE25,29.229372
BE31,31.166534
BE32,32.740574
BE33,39.08175
BE34,43.942627
BE35,37.74395
BG31,24.480951
BG32,27.018873
BG33,28.240164
BG34,30.524088
DE92,32.87046
DE93,31.513832
DE94,34.135952
CZ07,23.184975
CZ08,24.242374
AL01,70.791855
AL02,51.989735
AL03,51.200737
AT11,18.753569
AT12,22.873987
AT13,19.060043
AT21,31.77091
AT22,28.66639
AT31,35.816933
DK05,30.208183
BE21,31.581097
BE22,33.193295
ES43,34.860516
ES51,31.702526
ES52,25.345602
ES53,24.806034
ES61,32.662346
ES62,20.039238
ES63,50.763813
ES64,22.72084
CH02,52.56091
CH03,40.38493
CH04,41.0316
CH05,43.887947
CH06,52.327766
CH07,47.511055
CY00,36.370186
CZ01,18.839863
CZ02,21.33182
CZ03,25.577515
CZ04,25.828928
CZ05,26.96487
CZ06,20.194439
DE40,24.847591
EL53,34.305653
EL54,62.838318
EL61,49.543312
EL62,64.813614
EL63,57.221466
ES70,16.343239
ITC1,45.206528
ITC2,54.30315
DE11,33.855724
DE12,37.512848
DE13,41.48941
DE14,35.201324
DE21,33.702965
DE22,32.25946
DE23,32.563274
DE24,34.057762
DE25,31.179976
DE26,34.142067
DE27,37.214676
DE30,24.634592
EL42,42.223858
LV00,22.837688
ME00,70.67532
MK00,30.653215
MT00,37.48514
NL11,33.585987
NL12,34.2793
EL64,47.88935
EL65,45.755955
ES11,64.26313
ES12,51.56297
ES13,43.592937
ES21,44.020775
ES22,34.23979
ES23,26.671185
ES24,23.772718
ES30,25.762016
IE05,41.221382
IE06,32.377922
IS00,61.392166
ITC3,50.10386
FI19,19.609863
FI1B,24.105902
FI1C,22.508156
DEA1,36.070423
DEA2,38.76162
DEA3,35.76845
DEA4,35.19289
DEA5,42.056347
DEB1,34.636574
DEB2,39.089092
DEB3,29.989807
DEC0,40.926872
DED2,27.412819
DED4,30.087906
DED5,25.625925
DEE0,25.344957
DEF0,30.56054
DEG0,28.781626
DK01,25.490887
DK02,24.752098
DK03,29.280048
DK04,28.858223
ES41,31.38221
ES42,24.466759
HU23,23.7764
HU31,19.520271
HU32,21.132294
HU33,20.943892
IE04,44.72331
EE00,23.043072
EL30,38.23948
EL41,46.729454
EL43,40.895557
EL51,35.211586
EL52,33.985615
FI20,20.308039
FR10,27.78651
FRB0,29.89413
FRC1,36.10231
FRC2,51.806072
FRD1,36.85857
FRD2,31.386364
FRE1,32.691162
FRE2,31.463173
FRF1,39.37567
NL13,32.602352
NL21,33.373135
NL22,33.043846
NL23,33.381123
NL31,32.351902
NL32,33.700264
ITG2,29.213585
ITH1,31.649132
ITH2,35.988987
FRI3,35.926903
FRJ1,43.11483
FRJ2,38.636795
FRK1,35.77361
FRK2,48.185955
FRL0,40.5846
FRM0,35.699986
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,53.641747
TR32,54.78755
TR33,31.768545
HR03,53.141003
HR02,30.312416
HU11,21.294533
HU12,20.992352
HU21,22.76422
HU22,20.833076
PT16,49.05678
PT17,36.65731
FRF2,38.31331
FRF3,42.376724
FRG0,35.46377
FRH0,39.967632
FRI1,38.340332
FRI2,42.51455
ITC4,37.250698
ITF1,39.418903
ITF2,39.789803
ITF3,52.0061
ITF4,33.82076
ITF5,37.015663
ITF6,52.640095
ITG1,41.556664
LT01,23.065447
LT02,23.529829
LU00,41.419746
PL22,24.889261
PL41,21.90826
PL42,25.404644
PT18,33.001064
PT20,0.0
PT30,26.691565
RO11,28.563406
RO12,23.16828
RO21,19.62121
RO22,22.528976
RO31,23.916441
RO32,23.94555
ITH3,35.790558
ITH4,46.771957
ITH5,35.62229
ITI1,37.873055
ITI2,34.64411
ITI3,31.696312
ITI4,44.145702
LI00,54.50027
FI1D,17.35292
TR82,32.143623
TR83,30.07508
TR90,44.066105
TRA1,28.630562
TRA2,21.234007
PL43,24.196705
PL51,25.090221
PL52,21.87975
PL61,20.703226
PL62,22.905577
PL63,23.707323
PL71,20.618563
PL72,19.37158
PL81,19.331135
PL82,22.04198
PL84,20.809437
PL91,20.646772
PL92,20.223639
PT11,59.854465
PT15,32.440742
TRB1,46.714066
TRB2,37.441498
TRC1,50.96827
RS12,22.906849
RS21,26.83193
RS22,25.07994
SE11,20.017262
SE12,20.340187
NL33,32.430573
NL34,29.953678
NL41,31.968891
NL42,32.976513
PL21,24.189995
UKM6,57.772205
TR22,43.135296
TRC2,44.55087
TRC3,49.002583
UKC1,31.745665
UKC2,32.49278
UKD1,50.73842
UKD3,37.34875
UKD4,45.518936
UKD6,29.531942
UKD7,33.12937
UKE1,26.264553
UKE2,33.729153
UKE3,27.376394
RO41,25.659897
RO42,28.534012
RS11,23.852282
TR41,30.995111
TR42,38.875225
TR51,23.809261
TR52,30.690153
TR61,59.59235
TR62,59.58956
TR63,52.589363
TR71,26.267813
TR72,29.429256
TR81,40.524628
UKK1,31.931475
UKK2,35.374416
UKK3,41.7337
UKK4,38.76055
UKL1,46.40559
UKL2,40.46177
UKM5,33.940765
UKM7,48.48679
UKM8,58.195515
UKM9,46.47025
UKN0,37.24065
SE21,22.896376
SE22,25.335052
SE23,29.174234
SE31,21.83127
SE32,24.709072
SE33,25.279491
SI03,31.46175
SI04,42.71882
SK01,19.007662
SK02,22.538237
SK03,26.42123
SK04,21.301456
TR10,39.036713
TR21,34.308502
UKE4,33.60446
UKF1,27.08587
UKF2,25.197317
UKF3,24.803577
UKG1,28.767052
UKG2,29.072123
UKG3,27.076324
UKH1,25.051317
UKH2,25.247274
UKH3,25.42061
UKI3,25.45724
UKI4,25.45724
UKI5,25.080498
UKI6,26.330551
UKI7,26.022268
UKJ1,27.623762
UKJ2,33.0869
UKJ3,32.99268
UKJ4,29.100489
NO09,58.636494
NO0A,82.636635
NO0B,28.075468
HR05,27.93702
HR06,26.67938
NO02,28.942535
NO06,52.462738
NO07,44.870255
NO08,35.59874
