nuts,January Maximum Consecutive Five-Day Precipitation (mm) ensemble median - RCP8.5 - (2071 - 2100)
DE50,35.478195
DE60,35.429306
DE71,38.610638
DE72,38.405388
DE73,37.28128
DE80,29.743664
DE91,33.52838
BG41,28.501383
BG42,32.41769
CH01,72.41851
AT32,46.337826
AT33,48.089718
AT34,60.401787
BE10,36.08563
BE23,35.409096
BE24,36.921864
BE25,36.223488
BE31,38.01431
BE32,40.519165
BE33,43.774906
BE34,50.35158
BE35,45.013676
BG31,29.836279
BG32,28.827969
BG33,25.814707
BG34,30.80107
DE92,35.720695
DE93,34.49773
DE94,38.19911
CZ07,27.84583
CZ08,28.195837
AL01,79.19547
AL02,59.23655
AL03,55.365673
AT11,22.98197
AT12,27.947672
AT13,23.585474
AT21,42.264996
AT22,34.334072
AT31,43.120186
DK05,37.53691
BE21,37.15958
BE22,37.785587
ES43,36.83328
ES51,31.834953
ES52,23.28048
ES53,26.01964
ES61,31.36001
ES62,19.988932
ES63,45.0843
ES64,21.390808
CH02,65.51336
CH03,49.59006
CH04,51.784405
CH05,55.91479
CH06,64.54572
CH07,64.12819
CY00,36.153908
CZ01,23.065508
CZ02,26.674438
CZ03,31.950521
CZ04,30.648907
CZ05,31.0884
CZ06,24.212986
DE40,28.453949
EL53,35.80774
EL54,64.00684
EL61,48.397907
EL62,64.12378
EL63,56.986397
ES70,7.283896
ITC1,54.478233
ITC2,66.55479
DE11,44.027493
DE12,49.154243
DE13,54.182236
DE14,46.09699
DE21,43.755295
DE22,40.81042
DE23,40.30477
DE24,40.195183
DE25,39.93543
DE26,40.46952
DE27,47.588787
DE30,28.172188
EL42,41.580685
LV00,27.396873
ME00,81.1135
MK00,33.50213
MT00,36.709618
NL11,38.481007
NL12,39.44835
EL64,47.972168
EL65,41.858635
ES11,70.93655
ES12,54.21943
ES13,48.491055
ES21,48.106945
ES22,39.987354
ES23,30.568678
ES24,25.92447
ES30,28.76892
IE05,46.981956
IE06,38.113503
IS00,63.4031
ITC3,62.064507
FI19,24.496141
FI1B,27.863169
FI1C,26.015406
DEA1,39.08606
DEA2,42.539684
DEA3,38.32027
DEA4,37.857807
DEA5,46.127518
DEB1,39.52377
DEB2,44.05076
DEB3,37.168606
DEC0,47.484577
DED2,31.083546
DED4,36.30064
DED5,30.318506
DEE0,27.753119
DEF0,36.07771
DEG0,33.162918
DK01,32.296345
DK02,31.44159
DK03,36.06431
DK04,36.30877
ES41,34.31907
ES42,27.44305
HU23,30.895693
HU31,25.68156
HU32,27.39789
HU33,26.058094
IE04,50.404037
EE00,26.005882
EL30,33.65505
EL41,52.44541
EL43,35.68249
EL51,37.732693
EL52,34.066116
FI20,24.889221
FR10,32.768135
FRB0,34.764675
FRC1,44.335377
FRC2,63.47595
FRD1,42.960655
FRD2,37.923244
FRE1,39.942623
FRE2,37.368317
FRF1,50.07131
NL13,36.415234
NL21,37.62581
NL22,37.125763
NL23,38.214725
NL31,36.96986
NL32,39.906513
ITG2,33.095413
ITH1,40.247185
ITH2,46.39208
FRI3,43.025074
FRJ1,47.426453
FRJ2,42.0646
FRK1,41.60565
FRK2,57.703884
FRL0,48.087673
FRM0,40.72967
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,56.633785
TR32,58.26565
TR33,35.5313
HR03,64.877525
HR02,38.57756
HU11,27.04006
HU12,26.465574
HU21,27.683836
HU22,26.222878
PT16,53.529984
PT17,34.59327
FRF2,45.910877
FRF3,51.26094
FRG0,38.112045
FRH0,42.34623
FRI1,43.909443
FRI2,50.384045
ITC4,44.4641
ITF1,46.174786
ITF2,43.558468
ITF3,57.481846
ITF4,33.447025
ITF5,37.516617
ITF6,52.69718
ITG1,37.72958
LT01,27.088852
LT02,28.374994
LU00,46.948177
PL22,28.036114
PL41,26.213173
PL42,29.516176
PT18,33.003967
PT20,0.0
PT30,0.0
RO11,34.417522
RO12,27.174835
RO21,23.563377
RO22,26.308422
RO31,28.446465
RO32,26.47183
ITH3,46.661427
ITH4,62.970833
ITH5,43.124
ITI1,46.319855
ITI2,40.940918
ITI3,36.2462
ITI4,49.81644
LI00,61.554214
FI1D,21.91366
TR82,38.952538
TR83,37.005596
TR90,51.32215
TRA1,38.567986
TRA2,42.184044
PL43,27.899265
PL51,28.034937
PL52,24.693533
PL61,25.891666
PL62,28.253723
PL63,28.794384
PL71,25.136135
PL72,24.211756
PL81,25.287035
PL82,27.005066
PL84,25.561472
PL91,26.350119
PL92,26.051445
PT11,68.404274
PT15,28.52267
TRB1,56.81005
TRB2,68.02493
TRC1,57.552948
RS12,28.250263
RS21,33.731632
RS22,30.554836
SE11,24.74316
SE12,25.011974
NL33,37.607445
NL34,35.063194
NL41,35.304115
NL42,35.79376
PL21,28.275656
UKM6,62.541027
TR22,49.93482
TRC2,49.166737
TRC3,44.53846
UKC1,34.364193
UKC2,35.044174
UKD1,56.92859
UKD3,43.160965
UKD4,52.182964
UKD6,35.493782
UKD7,40.411133
UKE1,29.500751
