nuts,July Maximum Consecutive Five-Day Precipitation (mm) (1981 - 2010)
DE50,37.232895
DE60,38.41531
DE71,32.160152
DE72,32.53064
DE73,34.47439
DE80,32.31566
DE91,34.22682
BG41,36.718407
BG42,35.650383
CH01,64.67954
AT32,68.854996
AT33,70.69545
AT34,73.52705
BE10,32.860806
BE23,33.367203
BE24,32.707325
BE25,32.087887
BE31,32.623
BE32,33.06113
BE33,35.391743
BE34,35.37574
BE35,34.725174
BG31,39.152542
BG32,37.38197
BG33,32.490578
BG34,32.291733
DE92,33.681557
DE93,37.627663
DE94,35.726868
CZ07,46.674984
CZ08,51.49925
AL01,31.465248
AL02,25.724695
AL03,18.268251
AT11,37.004284
AT12,45.994686
AT13,38.722385
AT21,58.69979
AT22,52.568985
AT31,58.848183
DK05,32.998886
BE21,33.35713
BE22,32.048454
ES43,5.5940366
ES51,26.967236
ES52,10.770697
ES53,3.851399
ES61,4.60617
ES62,5.3159122
ES63,2.3432338
ES64,2.842555
CH02,65.02982
CH03,58.10044
CH04,59.73778
CH05,67.126015
CH06,80.58102
CH07,86.0083
CY00,1.2685726
CZ01,41.880547
CZ02,41.986134
CZ03,46.809917
CZ04,42.13841
CZ05,43.84429
CZ06,41.550777
DE40,32.879185
EL53,20.548578
EL54,15.141266
EL61,16.711138
EL62,6.343102
EL63,11.602787
ES70,1.711944
ITC1,46.90195
ITC2,52.298073
DE11,40.42798
DE12,39.922142
DE13,47.816174
DE14,53.721138
DE21,60.780293
DE22,50.399742
DE23,44.751606
DE24,39.287556
DE25,40.160156
DE26,34.769176
DE27,57.971382
DE30,32.57366
EL42,0.4760838
LV00,35.93354
ME00,33.952763
MK00,25.452204
MT00,0.5041194
NL11,38.132977
NL12,38.03442
EL64,12.219538
EL65,6.499662
ES11,24.6096
ES12,37.19767
ES13,35.3122
ES21,31.882204
ES22,28.14764
ES23,24.344982
ES24,22.476482
ES30,10.015486
IE05,34.305653
IE06,31.54302
IS00,37.209545
ITC3,24.142506
FI19,39.075974
FI1B,36.147015
FI1C,37.20675
DEA1,33.861015
DEA2,35.914917
DEA3,33.09021
DEA4,33.686554
DEA5,37.44986
DEB1,31.798319
DEB2,33.039528
DEB3,30.711535
DEC0,31.622604
DED2,40.538918
DED4,42.931335
DED5,34.066154
DEE0,32.443275
DEF0,35.059963
DEG0,35.478863
DK01,33.738373
DK02,31.416111
DK03,32.720497
DK04,32.628616
ES41,17.422888
ES42,8.969143
HU23,31.551846
HU31,38.5344
HU32,37.877422
HU33,31.4467
IE04,37.03769
EE00,35.418873
EL30,3.2445767
EL41,1.5646145
EL43,1.7970152
EL51,22.679361
EL52,23.014402
FI20,29.618668
FR10,28.220589
FRB0,29.853737
FRC1,33.05248
FRC2,45.225338
FRD1,30.663519
FRD2,30.578302
FRE1,31.357117
FRE2,30.584206
FRF1,40.25777
NL13,34.89819
NL21,33.586643
NL22,32.278095
NL23,35.542835
NL31,34.29797
NL32,36.550404
ITG2,5.2034373
ITH1,56.949684
ITH2,59.213017
FRI3,30.739164
FRJ1,26.427431
FRJ2,36.951885
FRK1,36.319
FRK2,41.39344
FRL0,21.94763
FRM0,9.85447
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,3.0484974
TR32,4.815984
TR33,9.375483
HR03,25.687159
HR02,35.769417
HU11,33.13229
HU12,34.497314
HU21,32.498505
HU22,34.22044
PT16,10.303552
PT17,3.861303
FRF2,32.331253
FRF3,33.742615
FRG0,28.926605
FRH0,29.220022
FRI1,36.000526
FRI2,38.6372
ITC4,49.724518
ITF1,26.340864
ITF2,22.591608
ITF3,16.296698
ITF4,15.383274
ITF5,19.404287
ITF6,17.0038
ITG1,5.275377
LT01,38.30755
LT02,36.992447
LU00,33.926914
PL22,47.608868
PL41,37.67514
PL42,36.81149
PT18,4.0202503
PT20,0.0
PT30,3.6185434
RO11,49.531
RO12,50.97636
RO21,47.924343
RO22,32.412937
RO31,43.11488
RO32,41.93358
ITH3,48.425148
ITH4,57.90024
ITH5,31.516205
ITI1,20.48334
ITI2,22.440704
ITI3,25.13038
ITI4,19.289438
LI00,83.43198
FI1D,36.65868
TR82,25.518812
TR83,19.159657
TR90,44.85356
TRA1,23.6847
TRA2,29.857153
PL43,35.870964
PL51,43.88458
PL52,45.376053
PL61,37.071335
PL62,36.614723
PL63,38.494473
PL71,37.343384
PL72,40.207134
PL81,40.45059
PL82,51.17359
PL84,34.36429
PL91,33.88458
PL92,34.33335
PT11,17.687233
PT15,1.7939534
TRB1,7.659368
TRB2,13.728086
TRC1,2.3277361
RS12,31.350971
RS21,37.833336
RS22,32.144115
SE11,34.77227
SE12,37.882202
NL33,35.406788
NL34,33.74993
NL41,32.338253
NL42,31.187326
PL21,52.610806
UKM6,37.570057
TR22,10.404003
TRC2,1.7695944
TRC3,2.814996
UKC1,30.844492
UKC2,30.99349
UKD1,37.86271
UKD3,37.016365
UKD4,38.92159
