nuts,July Maximum Consecutive Five-Day Precipitation (mm) ensemble median - RCP4.5 - (2041 - 2070)
DE50,37.094547
DE60,38.93653
DE71,33.41623
DE72,33.995705
DE73,36.29398
DE80,33.486744
DE91,34.689716
BG41,38.41934
BG42,37.19066
CH01,63.72946
AT32,71.60041
AT33,74.05843
AT34,78.17045
BE10,34.638668
BE23,34.466537
BE24,36.044506
BE25,33.727913
BE31,34.352795
BE32,33.42801
BE33,37.89916
BE34,38.16927
BE35,36.59467
BG31,39.56849
BG32,41.131565
BG33,32.35143
BG34,31.975342
DE92,35.10291
DE93,37.328278
DE94,37.909344
CZ07,46.089596
CZ08,48.90318
AL01,23.442034
AL02,16.896725
AL03,12.939642
AT11,39.848076
AT12,47.413406
AT13,40.518597
AT21,63.113884
AT22,57.226326
AT31,57.837402
DK05,32.370975
BE21,35.20387
BE22,36.024128
ES43,5.3897123
ES51,24.331444
ES52,9.63541
ES53,3.6433654
ES61,4.1667695
ES62,5.128203
ES63,2.128377
ES64,1.7879796
CH02,64.6775
CH03,61.395004
CH04,62.546207
CH05,67.79721
CH06,80.20735
CH07,80.276375
CY00,1.101225
CZ01,39.041683
CZ02,38.36782
CZ03,45.80781
CZ04,40.274796
CZ05,43.332233
CZ06,41.7822
DE40,37.064575
EL53,18.102142
EL54,11.971149
EL61,16.608719
EL62,4.3333187
EL63,8.787212
ES70,1.2960827
ITC1,47.46685
ITC2,49.602516
DE11,41.52968
DE12,41.901943
DE13,48.566048
DE14,54.00319
DE21,61.723
DE22,48.992863
DE23,43.941826
DE24,37.16329
DE25,38.426205
DE26,34.860306
DE27,61.83361
DE30,36.3866
EL42,0.3898412
LV00,39.68571
ME00,28.623407
MK00,21.579397
MT00,0.3504073
NL11,40.670963
NL12,37.523445
EL64,11.0305395
EL65,4.5402474
ES11,24.771658
ES12,40.604668
ES13,35.99485
ES21,30.413404
ES22,29.462667
ES23,27.256802
ES24,21.487011
ES30,10.724893
IE05,32.533794
IE06,30.486895
IS00,38.68996
ITC3,27.977867
FI19,39.530952
FI1B,34.151047
FI1C,36.124565
DEA1,36.90903
DEA2,37.27854
DEA3,35.859413
DEA4,35.881805
DEA5,40.37694
DEB1,34.54667
DEB2,35.251125
DEB3,33.23434
DEC0,33.55589
DED2,44.002365
DED4,44.20397
DED5,37.785072
DEE0,33.60079
DEF0,36.236336
DEG0,34.850372
DK01,33.22583
DK02,33.5815
DK03,34.76228
DK04,32.778736
ES41,19.700632
ES42,9.78889
HU23,33.519802
HU31,36.185013
HU32,33.505466
HU33,29.696638
IE04,36.367115
EE00,38.115517
EL30,2.1751711
EL41,1.8054261
EL43,1.76799
EL51,25.580677
EL52,23.323044
FI20,29.456495
FR10,28.761774
FRB0,30.376268
FRC1,32.718025
FRC2,46.36351
FRD1,29.431423
FRD2,29.8918
FRE1,31.438274
FRE2,29.56826
FRF1,42.075207
NL13,36.10712
NL21,36.671234
NL22,36.232048
NL23,36.616627
NL31,38.16584
NL32,35.55184
ITG2,5.4078827
ITH1,58.692955
ITH2,63.808033
FRI3,27.37123
FRJ1,24.72411
FRJ2,34.808285
FRK1,34.745358
FRK2,40.93645
FRL0,21.089584
FRM0,10.9686365
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,2.8818798
TR32,4.6000223
TR33,8.432299
HR03,24.5361
HR02,35.572414
HU11,28.09372
HU12,30.128815
HU21,32.23559
HU22,36.23957
PT16,9.016999
PT17,3.5268428
FRF2,32.553635
FRF3,35.54961
FRG0,26.837492
FRH0,26.071114
FRI1,33.699944
FRI2,35.64526
ITC4,52.543785
ITF1,28.072535
ITF2,23.872583
ITF3,13.07756
ITF4,12.861876
ITF5,15.20381
ITF6,11.691812
ITG1,4.0913935
LT01,40.731613
LT02,39.89317
LU00,35.70928
PL22,48.89109
PL41,42.000774
PL42,40.223
PT18,3.710629
PT20,0.0
PT30,0.0
RO11,44.220448
RO12,50.47426
RO21,49.526684
RO22,34.091038
RO31,46.02747
RO32,48.535454
ITH3,52.004112
ITH4,59.3481
ITH5,33.223415
ITI1,22.645721
ITI2,21.10411
ITI3,24.808231
ITI4,17.485094
LI00,87.28266
FI1D,39.492027
