nuts,June Maximum Consecutive Five-Day Precipitation (mm) (1981 - 2010)
DE50,34.234306
DE60,34.655373
DE71,30.954618
DE72,32.49806
DE73,32.844444
DE80,32.204163
DE91,31.969336
BG41,40.214596
BG42,38.109238
CH01,64.0028
AT32,64.497246
AT33,66.18874
AT34,73.156364
BE10,32.23293
BE23,31.302956
BE24,33.10012
BE25,30.558388
BE31,33.606144
BE32,33.202843
BE33,37.833252
BE34,37.09704
BE35,36.601852
BG31,40.21058
BG32,38.374603
BG33,33.011433
BG34,32.344875
DE92,31.291742
DE93,32.903175
DE94,34.919598
CZ07,41.943542
CZ08,44.113842
AL01,42.011845
AL02,33.558624
AL03,25.05862
AT11,42.105072
AT12,44.907173
AT13,40.694065
AT21,60.57315
AT22,55.39031
AT31,54.508926
DK05,31.682718
BE21,32.406723
BE22,34.39269
ES43,16.57253
ES51,32.120804
ES52,19.529076
ES53,10.162712
ES61,13.979647
ES62,14.378433
ES63,6.2181726
ES64,7.1237583
CH02,61.864697
CH03,53.9344
CH04,56.339283
CH05,65.939705
CH06,74.88222
CH07,83.90196
CY00,3.3321338
CZ01,34.012344
CZ02,33.890644
CZ03,39.65944
CZ04,34.633648
CZ05,36.18668
CZ06,37.831398
DE40,30.254435
EL53,22.400702
EL54,22.910364
EL61,20.027323
EL62,11.342292
EL63,16.423454
ES70,2.3257694
ITC1,59.088577
ITC2,58.922047
DE11,36.47593
DE12,36.086155
DE13,44.504383
DE14,51.020447
DE21,57.7183
DE22,45.258152
DE23,40.328667
DE24,34.082317
DE25,36.049435
DE26,31.249027
DE27,57.0225
DE30,29.833979
EL42,1.410474
LV00,37.441784
ME00,44.354214
MK00,29.174103
MT00,2.5596926
NL11,37.01908
NL12,34.039806
EL64,14.504243
EL65,8.081707
ES11,37.912308
ES12,43.407406
ES13,38.405582
ES21,36.939003
ES22,35.67999
ES23,35.379467
ES24,29.19407
ES30,19.692062
IE05,35.51615
IE06,33.656605
IS00,34.48228
ITC3,40.028336
FI19,32.984337
FI1B,29.94467
FI1C,31.70355
DEA1,34.783638
DEA2,36.983955
DEA3,34.339554
DEA4,33.14159
DEA5,38.070255
DEB1,32.992695
DEB2,33.466053
DEB3,29.832272
DEC0,32.12905
DED2,32.956913
DED4,36.753223
DED5,30.992514
DEE0,30.061405
DEF0,34.000973
DEG0,32.389503
DK01,31.157043
DK02,30.968023
DK03,33.535774
DK04,32.28615
ES41,27.075727
ES42,21.11292
HU23,35.83837
HU31,37.712498
HU32,35.438713
HU33,33.086475
IE04,37.868958
EE00,35.109127
EL30,3.9138002
EL41,3.7234938
EL43,3.5222073
EL51,25.858532
EL52,25.904148
FI20,27.657536
FR10,29.05381
