nuts,June Maximum Consecutive Five-Day Precipitation (mm) ensemble median - RCP4.5 - (2071 - 2100)
DE50,38.287457
DE60,37.091225
DE71,35.59868
DE72,37.977844
DE73,33.639
DE80,36.498867
DE91,36.058456
BG41,40.216503
BG42,39.32229
CH01,73.468025
AT32,77.089355
AT33,78.54678
AT34,85.4788
BE10,35.0945
BE23,32.597054
BE24,35.83216
BE25,31.040073
BE31,36.302887
BE32,34.704216
BE33,42.244816
BE34,42.12296
BE35,37.228054
BG31,39.636803
BG32,40.34808
BG33,35.282345
BG34,30.359735
DE92,35.951233
DE93,36.498108
DE94,37.996662
CZ07,47.38817
CZ08,51.54733
AL01,43.641144
AL02,36.77925
AL03,29.272074
AT11,44.020332
AT12,50.28619
AT13,40.699535
AT21,70.10316
AT22,61.097954
AT31,62.192417
DK05,37.41301
BE21,35.92991
BE22,36.449886
ES43,13.485242
ES51,31.780302
ES52,18.18962
ES53,10.95335
ES61,10.315235
ES62,11.556505
ES63,4.7025037
ES64,4.9934425
CH02,73.00829
CH03,62.635544
CH04,62.501263
CH05,77.93344
CH06,87.33392
CH07,93.05805
CY00,3.6603155
CZ01,40.626163
CZ02,39.530857
CZ03,43.821304
CZ04,38.26722
CZ05,42.64501
CZ06,41.90647
DE40,34.105183
EL53,22.893084
EL54,22.710701
EL61,20.171556
EL62,13.71874
EL63,18.45085
ES70,1.8174397
ITC1,64.89159
ITC2,65.62242
DE11,41.984768
DE12,41.548832
DE13,51.103004
DE14,58.593937
DE21,65.175606
DE22,49.287464
DE23,42.191013
DE24,39.417473
DE25,40.250977
DE26,35.111977
DE27,64.288635
DE30,34.4945
EL42,2.4237847
LV00,38.73908
ME00,47.807327
MK00,30.728113
MT00,3.1326683
NL11,39.08467
NL12,35.94483
EL64,16.305712
EL65,12.163282
ES11,31.089071
ES12,41.064766
ES13,36.457024
ES21,38.835938
ES22,37.79878
ES23,32.47
ES24,28.120165
ES30,17.730078
IE05,35.504032
IE06,34.104465
IS00,34.26332
ITC3,40.18734
FI19,33.094635
