nuts,March Maximum Consecutive Five-Day Precipitation (mm) (1981 - 2010)
DE50,29.256834
DE60,29.74379
DE71,32.559185
DE72,32.473392
DE73,32.431538
DE80,24.124125
DE91,31.072342
BG41,32.741833
BG42,37.142757
CH01,58.325554
AT32,52.741764
AT33,50.0161
AT34,56.638344
BE10,28.588413
BE23,27.261196
BE24,29.332409
BE25,25.808971
BE31,29.976435
BE32,30.41084
BE33,35.717205
BE34,37.920635
BE35,34.532722
BG31,30.6902
BG32,31.749416
BG33,30.318855
BG34,32.987537
DE92,30.968401
DE93,29.072226
DE94,30.358936
CZ07,24.846014
CZ08,25.364744
AL01,68.263145
AL02,52.539906
AL03,49.49294
AT11,27.12529
AT12,31.918839
AT13,28.462738
AT21,44.63268
AT22,39.626736
AT31,46.753296
DK05,25.658913
BE21,29.372059
BE22,31.322695
ES43,31.247503
ES51,27.671719
ES52,22.603243
ES53,19.146015
ES61,31.585403
ES62,21.288773
ES63,41.044155
ES64,27.915592
CH02,52.53979
CH03,43.53888
CH04,44.07608
CH05,47.629494
CH06,55.36989
CH07,55.360455
CY00,23.185698
CZ01,22.506063
CZ02,24.762161
CZ03,30.3901
CZ04,27.22087
CZ05,27.954733
CZ06,24.062984
DE40,24.034397
EL53,34.34502
EL54,53.82804
EL61,44.986134
EL62,46.02726
EL63,48.59439
ES70,15.6635475
ITC1,52.1704
ITC2,57.443726
DE11,37.933247
DE12,41.187252
DE13,42.409554
DE14,39.85736
DE21,44.313816
DE22,37.846703
DE23,34.961952
DE24,33.63538
DE25,34.62237
DE26,34.15854
DE27,43.769234
DE30,23.668205
EL42,30.751833
LV00,20.474724
ME00,71.02253
MK00,33.78016
MT00,20.782352
NL11,28.448284
NL12,28.04045
EL64,44.607136
EL65,41.76354
ES11,52.257515
ES12,51.5366
ES13,46.947556
ES21,44.98005
ES22,34.617435
ES23,26.501677
ES24,24.088324
ES30,25.569658
IE05,38.141872
IE06,30.693682
IS00,53.355415
ITC3,48.12595
FI19,18.340115
FI1B,19.755127
FI1C,19.233437
DEA1,34.273323
DEA2,35.97759
DEA3,34.053368
DEA4,34.050346
DEA5,40.0828
DEB1,32.669285
DEB2,34.01798
DEB3,31.938936
DEC0,37.667763
DED2,28.132341
DED4,31.557833
DED5,26.436104
DEE0,25.865522
DEF0,27.726166
DEG0,29.63828
DK01,21.748575
