nuts,March Maximum Consecutive Five-Day Precipitation (mm) ensemble median - RCP8.5 - (2041 - 2070)
DE50,26.727732
DE60,26.86597
DE71,30.498486
DE72,29.596287
DE73,28.1767
DE80,24.026758
DE91,26.133297
BG41,37.454426
BG42,44.203957
CH01,61.118713
AT32,52.03667
AT33,49.472416
AT34,56.240047
BE10,27.391306
BE23,26.51265
BE24,27.844648
BE25,26.407995
BE31,28.62369
BE32,29.231686
BE33,33.283054
BE34,35.046432
BE35,33.3152
BG31,35.101185
BG32,35.12069
BG33,32.911346
BG34,38.411415
DE92,26.629652
DE93,26.307444
DE94,27.684698
CZ07,26.354975
CZ08,27.321123
AL01,69.20927
AL02,53.91645
AL03,50.55742
AT11,27.26549
AT12,31.004349
AT13,26.311718
AT21,48.26068
AT22,40.076885
AT31,45.261597
DK05,25.280535
BE21,27.486662
BE22,29.47209
ES43,31.097424
ES51,33.764206
ES52,23.267982
ES53,20.342987
ES61,30.352003
ES62,21.249813
ES63,32.298107
ES64,24.380728
CH02,52.98351
CH03,45.967823
CH04,44.91474
CH05,50.503193
CH06,58.471012
CH07,68.13793
CY00,21.617601
CZ01,21.141026
CZ02,23.550528
CZ03,29.212929
CZ04,25.901115
CZ05,27.373236
CZ06,24.477577
DE40,24.013376
EL53,39.39515
EL54,55.040417
EL61,47.951996
EL62,49.761913
EL63,51.445847
ES70,7.381223
ITC1,60.64124
ITC2,60.86442
DE11,35.547455
DE12,39.072906
DE13,41.950607
DE14,39.259403
DE21,42.605324
DE22,36.17102
DE23,32.0393
DE24,30.552225
DE25,32.3109
DE26,31.515488
DE27,42.576775
DE30,23.810656
EL42,31.713295
LV00,21.407637
ME00,75.17949
MK00,36.797997
MT00,19.321556
NL11,27.165741
NL12,26.368565
EL64,44.137688
EL65,39.32053
ES11,53.202133
ES12,49.50887
ES13,44.923084
ES21,44.081913
ES22,35.481056
ES23,28.07341
ES24,26.996851
ES30,24.974442
IE05,36.16088
IE06,30.0821
IS00,60.32468
ITC3,56.762844
FI19,18.895367
FI1B,20.459658
FI1C,19.621716
DEA1,31.805635
DEA2,32.30801
DEA3,29.282475
DEA4,28.560774
DEA5,33.78026
DEB1,31.866583
DEB2,31.926077
DEB3,29.780573
DEC0,35.78379
DED2,27.034435
DED4,29.614428
DED5,24.515694
DEE0,23.812477
DEF0,26.318209
DEG0,27.472935
DK01,22.665888
DK02,23.202213
DK03,25.674322
DK04,24.514664
ES41,28.516232
ES42,25.542942
HU23,28.61376
HU31,22.978788
HU32,24.768232
HU33,24.39849
IE04,36.753506
EE00,19.967455
EL30,32.690308
EL41,38.497513
EL43,26.478033
EL51,44.329426
EL52,38.570805
FI20,16.876875
FR10,26.96333
FRB0,27.654016
FRC1,33.064304
FRC2,50.035652
FRD1,30.380638
FRD2,27.943714
FRE1,27.60482
FRE2,27.713272
FRF1,38.61399
NL13,26.70309
NL21,28.084019
NL22,28.506153
NL23,28.504013
NL31,28.122402
NL32,27.550533
ITG2,31.389914
ITH1,42.86642
ITH2,49.161083
FRI3,30.335573
FRJ1,40.780243
FRJ2,38.764973
FRK1,34.06194
FRK2,46.737804
FRL0,39.343136
FRM0,37.609535
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,44.858833
TR32,41.625233
TR33,32.297783
HR03,56.69759
HR02,37.85362
HU11,22.331362
HU12,22.53983
HU21,24.371521
HU22,26.855217
PT16,40.02569
PT17,30.187822
FRF2,31.823097
FRF3,36.093483
FRG0,28.721315
FRH0,31.728445
FRI1,36.241543
FRI2,37.327152
ITC4,50.887585
ITF1,44.971367
ITF2,42.52429
ITF3,51.408817
ITF4,35.536507
ITF5,38.48292
ITF6,47.179184
ITG1,30.39184
LT01,22.551256
LT02,22.773554
LU00,32.466675
PL22,27.44708
PL41,23.776049
PL42,25.422
PT18,29.04526
PT20,0.0
PT30,0.0
RO11,31.808725
RO12,29.10076
RO21,27.71201
RO22,27.705088
RO31,29.59938
RO32,29.161806
ITH3,48.402096
ITH4,65.68051
ITH5,47.20857
ITI1,42.614418
ITI2,42.224117
ITI3,41.497528
ITI4,46.95381
LI00,61.948414
FI1D,18.628773
TR82,37.450783
TR83,35.639854
TR90,46.32625
TRA1,40.87636
TRA2,38.69812
PL43,25.036476
PL51,27.24625
PL52,25.519756
PL61,20.87021
PL62,22.81959
PL63,22.625692
PL71,24.018814
PL72,24.26454
PL81,23.27263
PL82,27.46017
PL84,21.598822
PL91,22.33173
PL92,22.669756
PT11,48.75453
PT15,28.860516
TRB1,53.123978
TRB2,62.12884
TRC1,42.77121
RS12,29.63698
RS21,39.233524
RS22,34.632812
SE11,18.618961
SE12,20.064013
NL33,26.896297
NL34,25.822273
NL41,28.007761
NL42,28.859533
PL21,28.700642
UKM6,45.459866
TR22,40.56884
TRC2,43.791607
TRC3,44.284386
UKC1,29.62094
UKC2,29.594067
UKD1,39.80659
UKD3,34.229694
UKD4,38.30057
UKD6,29.269701
UKD7,31.52096
UKE1,25.76178
UKE2,29.856964
UKE3,27.902428
RO41,33.412212
RO42,33.790676
RS11,34.08563
TR41,32.46212
TR42,40.43403
TR51,27.20521
TR52,26.76843
TR61,41.20715
TR62,45.304607
TR63,51.28657
TR71,28.02072
TR72,34.45628
TR81,45.47576
UKK1,28.114744
UKK2,30.398882
UKK3,34.351196
UKK4,33.27477
UKL1,39.637947
UKL2,34.425938
UKM5,31.878786
UKM7,39.59924
UKM8,46.117805
UKM9,38.585915
UKN0,32.91813
SE21,21.006413
SE22,22.240023
SE23,25.620445
SE31,23.082684
SE32,24.490164
SE33,24.737494
SI03,46.012386
SI04,58.26269
SK01,23.69188
SK02,25.228216
SK03,29.486513
SK04,27.05939
TR10,35.39927
TR21,37.486877
UKE4,31.010988
UKF1,27.32098
UKF2,24.411379
UKF3,23.41889
UKG1,26.53326
UKG2,28.74411
UKG3,26.190512
UKH1,23.648554
UKH2,23.39388
UKH3,21.985485
UKI3,23.776718
UKI4,23.776718
UKI5,23.09551
UKI6,23.81164
UKI7,23.719664
UKJ1,25.384266
UKJ2,26.188652
UKJ3,28.573034
