nuts,May Maximum Consecutive Five-Day Precipitation (mm) ensemble median - RCP4.5 - (2041 - 2070)
DE50,29.583143
DE60,28.498934
DE71,32.360325
DE72,32.276886
DE73,32.335297
DE80,25.682255
DE91,29.252739
BG41,40.949913
BG42,37.65734
CH01,65.46844
AT32,64.38736
AT33,64.40386
AT34,69.67439
BE10,28.172781
BE23,27.97536
BE24,28.554522
BE25,29.178324
BE31,29.782804
BE32,30.306997
BE33,33.597755
BE34,34.517105
BE35,32.673615
BG31,41.599762
BG32,37.749916
BG33,31.70996
BG34,31.585653
DE92,27.658115
DE93,29.036232
DE94,27.03346
CZ07,38.169163
CZ08,41.43908
AL01,50.945683
AL02,42.005894
AL03,36.558605
AT11,37.44252
AT12,43.141174
AT13,36.939903
AT21,59.42025
AT22,53.535816
AT31,58.193813
DK05,26.56538
BE21,29.25093
BE22,30.63214
ES43,26.908628
ES51,39.245457
ES52,31.622803
ES53,23.916704
ES61,23.726126
ES62,21.301582
ES63,18.015165
ES64,18.226536
CH02,62.93383
CH03,59.997467
CH04,55.584675
CH05,62.709797
CH06,71.20026
CH07,88.355995
CY00,12.470383
CZ01,31.036531
CZ02,31.089369
CZ03,38.51059
CZ04,31.413315
CZ05,32.53022
CZ06,34.13612
DE40,25.9733
EL53,30.688171
EL54,35.28419
EL61,28.204979
EL62,20.032425
EL63,29.609192
ES70,2.605501
ITC1,69.35858
ITC2,67.49115
DE11,39.90613
DE12,40.184166
DE13,49.398003
DE14,53.15258
DE21,60.232613
DE22,46.204975
DE23,36.62393
DE24,35.012867
DE25,35.78121
DE26,34.043835
DE27,56.0322
DE30,26.67185
EL42,9.151904
LV00,29.166348
ME00,54.56648
MK00,34.608463
MT00,6.107744
NL11,27.694021
NL12,27.79579
EL64,23.15724
EL65,18.420397
ES11,45.650272
ES12,45.521652
ES13,41.831356
ES21,42.374634
ES22,39.38328
ES23,37.80469
ES24,37.251404
ES30,31.471748
IE05,34.265923
IE06,32.29757
IS00,41.521557
ITC3,46.04961
FI19,24.1636
FI1B,23.887669
FI1C,24.271166
DEA1,30.407139
DEA2,32.399708
DEA3,29.98777
DEA4,29.486902
DEA5,33.901154
DEB1,33.07907
DEB2,33.598618
DEB3,33.750076
DEC0,36.348454
DED2,28.698307
DED4,33.724335
DED5,26.766972
DEE0,26.95818
DEF0,27.466948
DEG0,33.295403
DK01,25.279308
DK02,25.441137
DK03,27.61378
DK04,27.094069
ES41,34.33859
ES42,30.183315
HU23,34.87338
HU31,37.18473
HU32,34.927364
HU33,30.947918
IE04,37.665874
EE00,27.139702
EL30,11.507111
EL41,14.319045
EL43,11.480106
EL51,28.678015
EL52,30.35736
FI20,19.532095
FR10,30.195152
FRB0,32.594006
FRC1,40.556107
FRC2,54.51289
FRD1,30.707308
FRD2,31.080677
FRE1,30.701843
FRE2,32.100803
FRF1,42.28292
NL13,28.060913
NL21,29.092527
NL22,28.553272
NL23,29.977283
NL31,28.783194
NL32,27.342388
ITG2,26.777885
ITH1,53.81854
ITH2,65.60623
FRI3,33.691166
FRJ1,42.305073
FRJ2,46.554825
FRK1,44.08789
FRK2,50.499775
FRL0,42.423424
FRM0,30.402132
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,22.293943
TR32,23.210756
TR33,25.639442
HR03,49.724236
HR02,45.348755
HU11,30.843046
HU12,33.49735
HU21,35.461483
HU22,35.649246
PT16,34.975353
PT17,24.420626
FRF2,35.520233
FRF3,38.96226
FRG0,32.828808
FRH0,30.447172
FRI1,40.83383
FRI2,43.497368
ITC4,59.565376
ITF1,39.928406
ITF2,32.671402
ITF3,32.83171
ITF4,20.768654
ITF5,25.675423
ITF6,27.252151
ITG1,16.859093
LT01,31.26865
LT02,28.35756
LU00,32.889496
PL22,39.5538
PL41,28.789383
PL42,26.470072
PT18,24.926556
PT20,0.0
PT30,0.0
RO11,42.502594
RO12,47.444996
RO21,37.47498
RO22,32.41688
RO31,38.793777
RO32,36.79524
ITH3,56.99096
ITH4,70.39037
ITH5,44.971004
ITI1,38.210335
ITI2,40.50294
ITI3,41.490524
ITI4,37.955006
LI00,74.87175
FI1D,27.050716
TR82,36.17606
TR83,36.75649
TR90,51.001564
TRA1,41.880272
TRA2,45.32893
PL43,27.365326
PL51,31.392422
PL52,33.635933
PL61,28.047913
PL62,30.431126
PL63,27.373747
PL71,31.189589
PL72,34.440563
PL81,35.65881
PL82,43.39514
PL84,32.07321
PL91,30.982304
PL92,31.113077
PT11,42.07203
PT15,19.531223
TRB1,39.4356
TRB2,43.866802
