nuts,November Maximum Consecutive Five-Day Precipitation (mm) (1981 - 2010)
DE50,29.100447
DE60,29.594955
DE71,32.968845
DE72,33.644485
DE73,32.847347
DE80,24.077265
DE91,30.236444
BG41,36.41677
BG42,42.70913
CH01,64.48298
AT32,49.05149
AT33,51.0477
AT34,57.716137
BE10,30.444746
BE23,30.504023
BE24,31.434649
BE25,31.874496
BE31,31.719618
BE32,31.50132
BE33,36.848003
BE34,38.390747
BE35,35.00875
BG31,30.660418
BG32,30.92947
BG33,31.06624
BG34,38.50711
DE92,29.810158
DE93,28.85008
DE94,31.45909
CZ07,27.891895
CZ08,28.524754
AL01,96.940384
AL02,68.67398
AL03,76.89393
AT11,26.914959
AT12,26.826443
AT13,24.480732
AT21,56.697735
AT22,36.792763
AT31,37.522354
DK05,31.059351
BE21,32.26591
BE22,33.75872
ES43,46.026817
ES51,42.67716
ES52,32.725407
ES53,35.747086
ES61,43.31531
ES62,26.866274
ES63,60.929234
ES64,30.417168
CH02,55.530384
CH03,44.435932
CH04,46.372414
CH05,58.84229
CH06,61.72527
CH07,84.56025
CY00,34.958874
CZ01,21.512884
CZ02,23.19168
CZ03,26.06457
CZ04,26.983622
CZ05,27.325605
CZ06,23.746098
DE40,24.188545
EL53,47.790325
EL54,96.12293
EL61,55.55306
EL62,100.4121
EL63,90.62145
ES70,16.111725
ITC1,72.50847
ITC2,68.72511
DE11,34.20098
DE12,37.451485
DE13,42.421803
DE14,39.338608
DE21,38.272633
DE22,32.58844
DE23,32.32706
DE24,34.218475
DE25,31.757776
DE26,33.35091
DE27,40.814346
DE30,23.583296
EL42,40.349586
LV00,24.973007
ME00,103.27546
MK00,44.826508
MT00,38.847195
NL11,32.209343
NL12,38.869755
EL64,53.603214
EL65,57.510044
ES11,71.13616
ES12,62.02475
ES13,52.819046
ES21,55.486942
ES22,44.064137
ES23,33.40421
ES24,33.11307
ES30,38.44158
IE05,41.87735
IE06,34.524193
IS00,56.68046
ITC3,79.84689
FI19,24.363081
FI1B,28.93396
FI1C,26.591354
DEA1,37.82604
DEA2,38.75686
DEA3,34.993195
DEA4,33.628544
DEA5,41.872177
DEB1,33.45537
DEB2,34.850533
DEB3,30.426056
DEC0,37.87141
DED2,28.878294
DED4,32.463387
DED5,28.886448
DEE0,26.042532
DEF0,28.820719
DEG0,30.490238
DK01,27.678558
DK02,25.386034
DK03,28.958366
DK04,29.89998
ES41,38.652172
ES42,34.200478
HU23,30.703358
HU31,28.216904
HU32,29.033136
HU33,28.222675
IE04,45.873558
EE00,26.146786
EL30,40.152428
EL41,56.525116
EL43,41.857773
EL51,56.518005
EL52,50.546265
FI20,28.210762
FR10,28.133528
FRB0,30.400036
FRC1,40.852806
FRC2,54.237846
FRD1,36.23967
FRD2,33.281834
FRE1,33.753212
FRE2,30.647554
FRF1,39.77545
NL13,29.638779
NL21,31.993725
NL22,33.277225
NL23,34.586536
NL31,33.840263
NL32,40.232025
ITG2,39.732483
ITH1,54.101612
ITH2,67.78098
FRI3,38.513626
FRJ1,60.04196
FRJ2,44.764397
