nuts,November Maximum Consecutive Five-Day Precipitation (mm) ensemble median - RCP4.5 - (2041 - 2070)
DE50,28.385986
DE60,29.565033
DE71,31.074957
DE72,31.807943
DE73,31.7338
DE80,24.65647
DE91,30.423992
BG41,35.74844
BG42,38.814297
CH01,69.28434
AT32,51.980007
AT33,57.48686
AT34,62.64806
BE10,29.372421
BE23,29.186039
BE24,29.888178
BE25,29.70814
BE31,30.287977
BE32,29.64352
BE33,35.0563
BE34,36.112934
BE35,33.584274
BG31,29.559704
BG32,31.956585
BG33,33.23179
BG34,38.64427
DE92,29.725893
DE93,28.743479
DE94,31.428642
CZ07,28.766409
CZ08,29.758783
AL01,103.05729
AL02,76.01863
AL03,81.42744
AT11,29.392313
AT12,28.062963
AT13,25.293512
AT21,60.89984
AT22,39.194923
AT31,39.274395
DK05,33.076363
BE21,29.570227
BE22,31.733812
ES43,49.531433
ES51,43.342697
ES52,29.460756
ES53,37.931507
ES61,46.172047
ES62,25.997704
ES63,62.526608
ES64,24.988071
CH02,61.29935
CH03,48.373524
CH04,48.023056
CH05,62.540775
CH06,67.61938
CH07,90.431435
CY00,30.448977
CZ01,24.18244
CZ02,25.436178
CZ03,29.050982
CZ04,30.247171
CZ05,27.980179
CZ06,24.613344
DE40,23.210592
EL53,48.765965
EL54,95.1262
EL61,55.115116
EL62,104.06769
EL63,82.82601
ES70,11.397345
ITC1,75.35794
ITC2,75.96018
DE11,37.285717
DE12,39.954525
DE13,47.036705
DE14,44.79927
DE21,41.6007
DE22,35.138763
DE23,34.325382
DE24,35.611927
DE25,35.693443
DE26,34.48818
DE27,44.131298
DE30,22.295713
EL42,38.23721
LV00,26.204636
ME00,108.06054
MK00,45.938923
MT00,38.041
NL11,32.191193
NL12,37.851593
EL64,50.84132
EL65,54.360893
ES11,72.55414
ES12,63.63921
ES13,55.897484
ES21,57.17346
ES22,48.710537
ES23,35.69028
ES24,33.9825
ES30,38.739914
IE05,41.93533
IE06,35.5817
IS00,61.307224
ITC3,83.410934
FI19,25.657253
FI1B,31.315357
FI1C,28.025625
DEA1,35.067932
DEA2,36.181213
DEA3,33.62488
DEA4,34.090576
DEA5,40.05706
DEB1,31.32494
DEB2,32.213017
DEB3,33.09801
DEC0,37.855865
DED2,30.077278
DED4,34.597206
DED5,27.39076
DEE0,25.537811
DEF0,30.3887
DEG0,32.37321
DK01,29.696583
DK02,28.829674
DK03,30.246496
DK04,31.146765
ES41,40.871838
ES42,36.828804
HU23,32.69215
HU31,29.16333
HU32,29.17895
HU33,28.600641
IE04,46.359344
EE00,27.92379
EL30,37.443584
EL41,50.562172
EL43,34.58442
EL51,47.52667
EL52,49.7448
FI20,27.867527
FR10,30.391289
FRB0,34.08641
FRC1,44.698055
FRC2,59.12801
FRD1,34.706196
FRD2,32.070175
FRE1,31.654217
FRE2,31.136898
FRF1,43.967705
NL13,28.93018
NL21,30.31963
NL22,29.877838
NL23,32.49271
NL31,29.950798
NL32,37.91166
ITG2,43.886597
ITH1,56.727776
ITH2,75.52824
FRI3,39.473442
FRJ1,68.96651
FRJ2,49.203674
FRK1,47.39189
FRK2,61.87766
FRL0,58.96481
FRM0,57.34815
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,60.985374
TR32,55.34024
TR33,34.724476
HR03,89.50012
HR02,44.612247
HU11,29.32775
HU12,29.94592
HU21,31.83891
HU22,33.87647
PT16,60.26355
PT17,50.102745
FRF2,38.301712
FRF3,42.877407
FRG0,35.51401
FRH0,38.185528
FRI1,49.175247
FRI2,46.492477
ITC4,63.607147
ITF1,58.101692
ITF2,58.00172
ITF3,79.986824
ITF4,46.444153
ITF5,46.99647
ITF6,65.08421
ITG1,44.516285
LT01,23.37171
LT02,25.53304
LU00,33.39615
PL22,29.36005
PL41,21.89937
PL42,24.580166
PT18,45.988457
PT20,0.0
PT30,0.0
RO11,33.14249
RO12,27.68681
RO21,28.346012
RO22,29.07355
RO31,30.630224
RO32,28.053926
ITH3,72.525375
ITH4,100.25432
ITH5,58.27509
ITI1,64.500626
ITI2,59.95631
ITI3,50.884617
ITI4,79.06668
LI00,66.39705
FI1D,23.63937
TR82,40.73883
TR83,39.255554
TR90,64.01979
TRA1,41.61086
TRA2,47.230457
PL43,23.366737
PL51,26.75773
PL52,24.895948
PL61,21.269287
PL62,23.538998
PL63,24.698391
PL71,24.372927
PL72,25.14578
PL81,23.703424
PL82,29.754702
PL84,22.949078
PL91,23.434778
PL92,23.308073
PT11,70.339066
PT15,49.969196
TRB1,48.29467
TRB2,56.861656
TRC1,40.703606
RS12,30.23754
RS21,38.837543
RS22,33.639156
SE11,27.182505
SE12,27.313637
NL33,33.520744
NL34,31.457909
NL41,29.963392
NL42,32.065796
PL21,29.165346
UKM6,55.634674
TR22,52.45225
TRC2,39.697735
TRC3,37.56422
UKC1,33.623703
UKC2,33.832382
UKD1,49.64093
UKD3,37.894886
UKD4,46.284557
UKD6,33.259663
UKD7,40.25758
UKE1,27.632017
UKE2,33.228184
UKE3,27.930143
RO41,32.557
RO42,31.633057
RS11,31.906025
TR41,33.662384
TR42,41.97786
TR51,28.188025
TR52,30.788086
TR61,53.806335
TR62,52.440475
TR63,45.783558
TR71,28.538452
TR72,34.157333
TR81,46.84829
UKK1,30.501503
UKK2,36.292152
UKK3,40.269558
UKK4,38.676697
UKL1,48.475105
UKL2,38.492374
UKM5,40.701416
UKM7,44.63017
UKM8,54.456886
UKM9,47.518154
UKN0,39.788616
SE21,28.094164
SE22,28.798319
SE23,31.925436
SE31,31.104856
SE32,30.67209
SE33,28.936499
SI03,56.945328
SI04,82.34458
SK01,26.889507
SK02,30.69383
SK03,34.677845
SK04,31.348194
TR10,46.379513
TR21,47.470764
UKE4,31.613579
UKF1,28.06444
UKF2,24.730183
UKF3,25.577517
UKG1,28.133162
UKG2,30.218426
UKG3,26.878439
UKH1,25.353828
UKH2,24.581165
UKH3,25.220535
UKI3,26.314556
UKI4,26.314556
UKI5,25.901453
UKI6,27.214563
UKI7,26.118637
UKJ1,26.298922
UKJ2,36.2217
UKJ3,35.322334
UKJ4,31.321178
NO09,61.69333
NO0A,84.185425
NO0B,35.100143
HR05,45.725
HR06,44.31142
NO02,37.19949
NO06,48.06324
NO07,41.883232
NO08,44.274075
