nuts,October Maximum Consecutive Five-Day Precipitation (mm) (1981 - 2010)
DE50,30.669401
DE60,34.755642
DE71,36.181824
DE72,34.76792
DE73,31.916965
DE80,25.622063
DE91,28.651339
BG41,30.172934
BG42,29.961037
CH01,65.57403
AT32,49.47104
AT33,49.217495
AT34,50.102417
BE10,31.75943
BE23,32.32317
BE24,32.718864
BE25,34.722004
BE31,33.57608
BE32,34.95409
BE33,38.421753
BE34,41.520443
BE35,38.15902
BG31,26.523209
BG32,28.173615
BG33,28.670961
BG34,31.658348
DE92,30.519716
DE93,30.804747
DE94,35.36912
CZ07,23.897846
CZ08,24.109667
AL01,73.5305
AL02,58.268482
AL03,62.829746
AT11,26.942099
AT12,26.668142
AT13,22.671125
AT21,59.698727
AT22,39.367683
AT31,38.1339
DK05,37.823345
BE21,33.44715
BE22,34.314415
ES43,43.343662
ES51,50.68509
ES52,42.581875
ES53,36.633373
ES61,34.757515
ES62,25.761671
ES63,41.350365
ES64,28.05493
CH02,56.980743
CH03,48.227
CH04,45.63255
CH05,55.719513
CH06,60.72114
CH07,96.14289
CY00,21.018238
CZ01,20.35385
CZ02,22.257925
CZ03,27.246235
CZ04,25.742037
CZ05,25.41364
CZ06,21.639437
DE40,22.10935
EL53,39.21888
EL54,70.467804
EL61,50.38243
EL62,76.779205
EL63,57.62684
ES70,12.005542
ITC1,81.87793
ITC2,74.58691
DE11,39.2244
DE12,43.338764
DE13,46.301346
DE14,40.212276
DE21,38.23829
DE22,33.68779
DE23,33.239388
DE24,34.014996
DE25,34.441017
DE26,36.170757
DE27,39.291363
DE30,22.046165
EL42,25.341747
LV00,30.46999
ME00,81.71244
MK00,35.33522
MT00,33.10218
NL11,38.72962
NL12,47.19947
EL64,40.12295
EL65,37.114346
ES11,76.09689
ES12,56.93423
ES13,43.32557
ES21,43.664364
ES22,41.287975
ES23,31.004457
ES24,37.203518
ES30,32.032326
IE05,46.94302
IE06,38.66795
IS00,61.602448
ITC3,83.03451
FI19,29.053669
FI1B,32.06377
FI1C,30.432102
DEA1,37.161697
DEA2,38.41054
DEA3,35.17779
DEA4,33.89148
DEA5,40.20063
DEB1,35.86072
DEB2,38.619503
DEB3,35.538307
DEC0,42.557617
DED2,25.111328
DED4,29.030224
DED5,23.863512
DEE0,23.37448
DEF0,35.582405
DEG0,28.2892
DK01,32.371284
DK02,30.968746
DK03,36.05558
DK04,36.52711
ES41,37.809834
ES42,31.388088
