nuts,October Maximum Consecutive Five-Day Precipitation (mm) ensemble median - RCP4.5 - (2041 - 2070)
DE50,32.115532
DE60,36.467094
DE71,34.217712
DE72,33.377247
DE73,32.63843
DE80,27.360434
DE91,29.579664
BG41,30.576508
BG42,32.15579
CH01,64.645935
AT32,56.369602
AT33,56.395668
AT34,57.932228
BE10,30.9079
BE23,32.536858
BE24,31.27048
BE25,34.169853
BE31,31.951372
BE32,32.316822
BE33,36.112617
BE34,39.533653
BE35,34.909683
BG31,28.351107
BG32,31.639418
BG33,35.897533
BG34,36.948868
DE92,31.209324
DE93,32.314667
DE94,35.82723
CZ07,30.116419
CZ08,31.489643
AL01,82.29859
AL02,64.89963
AL03,66.040054
AT11,33.499443
AT12,31.507553
AT13,28.304876
AT21,65.86638
AT22,46.250313
AT31,41.728
DK05,39.520317
BE21,33.59833
BE22,33.247612
ES43,44.98548
ES51,47.32215
ES52,34.496346
ES53,33.449814
ES61,33.0952
ES62,26.161188
ES63,38.57022
ES64,22.284866
CH02,57.3221
CH03,49.8509
CH04,46.760105
CH05,58.08099
CH06,62.749287
CH07,96.643295
CY00,17.063074
CZ01,24.654987
CZ02,26.723713
CZ03,28.931835
CZ04,28.647335
CZ05,30.17397
CZ06,26.724718
DE40,24.801666
EL53,36.57606
EL54,72.18409
EL61,47.338432
EL62,81.05741
EL63,61.471752
ES70,8.6439905
ITC1,74.97032
ITC2,71.04148
DE11,38.896084
DE12,42.081146
DE13,44.425526
DE14,41.120926
DE21,42.035816
DE22,35.847065
DE23,34.7634
DE24,34.469303
DE25,34.24718
DE26,35.474243
DE27,42.00225
DE30,25.39626
EL42,22.671154
LV00,33.420135
ME00,84.65452
MK00,33.848408
MT00,34.63211
NL11,39.20381
NL12,46.613758
EL64,41.15782
EL65,37.759968
ES11,70.6616
ES12,51.781815
ES13,43.17392
ES21,45.03544
ES22,43.385395
ES23,29.797234
ES24,34.133133
ES30,34.31528
IE05,45.783764
IE06,40.026676
IS00,63.32843
ITC3,77.45437
FI19,30.980408
FI1B,35.76079
FI1C,32.585724
DEA1,36.52093
DEA2,37.336105
DEA3,34.587444
DEA4,33.94107
DEA5,38.431767
DEB1,34.59224
DEB2,37.190807
DEB3,34.425934
