nuts,September Maximum Consecutive Five-Day Precipitation (mm) ensemble median - RCP8.5 - (2041 - 2070)
DE50,32.320675
DE60,34.252377
DE71,35.731728
DE72,36.828186
DE73,35.61484
DE80,29.114557
DE91,32.796547
BG41,28.12667
BG42,30.932388
CH01,60.80134
AT32,65.2927
AT33,62.9014
AT34,61.42797
BE10,29.074783
BE23,30.507122
BE24,29.553143
BE25,32.42996
BE31,28.953323
BE32,29.637503
BE33,34.435314
BE34,37.388786
BE35,31.644056
BG31,34.385715
BG32,35.035122
BG33,33.044647
BG34,29.415142
DE92,31.194263
DE93,31.96279
DE94,35.601048
CZ07,44.59653
CZ08,46.823647
AL01,67.40837
AL02,49.64704
AL03,46.449028
AT11,43.84065
AT12,44.261208
AT13,42.361584
AT21,67.626114
AT22,58.288494
AT31,54.371704
DK05,38.030937
BE21,32.223347
BE22,31.804592
ES43,18.625473
ES51,43.280853
ES52,33.34121
ES53,25.675156
ES61,18.03055
ES62,24.426882
ES63,16.080496
ES64,13.388291
CH02,57.525043
CH03,52.181
CH04,53.029182
CH05,64.013176
CH06,67.67114
CH07,96.12025
CY00,3.5498884
CZ01,33.83068
CZ02,35.849003
CZ03,39.251213
CZ04,34.029243
CZ05,38.322735
CZ06,40.667328
DE40,28.476818
EL53,28.476122
EL54,45.36514
EL61,27.95061
EL62,48.746647
EL63,33.35983
ES70,3.6937826
ITC1,64.67218
ITC2,59.742565
DE11,37.1245
DE12,39.19142
DE13,44.308575
DE14,45.208763
DE21,50.549236
DE22,41.54311
DE23,37.484676
DE24,35.777092
DE25,32.671947
DE26,35.236946
DE27,49.21862
DE30,27.5178
EL42,6.262593
LV00,34.517124
ME00,71.23886
MK00,27.57932
MT00,27.322508
NL11,39.157257
NL12,45.70508
EL64,22.986246
EL65,15.556156
ES11,35.487415
ES12,31.836147
ES13,33.22588
ES21,30.614151
ES22,31.934204
ES23,22.710056
ES24,31.863924
ES30,16.908697
IE05,37.349
IE06,34.204216
IS00,61.80621
ITC3,56.147373
FI19,33.353622
FI1B,33.88404
FI1C,31.677332
DEA1,34.547318
DEA2,36.162834
DEA3,33.177967
DEA4,32.62567
DEA5,38.316666
DEB1,35.76732
DEB2,35.89337
DEB3,35.1401
DEC0,37.860943
DED2,33.747547
DED4,33.961437
DED5,30.398796
DEE0,30.680273
DEF0,35.63177
DEG0,33.207462
DK01,34.503643
DK02,33.49134
DK03,36.311012
DK04,37.299118
ES41,22.712523
ES42,21.064575
HU23,40.039555
HU31,36.698593
HU32,36.391796
HU33,34.87455
IE04,43.723743
EE00,33.71949
EL30,8.750424
EL41,12.798278
EL43,8.074199
EL51,21.893372
EL52,31.672468
FI20,32.30744
FR10,27.008293
FRB0,30.4253
FRC1,38.94102
FRC2,51.378685
FRD1,30.699903
FRD2,30.486528
FRE1,29.614075
FRE2,29.018208
FRF1,43.2629
NL13,34.07621
NL21,32.99372
NL22,31.812054
NL23,36.32055
NL31,34.317383
NL32,45.03447
ITG2,23.624386
ITH1,53.702587
ITH2,59.684155
FRI3,32.785454
FRJ1,49.385376
FRJ2,40.90829
FRK1,43.959328
FRK2,52.301376
FRL0,41.803673
FRM0,32.141247
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,11.805928
TR32,12.773622
TR33,12.111812
HR03,71.02708
HR02,46.905937
HU11,34.715614
HU12,35.581913
HU21,39.218994
HU22,43.18414
PT16,23.906092
PT17,15.00256
FRF2,37.081738
FRF3,41.920143
FRG0,28.127163
FRH0,28.049194
FRI1,38.214256
