nuts,Spring Maximum Consecutive Five-Day Precipitation (mm) (1981 - 2010)
DE50,36.760742
DE60,37.02235
DE71,42.583107
DE72,41.73346
DE73,41.79809
DE80,32.191624
DE91,38.575592
BG41,48.975227
BG42,53.011143
CH01,85.40476
AT32,68.03175
AT33,69.40426
AT34,77.31171
BE10,35.244328
BE23,35.750854
BE24,36.019768
BE25,35.0648
BE31,36.403774
BE32,37.41056
BE33,43.634594
BE34,45.944912
BE35,41.77522
BG31,48.14525
BG32,48.431293
BG33,42.475937
BG34,45.434708
DE92,37.706272
DE93,36.2319
DE94,37.16812
CZ07,41.76516
CZ08,44.391457
AL01,85.24031
AL02,63.950634
AL03,58.890995
AT11,41.37542
AT12,47.464672
AT13,42.023464
AT21,63.64935
AT22,55.25115
AT31,62.0531
DK05,34.229866
BE21,36.248756
BE22,38.26101
ES43,48.69171
ES51,51.740356
ES52,43.14427
ES53,32.015614
ES61,46.17175
ES62,35.771446
ES63,49.24916
ES64,38.146473
CH02,76.01962
CH03,65.46781
CH04,65.62896
CH05,74.5674
CH06,83.42601
CH07,115.96204
CY00,27.152605
CZ01,34.987495
CZ02,36.679005
CZ03,43.533897
CZ04,37.778633
CZ05,38.239353
CZ06,39.116783
DE40,33.59323
EL53,46.445065
EL54,64.50016
EL61,54.218616
EL62,54.245094
EL63,57.792797
ES70,18.10977
ITC1,97.963776
ITC2,100.10923
DE11,50.57931
DE12,52.329475
DE13,58.05431
DE14,58.09437
DE21,63.9983
DE22,51.59213
DE23,47.352886
DE24,45.228653
DE25,48.201
DE26,45.12651
DE27,63.331142
DE30,33.967293
EL42,34.163815
LV00,33.350536
ME00,91.43384
MK00,46.526264
MT00,25.274282
NL11,36.579445
NL12,36.23305
EL64,50.295784
EL65,46.221504
ES11,73.865616
ES12,67.00168
ES13,61.643024
ES21,60.49729
ES22,52.51676
ES23,47.431095
ES24,46.53732
ES30,43.323093
IE05,46.584976
IE06,39.327385
IS00,61.846203
ITC3,73.57041
FI19,28.558258
FI1B,28.182892
FI1C,27.914524
DEA1,41.20097
DEA2,44.098137
DEA3,40.517017
DEA4,40.974022
DEA5,46.765484
DEB1,41.77841
DEB2,43.01901
DEB3,41.450592
DEC0,45.569565
DED2,37.43328
DED4,41.939495
DED5,36.22956
DEE0,35.034946
DEF0,34.67639
DEG0,40.57636
DK01,31.255402
DK02,30.249514
DK03,33.76763
DK04,33.83022
ES41,46.998737
ES42,42.613663
HU23,40.25813
HU31,42.41044
HU32,39.889103
HU33,36.799915
IE04,46.857655
EE00,30.11104
EL30,37.86939
EL41,46.214066
