nuts,Spring Maximum Consecutive Five-Day Precipitation (mm) ensemble median - RCP4.5 - (2041 - 2070)
DE50,35.384815
DE60,35.33793
DE71,41.424683
DE72,40.57306
DE73,40.98445
DE80,31.85409
DE91,36.850372
BG41,52.233223
BG42,53.872265
CH01,84.86686
AT32,71.29087
AT33,72.29294
AT34,80.20429
BE10,34.471153
BE23,35.14486
BE24,36.29996
BE25,35.123028
BE31,36.69745
BE32,38.452454
BE33,42.77906
BE34,45.117836
BE35,42.239777
BG31,51.25546
BG32,47.59634
BG33,43.023643
BG34,46.007843
DE92,35.874405
DE93,34.845898
DE94,34.21152
CZ07,42.901127
CZ08,45.18365
AL01,85.12342
AL02,66.27089
AL03,65.08915
AT11,44.453472
AT12,49.12827
AT13,43.531097
AT21,71.685104
AT22,60.584743
AT31,64.87538
DK05,33.66264
BE21,36.934883
BE22,37.857967
ES43,44.814236
ES51,56.979603
ES52,46.484024
ES53,36.05844
ES61,44.32087
ES62,37.07819
ES63,46.953884
ES64,39.060963
CH02,75.82882
CH03,65.54823
CH04,65.78074
CH05,74.95913
CH06,84.87157
CH07,108.39165
CY00,29.03737
CZ01,34.962334
CZ02,36.00078
CZ03,45.800083
CZ04,37.04522
CZ05,39.003506
CZ06,38.739777
DE40,32.38124
EL53,48.27476
EL54,71.72816
EL61,55.304905
EL62,57.28916
EL63,63.363068
ES70,9.171493
ITC1,94.42664
ITC2,93.95939
DE11,49.730953
DE12,51.36807
DE13,59.701958
DE14,60.32849
DE21,66.95677
DE22,54.037685
DE23,46.192047
DE24,42.69971
DE25,44.288017
DE26,42.56486
DE27,65.299034
DE30,32.192932
EL42,38.35462
LV00,34.187164
ME00,90.56009
MK00,48.75383
MT00,26.141665
NL11,34.67895
NL12,33.522984
EL64,54.823627
EL65,48.348663
ES11,69.72957
ES12,65.621925
ES13,61.571636
ES21,59.87602
ES22,54.138786
ES23,48.844063
ES24,48.639355
ES30,43.142803
IE05,45.027042
IE06,40.92944
IS00,68.35965
ITC3,80.51677
FI19,29.004074
FI1B,27.94781
FI1C,28.792831
DEA1,39.684177
DEA2,42.69643
DEA3,38.562885
DEA4,39.868446
DEA5,46.33133
DEB1,41.438255
DEB2,42.373287
DEB3,41.706005
DEC0,45.686558
DED2,37.27872
DED4,40.412746
DED5,34.030716
DEE0,33.209446
DEF0,33.63919
DEG0,39.939636
DK01,30.536926
DK02,31.059732
DK03,34.714527
DK04,33.57072
ES41,45.410976
ES42,42.257572
HU23,44.928593
HU31,41.903084
HU32,41.47668
HU33,38.51638
IE04,46.643322
EE00,31.226704
EL30,39.18953
EL41,48.486717
EL43,35.486595
