nuts,Summer Maximum Consecutive Five-Day Precipitation (mm) (1981 - 2010)
DE50,47.70031
DE60,50.421288
DE71,40.917896
DE72,42.35079
DE73,43.566116
DE80,45.37956
DE91,43.523674
BG41,50.70818
BG42,48.318165
CH01,83.38846
AT32,87.404335
AT33,88.40533
AT34,97.21472
BE10,43.25175
BE23,44.56551
BE24,43.557262
BE25,44.708687
BE31,43.29112
BE32,44.289944
BE33,47.4651
BE34,46.49711
BE35,46.044067
BG31,53.518513
BG32,50.92238
BG33,44.002785
BG34,44.437527
DE92,44.44464
DE93,48.166748
DE94,46.84911
CZ07,63.76565
CZ08,67.809814
AL01,54.687702
AL02,42.827835
AL03,33.185947
AT11,54.135216
AT12,64.93885
AT13,57.65796
AT21,76.355064
AT22,70.28114
AT31,80.33978
DK05,46.953022
BE21,44.29513
BE22,43.710033
ES43,19.990564
ES51,45.35378
ES52,26.31486
ES53,18.473705
ES61,16.952215
ES62,17.989765
ES63,11.889898
ES64,10.704344
CH02,81.2718
CH03,71.524254
CH04,76.585556
CH05,89.6601
CH06,102.73078
CH07,125.21309
CY00,4.3710594
CZ01,60.329014
CZ02,57.682858
CZ03,61.021957
CZ04,55.347694
CZ05,58.728676
CZ06,57.143314
DE40,45.34735
EL53,30.657103
EL54,30.483158
EL61,31.193562
EL62,19.322254
EL63,22.799652
ES70,3.134977
ITC1,76.280914
ITC2,73.119644
DE11,48.281742
DE12,47.60039
DE13,57.489857
DE14,66.20889
DE21,79.568886
DE22,64.91186
DE23,55.063072
DE24,47.559467
DE25,49.354736
DE26,42.87244
DE27,75.040016
DE30,45.189175
EL42,2.1799328
LV00,49.229893
ME00,57.840427
MK00,37.709072
MT00,4.873514
NL11,49.69
NL12,49.409767
EL64,22.517641
EL65,13.17907
ES11,48.184166
ES12,56.62392
ES13,50.99193
ES21,48.38865
ES22,45.08143
ES23,41.058636
ES24,38.57753
ES30,22.638985
IE05,47.611134
IE06,44.04727
IS00,52.99503
ITC3,52.902576
FI19,46.931435
FI1B,47.300385
FI1C,47.036476
DEA1,45.420853
DEA2,47.334145
DEA3,44.842464
DEA4,44.74652
DEA5,48.69383
DEB1,41.67237
DEB2,42.554996
DEB3,39.283173
DEC0,41.45291
DED2,57.1757
DED4,56.404366
DED5,45.803364
DEE0,42.310177
DEF0,48.21482
DEG0,44.605293
DK01,47.6537
DK02,44.966038
DK03,44.662098
DK04,45.106827
ES41,31.233131
ES42,24.848616
HU23,48.26759
HU31,51.681854
HU32,47.96371
HU33,44.29234
IE04,49.513714
EE00,48.955585
EL30,7.050647
EL41,5.1806397
EL43,5.22943
EL51,33.02923
EL52,37.490433
FI20,41.52298
FR10,38.03684
FRB0,39.550545
FRC1,44.727875
FRC2,59.187405
FRD1,40.561134
FRD2,40.054565
FRE1,42.52484
FRE2,41.198906
FRF1,50.69856
NL13,46.49567
NL21,45.359882
NL22,44.161366
NL23,46.11934
NL31,45.083595
NL32,47.212368
ITG2,17.0875
ITH1,71.214554
ITH2,76.17237
FRI3,40.124584
FRJ1,46.568203
FRJ2,53.887573
FRK1,51.501385
FRK2,59.470104
FRL0,42.821747
FRM0,27.397997
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,9.570358
TR32,12.751789
TR33,19.211424
HR03,56.19155
HR02,55.039936
HU11,48.67006
HU12,49.747
HU21,49.638557
HU22,52.12366
PT16,25.501139
PT17,12.679995
FRF2,43.75311
FRF3,45.81992
FRG0,37.175003
FRH0,40.887962
FRI1,48.911312
FRI2,52.869125
ITC4,76.04083
ITF1,43.52113
ITF2,37.86679
ITF3,30.936333
ITF4,25.969343
ITF5,28.322376
ITF6,28.479843
ITG1,15.0752945
LT01,54.197857
LT02,49.843056
LU00,44.28719
PL22,60.665615
PL41,49.480755
PL42,48.445343
PT18,15.249223
PT20,0.0
PT30,8.017093
RO11,61.283104
RO12,65.92216
RO21,67.83425
RO22,47.564163
RO31,55.98603
RO32,54.79374
ITH3,70.24058
ITH4,86.25909
ITH5,56.46008
ITI1,44.344822
ITI2,41.309658
ITI3,44.796253
ITI4,38.359695
LI00,111.22694
FI1D,45.743526
TR82,41.008007
TR83,34.730743
TR90,61.92778
TRA1,37.854908
TRA2,43.257805
PL43,49.27214
PL51,58.422646
PL52,57.952946
PL61,48.715435
PL62,47.74941
PL63,49.89407
PL71,47.43414
PL72,51.92216
PL81,53.400814
PL82,61.941196
PL84,46.76909
PL91,46.725605
PL92,46.559372
PT11,39.130302
PT15,9.821576
TRB1,19.981438
TRB2,24.087105
TRC1,9.364904
RS12,46.399418
RS21,54.721916
RS22,48.722122
SE11,44.3108
SE12,47.07816
NL33,45.849556
NL34,44.51304
NL41,43.681156
NL42,42.730328
PL21,66.64698
UKM6,49.21637
TR22,21.55094
TRC2,7.4356313
TRC3,8.467728
UKC1,42.122204
UKC2,40.542404
UKD1,50.876564
UKD3,47.51142
UKD4,50.882393
UKD6,43.193466
UKD7,46.59285
UKE1,40.64454
UKE2,44.84314
UKE3,45.02447
RO41,59.224083
RO42,57.45625
RS11,51.622868
TR41,28.16557
TR42,43.838806
TR51,22.185032
TR52,18.541042
TR61,20.557814
TR62,25.19671
TR63,16.201683
TR71,21.650667
TR72,25.94238
TR81,56.64194
UKK1,41.941093
UKK2,41.38692
UKK3,42.797768
UKK4,42.80007
UKL1,48.086067
UKL2,46.369267
UKM5,40.249546
UKM7,45.777718
UKM8,52.26473
UKM9,47.059647
UKN0,45.64256
SE21,47.64646
SE22,49.02877
SE23,53.190403
SE31,52.36233
SE32,52.473824
SE33,52.346466
SI03,70.69106
SI04,80.74212
SK01,57.591835
SK02,57.199486
SK03,60.184284
SK04,60.85844
TR10,33.46181
TR21,28.841373
UKE4,47.60188
UKF1,43.30338
UKF2,40.235035
UKF3,40.520954
UKG1,41.89436
UKG2,41.446075
UKG3,41.689823
UKH1,38.805004
UKH2,38.310467
UKH3,36.04612
UKI3,38.116676
UKI4,38.116676
UKI5,37.587704
UKI6,38.830467
UKI7,37.742283
UKJ1,39.725708
UKJ2,37.252865
UKJ3,39.071457
UKJ4,36.59767
NO09,63.43834
NO0A,75.12463
NO0B,25.89312
HR05,57.14067
HR06,57.04906
NO02,57.61885
NO06,58.357155
NO07,51.995148
NO08,57.23722
