nuts,Summer Maximum Consecutive Five-Day Precipitation (mm) ensemble median - RCP8.5 - (2071 - 2100)
DE50,51.847378
DE60,58.045464
DE71,47.46991
DE72,51.476715
DE73,52.333874
DE80,52.19099
DE91,53.38858
BG41,53.723537
BG42,53.810795
CH01,91.77012
AT32,96.54325
AT33,97.33349
AT34,103.361664
BE10,44.13405
BE23,44.811855
BE24,45.745995
BE25,46.144165
BE31,46.816643
BE32,44.964874
BE33,52.548042
BE34,50.979877
BE35,51.010643
BG31,60.590202
BG32,56.173897
BG33,52.267918
BG34,48.624557
DE92,50.75976
DE93,54.692017
DE94,52.551132
CZ07,66.98995
CZ08,72.71723
AL01,45.85847
AL02,35.414616
AL03,29.138237
AT11,64.72329
AT12,74.626564
AT13,65.78009
AT21,87.168396
AT22,81.2832
AT31,86.54291
DK05,49.908894
BE21,43.78288
BE22,46.537365
ES43,13.433568
ES51,38.33809
ES52,20.843071
ES53,13.588593
ES61,11.733987
ES62,13.444622
ES63,10.669333
ES64,8.630689
CH02,91.5202
CH03,81.68814
CH04,88.86413
CH05,92.30881
CH06,114.95186
CH07,117.58536
CY00,2.7772243
CZ01,59.766983
CZ02,60.284706
CZ03,63.536438
CZ04,58.62914
CZ05,61.509224
CZ06,62.66073
DE40,53.691116
EL53,28.45482
EL54,24.545784
EL61,29.456894
EL62,16.299713
EL63,21.0235
ES70,2.0152202
ITC1,75.319176
ITC2,75.58297
DE11,53.976192
DE12,55.043488
DE13,66.70778
DE14,77.34925
DE21,88.22052
DE22,69.222435
DE23,59.7126
DE24,52.653225
DE25,54.311962
DE26,49.16557
DE27,83.6786
DE30,50.60264
EL42,1.9928144
LV00,57.793194
ME00,48.33373
MK00,39.05256
MT00,3.064889
NL11,57.548714
NL12,54.296085
EL64,21.560436
EL65,12.127907
ES11,35.48554
ES12,47.11244
ES13,45.511715
ES21,46.236404
ES22,44.514206
ES23,37.747242
ES24,35.923717
ES30,20.903383
IE05,46.8372
IE06,46.920578
IS00,56.652782
ITC3,44.515877
FI19,55.754547
FI1B,52.352287
FI1C,53.548218
DEA1,50.89337
DEA2,52.280243
DEA3,51.67855
DEA4,51.708046
DEA5,56.540012
DEB1,48.367577
DEB2,46.490704
DEB3,46.47446
DEC0,45.36251
DED2,63.88209
DED4,61.152466
DED5,51.283665
DEE0,49.70021
DEF0,52.717224
DEG0,52.501575
DK01,53.866997
DK02,49.424873
DK03,51.061752
DK04,52.93913
ES41,27.962059
ES42,21.537172
HU23,55.72493
HU31,54.378765
HU32,52.69635
HU33,51.10915
IE04,50.2506
EE00,59.113506
EL30,6.1773543
EL41,6.615979
EL43,4.6889057
EL51,36.434193
EL52,35.69743
FI20,51.256397
FR10,42.607277
FRB0,42.351818
FRC1,50.11484
FRC2,63.008457
FRD1,44.323723
FRD2,45.380035
FRE1,42.78739
FRE2,46.3863
FRF1,55.804478
NL13,54.485184
NL21,52.072506
NL22,49.936424
NL23,51.564915
NL31,50.654655
NL32,53.77978
ITG2,15.293521
ITH1,76.575325
ITH2,78.948906
FRI3,41.366306
FRJ1,44.36752
FRJ2,53.156094
FRK1,54.76007
FRK2,62.22801
FRL0,39.960567
FRM0,22.702934
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,11.483811
TR32,11.8094015
TR33,18.453646
HR03,55.27271
HR02,61.756615
HU11,50.42323
HU12,51.886314
HU21,52.91466
HU22,59.927643
PT16,18.639463
PT17,8.625998
FRF2,49.290302
FRF3,50.337757
FRG0,37.584034
FRH0,38.26467
FRI1,48.88649
FRI2,52.852585
ITC4,78.96481
ITF1,43.22902
ITF2,37.175404
ITF3,28.042456
ITF4,24.485987
ITF5,25.351051
ITF6,23.268248
ITG1,11.149759
LT01,60.750126
LT02,57.49642
LU00,47.678078
PL22,68.5236
PL41,59.529175
PL42,63.562504
PT18,10.843507
PT20,0.0
PT30,0.0
RO11,70.82286
RO12,74.82029
RO21,72.41429
RO22,53.747456
RO31,67.96716
RO32,65.86997
ITH3,74.269936
ITH4,87.91337
ITH5,57.434547
ITI1,36.696968
ITI2,37.8513
ITI3,44.61346
ITI4,34.258415
LI00,117.10536
FI1D,56.61566
TR82,36.90438
TR83,30.019655
TR90,64.43877
TRA1,32.326656
TRA2,46.751995
PL43,59.838306
PL51,63.88076
PL52,66.33952
PL61,58.44908
PL62,56.062492
PL63,59.40132
PL71,61.545864
PL72,62.152916
PL81,66.51083
PL82,72.37255
PL84,57.58916
PL91,57.062855
PL92,56.75094
PT11,28.587229
PT15,6.6304584
TRB1,15.821468
TRB2,18.096716
TRC1,6.9162855
RS12,52.72175
RS21,56.465458
RS22,50.324093
SE11,53.648308
SE12,55.016823
NL33,51.9326
NL34,47.10182
NL41,46.84842
NL42,46.09027
PL21,74.682076
UKM6,53.543674
TR22,22.040161
TRC2,4.999445
TRC3,4.0277605
UKC1,44.388775
UKC2,47.479748
UKD1,52.6398
UKD3,48.431446
UKD4,52.268932
UKD6,46.110878
UKD7,49.832405
UKE1,43.348434
UKE2,45.524174
UKE3,46.51125
RO41,65.04557
RO42,64.492195
RS11,53.94832
TR41,26.332226
TR42,42.836697
TR51,21.08169
TR52,16.783041
TR61,17.192907
TR62,20.91493
TR63,12.431651
TR71,19.714928
TR72,22.34101
TR81,57.586304
UKK1,40.796917
UKK2,42.66635
UKK3,43.64904
UKK4,47.21655
UKL1,50.45175
UKL2,48.890717
UKM5,47.262012
UKM7,48.721283
UKM8,54.72941
UKM9,50.511883
UKN0,47.17021
SE21,53.48688
SE22,53.972378
SE23,61.862644
SE31,58.49625
SE32,61.058968
SE33,64.933
SI03,74.28387
SI04,82.33203
SK01,62.111965
SK02,61.32014
SK03,65.46883
SK04,66.031296
TR10,35.52657
TR21,31.513748
UKE4,48.460148
UKF1,44.16887
UKF2,40.366
UKF3,41.395386
UKG1,43.261276
UKG2,45.483982
UKG3,41.52744
UKH1,41.12855
UKH2,40.293594
UKH3,38.291336
UKI3,41.68715
UKI4,41.68715
UKI5,41.681694
UKI6,42.38791
UKI7,40.290836
UKJ1,39.702194
UKJ2,40.304092
UKJ3,40.74401
UKJ4,39.019444
NO09,70.10124
NO0A,84.4532
NO0B,32.08221
HR05,67.63674
HR06,68.43174
NO02,65.87902
NO06,72.725266
NO07,63.930584
NO08,65.951096
