nuts,Winter Maximum Consecutive Five-Day Precipitation (mm) (1981 - 2010)
DE50,39.53073
DE60,40.13809
DE71,46.42453
DE72,45.856277
DE73,42.594097
DE80,31.872862
DE91,38.21844
BG41,43.344193
BG42,53.7742
CH01,92.02325
AT32,61.47757
AT33,63.555954
AT34,79.50848
BE10,40.96072
BE23,39.54583
BE24,41.867577
BE25,39.768482
BE31,42.5549
BE32,43.95025
BE33,52.07394
BE34,57.047802
BE35,50.07625
BG31,38.043457
BG32,39.06816
BG33,38.689297
BG34,46.471867
DE92,39.61812
DE93,38.346138
DE94,40.58016
CZ07,32.833958
CZ08,32.926407
AL01,110.19823
AL02,82.604675
AL03,82.87053
AT11,30.80804
AT12,33.565838
AT13,28.84006
AT21,57.612007
AT22,45.20349
AT31,53.70372
DK05,35.43774
BE21,41.688732
BE22,44.70237
ES43,59.608707
ES51,48.285168
ES52,40.283894
ES53,39.761326
ES61,58.921143
ES62,33.366795
ES63,85.07417
ES64,35.76297
CH02,78.88953
CH03,60.018116
CH04,61.850163
CH05,69.87024
CH06,79.033035
CH07,83.182175
CY00,54.586525
CZ01,28.221855
CZ02,30.857742
CZ03,37.01369
CZ04,35.60596
CZ05,35.846123
CZ06,29.371609
DE40,30.483995
EL53,54.865467
EL54,100.61557
EL61,73.91224
EL62,100.494644
EL63,90.28221
ES70,34.05862
ITC1,78.45883
ITC2,87.58083
DE11,50.711315
DE12,56.096317
DE13,60.99419
DE14,52.834106
DE21,52.67284
DE22,48.83982
DE23,47.4593
DE24,47.495743
DE25,46.44652
DE26,48.322407
DE27,56.68738
DE30,29.664995
EL42,59.06192
LV00,28.37998
ME00,111.903915
MK00,49.493095
MT00,54.863464
NL11,39.72105
NL12,41.027122
EL64,69.84854
EL65,66.77362
ES11,97.50154
ES12,72.26703
ES13,59.445045
ES21,61.164288
ES22,49.427353
ES23,36.90144
ES24,36.312916
ES30,41.38179
IE05,52.93565
IE06,42.062363
IS00,77.203705
ITC3,86.553566
FI19,25.880373
