nuts,Winter Maximum Consecutive Five-Day Precipitation (mm) ensemble median - RCP4.5 - (2011 - 2040)
DE50,37.704914
DE60,40.032696
DE71,46.266533
DE72,44.794662
DE73,43.684578
DE80,31.583937
DE91,39.31168
BG41,45.16328
BG42,54.628445
CH01,94.05093
AT32,65.681885
AT33,68.13372
AT34,83.210945
BE10,42.999603
BE23,40.255817
BE24,43.516853
BE25,40.33732
BE31,43.374756
BE32,44.403465
BE33,51.997772
BE34,55.879997
BE35,50.1842
BG31,39.016438
BG32,42.23353
BG33,41.262287
BG34,48.594566
DE92,39.014427
DE93,37.59198
DE94,39.40415
CZ07,31.53439
CZ08,32.40777
AL01,114.05547
AL02,83.740715
AL03,85.80927
AT11,30.443151
AT12,33.243065
AT13,29.272509
AT21,60.778427
AT22,46.190918
AT31,54.565735
DK05,36.772507
BE21,42.692493
BE22,45.38884
ES43,62.48551
ES51,50.610916
ES52,39.89139
ES53,39.250473
ES61,59.838745
ES62,31.822601
ES63,77.67233
ES64,35.041798
CH02,80.12471
CH03,58.25857
CH04,61.098194
CH05,72.13056
CH06,83.66119
CH07,85.47904
CY00,55.15509
CZ01,26.345139
CZ02,29.325956
CZ03,36.179394
CZ04,35.19203
CZ05,34.985664
CZ06,28.458487
DE40,30.260532
EL53,56.623672
EL54,103.6783
EL61,76.45757
EL62,98.91925
EL63,88.93458
ES70,20.675352
ITC1,80.985535
ITC2,90.64736
DE11,51.650288
DE12,56.99246
DE13,61.692406
DE14,53.669037
DE21,54.79087
DE22,47.954
DE23,46.31084
DE24,45.752098
DE25,46.119072
DE26,46.071106
DE27,57.68768
DE30,29.427023
EL42,64.385994
LV00,29.357374
ME00,114.58344
MK00,49.446087
MT00,55.455967
NL11,38.160164
NL12,40.570137
EL64,71.23736
EL65,69.47919
ES11,95.82306
ES12,76.802
ES13,64.856415
ES21,67.42034
ES22,55.492847
ES23,40.61027
ES24,39.34195
ES30,44.086487
IE05,52.80574
IE06,43.268867
IS00,82.55522
ITC3,90.34747
FI19,26.932465
FI1B,31.865656
FI1C,28.949429
DEA1,46.570225
DEA2,50.48532
DEA3,44.00478
DEA4,43.343548
DEA5,54.215107
DEB1,45.257336
DEB2,49.41237
DEB3,43.576748
DEC0,54.77125
DED2,36.199352
DED4,40.93117
DED5,34.039974
DEE0,31.76613
DEF0,38.945316
DEG0,38.916355
DK01,32.754013
DK02,32.655266
DK03,38.2493
DK04,36.325317
ES41,51.434002
ES42,44.349335
HU23,36.03301
HU31,30.753263
HU32,31.683672
HU33,31.749025
IE04,53.487297
EE00,28.571535
