nuts,Winter Maximum Consecutive Five-Day Precipitation (mm) ensemble median - RCP8.5 - (2071 - 2100)
DE50,42.523544
DE60,44.198074
DE71,52.165794
DE72,50.082283
DE73,48.667805
DE80,36.550026
DE91,44.67044
BG41,50.484264
BG42,58.496582
CH01,94.45536
AT32,69.87325
AT33,73.53882
AT34,86.06354
BE10,47.673706
BE23,45.75671
BE24,48.692158
BE25,44.418365
BE31,49.84114
BE32,50.679054
BE33,58.368027
BE34,62.47571
BE35,56.652363
BG31,47.696476
BG32,49.47063
BG33,47.924496
BG34,54.133747
DE92,44.72611
DE93,42.406704
DE94,45.69292
CZ07,37.13598
CZ08,37.814552
AL01,116.64347
AL02,84.253174
AL03,84.25704
AT11,38.185562
AT12,40.697243
AT13,36.830246
AT21,68.25744
AT22,54.290237
AT31,59.947052
DK05,44.301945
BE21,48.748806
BE22,50.930862
ES43,59.594803
ES51,51.225323
ES52,42.98767
ES53,41.189144
ES61,53.049255
ES62,33.869514
ES63,71.09861
ES64,30.197721
CH02,80.72289
CH03,65.59145
CH04,68.19994
CH05,77.34444
CH06,82.57629
CH07,94.70253
CY00,49.860603
CZ01,31.144808
CZ02,34.29928
CZ03,42.071537
CZ04,39.361645
CZ05,38.657887
CZ06,33.625885
DE40,35.84318
EL53,65.21272
EL54,97.66192
EL61,84.77417
EL62,110.47422
EL63,89.565414
ES70,17.27064
ITC1,94.50862
ITC2,95.92445
DE11,57.443573
DE12,64.684746
DE13,70.326256
DE14,58.798508
DE21,58.15121
DE22,53.957188
DE23,52.350918
DE24,51.038525
DE25,50.615902
DE26,51.59561
DE27,61.824028
DE30,34.57073
EL42,62.357372
LV00,34.118706
ME00,124.171646
MK00,55.788834
MT00,55.847946
NL11,45.976727
NL12,48.778107
EL64,75.05183
EL65,65.648
ES11,102.24116
ES12,72.207
ES13,60.98271
ES21,63.25537
ES22,53.36367
ES23,41.454388
ES24,40.35451
ES30,46.22649
IE05,57.916004
IE06,48.304714
IS00,87.77879
ITC3,101.08068
FI19,31.228436
FI1B,35.97602
FI1C,33.9403
DEA1,52.48926
DEA2,57.299717
DEA3,49.635563
DEA4,48.811077
DEA5,58.702114
DEB1,50.723812
DEB2,54.47228
DEB3,49.76543
DEC0,61.005463
DED2,40.174625
DED4,45.74584
DED5,38.520294
DEE0,36.75836
DEF0,44.185673
DEG0,42.897385
DK01,39.51735
DK02,37.886932
DK03,43.624336
DK04,44.04698
ES41,52.399315
ES42,43.105762
HU23,45.539757
HU31,36.715385
HU32,38.11078
HU33,37.943443
IE04,62.169514
EE00,32.987465
EL30,58.42477
EL41,79.68864
EL43,53.287663
EL51,64.00376
EL52,64.68245
FI20,32.04935
FR10,44.16067
FRB0,46.303185
FRC1,56.78574
FRC2,83.71467
FRD1,52.91205
FRD2,48.29453
FRE1,49.66042
FRE2,47.587265
FRF1,65.59914
NL13,44.60897
NL21,47.059616
NL22,47.582172
NL23,47.863796
NL31,47.41732
NL32,49.376408
ITG2,52.53554
ITH1,62.99164
ITH2,78.109856
FRI3,54.854496
FRJ1,69.861465
FRJ2,58.138622
FRK1,56.464485
FRK2,78.633
FRL0,73.8725
FRM0,67.622826
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,81.37406
TR32,77.23227
TR33,51.229618
HR03,94.995865
HR02,55.994328
HU11,37.47421
HU12,37.856667
HU21,41.741703
HU22,41.730865
PT16,78.74214
PT17,55.748135
FRF2,59.01027
FRF3,65.74593
FRG0,52.5186
FRH0,58.760662
FRI1,60.796047
FRI2,62.65236
ITC4,74.69381
ITF1,66.4267
ITF2,64.776505
ITF3,85.19809
ITF4,54.111324
ITF5,58.651047
ITF6,80.244354
ITG1,55.96091
LT01,35.10521
LT02,35.99768
LU00,56.96746
PL22,37.893494
PL41,34.220783
PL42,38.528393
PT18,52.485992
PT20,0.0
PT30,0.0
RO11,45.551624
RO12,40.7267
RO21,38.332485
RO22,43.674118
RO31,45.6619
RO32,46.37121
ITH3,74.11706
ITH4,101.49818
ITH5,66.29545
ITI1,71.97255
ITI2,65.76299
ITI3,57.15507
ITI4,80.19732
LI00,89.84533
FI1D,28.680481
TR82,58.072094
TR83,54.75893
TR90,73.85142
TRA1,55.479267
TRA2,62.548756
PL43,36.22245
PL51,36.34323
PL52,34.264175
PL61,33.108963
PL62,34.799675
PL63,36.841473
PL71,33.762714
PL72,32.588882
PL81,32.261
PL82,36.80688
PL84,32.490322
PL91,32.67572
PL92,33.196262
PT11,103.05366
PT15,52.404728
TRB1,78.47417
TRB2,94.30968
TRC1,74.869
RS12,40.659767
RS21,48.95938
RS22,45.88069
SE11,32.65004
SE12,33.948227
NL33,48.790565
NL34,45.67741
NL41,47.703384
NL42,49.15025
PL21,38.204426
UKM6,73.91005
TR22,72.10572
TRC2,67.24978
TRC3,61.11552
UKC1,46.166946
UKC2,46.501717
UKD1,69.07073
UKD3,54.185764
UKD4,65.63965
UKD6,44.153194
UKD7,51.10551
UKE1,37.185497
UKE2,47.393143
UKE3,40.585476
RO41,47.958797
RO42,46.58084
RS11,41.876976
TR41,52.865555
TR42,65.49708
TR51,41.210777
TR52,47.042583
TR61,76.7838
TR62,82.860275
TR63,75.17253
TR71,44.155224
TR72,48.932587
TR81,67.7835
UKK1,43.868862
UKK2,49.41686
UKK3,54.391777
