nuts,Annual Extreme Precipitation Days (days) (1981 - 2010)
DE50,8.113729095458984
DE60,8.064785250027974
DE71,7.891959063212076
DE72,8.119534651438395
DE73,8.316570488611857
DE80,7.42591118812561
DE91,8.125966322422027
BG41,6.667108841737112
BG42,5.859093888600667
CH01,9.430785830815633
AT32,10.01347573598226
AT33,10.016955216725668
AT34,9.900204197565715
BE10,7.792001962661743
BE23,7.7103479385375975
BE24,7.903098169962565
BE25,7.687189078330993
BE31,8.062818694114686
BE32,7.9401620070139565
BE33,8.883365599314372
BE34,8.665988047917685
BE35,8.516421389579772
BG31,5.949793378512065
BG32,5.688909991582235
BG33,5.418406772613525
BG34,5.415106717745463
DE92,8.13221242427826
DE93,7.9641765832901
DE94,8.287424278259277
CZ07,7.583535846074422
CZ08,8.06532073020935
AL01,6.928087997436523
AL02,6.352322951952616
AL03,5.987971019744873
AT11,6.250834806760152
AT12,7.3798693180084225
AT13,6.441930325826009
AT21,8.251064364115397
AT22,8.589021190007527
AT31,9.05170472462972
DK05,7.454345671335856
BE21,7.833294693628947
BE22,8.181349913279215
ES43,4.060652216275533
ES51,5.285432648658753
ES52,3.898496703306834
ES53,3.525148324171702
ES61,3.6995301683743795
ES62,3.0798227310180666
ES63,4.122023389736811
ES64,2.933333333333333
CH02,9.567941395441691
CH03,9.28041729927063
CH04,8.94228699207306
CH05,9.21930807431539
CH06,9.989038689931233
CH07,8.229142634073893
CY00,2.824370139837265
CZ01,7.040361873308817
CZ02,7.327236366271973
CZ03,7.937545744578044
CZ04,7.882602127393087
CZ05,7.959086585044861
CZ06,6.915190291404724
DE40,7.167789506912231
EL53,5.553628488381704
EL54,5.986018021901448
EL61,5.0929485082626345
EL62,5.031732217470805
EL63,5.561789464950562
ES70,1.968993956844012
ITC1,7.433595538139343
ITC2,9.052551666895548
DE11,8.358193937937418
DE12,8.441668621699016
DE13,8.843699781099955
DE14,8.777860673268636
DE21,8.98540735244751
DE22,8.262304170926411
DE23,8.216642888387044
DE24,8.348372761408488
DE25,8.09264685312907
DE26,8.077139608065288
DE27,8.9213400999705
DE30,7.01249989271164
EL42,3.0830488046010336
LV00,7.736862564086914
ME00,7.549771189689636
MK00,5.877126630147298
MT00,3.3916535317897796
NL11,8.35379155476888
NL12,8.517250633239746
EL64,4.784543496370316
EL65,4.205905560652415
ES11,7.476719037691752
ES12,8.81050378481547
ES13,8.486262480417887
ES21,8.113753525416056
ES22,6.704780634244283
ES23,6.445042411486308
ES24,5.102417174975077
ES30,4.601038877169291
IE05,9.004937362670898
IE06,8.546512810389201
IS00,10.388595867156983
ITC3,6.372325666745504
FI19,6.973251247406006
FI1B,7.066901159286499
FI1C,7.136727444330851
DEA1,8.314030981063842
DEA2,8.716962019602457
DEA3,8.281262723604838
DEA4,8.499815114339192
DEA5,9.016931374867758
DEB1,8.167751868565878
DEB2,8.33789750734965
DEB3,7.725043106079101
DEC0,8.12541060447693
DED2,7.999480565388997
DED4,8.440332595507304
DED5,7.45133101940155
DEE0,7.341933186848959
DEF0,7.94500146706899
DEG0,8.02192509174347
DK01,7.295037086804708
DK02,7.199173061052958
DK03,7.731513150533041
DK04,7.632333413759867
ES41,5.703583661715189
ES42,4.326648163795471
HU23,5.702115837732951
HU31,6.025122833251953
HU32,6.068478612105052
HU33,5.614773265520731
IE04,10.275865681966145
EE00,7.610373457272847
EL30,3.0577549835046134
EL41,3.4186372737089794
EL43,3.5526809255282084
EL51,5.047101227442424
EL52,5.11626451810201
FI20,6.47038848400116
FR10,7.036553573608399
FRB0,7.0441752672195435
FRC1,7.835346142450969
FRC2,8.734682639439901
FRD1,7.626957933108012
FRD2,7.615475145975749
FRE1,7.734119939804077
FRE2,7.523797067006429
FRF1,8.616418679555258
NL13,8.077702903747559
NL21,8.115709241231283
NL22,8.025514086087545
NL23,8.314655415217082
NL31,8.053851087888082
NL32,8.454694573084513
ITG2,4.363259760538737
ITH1,8.764154132207235
ITH2,8.289660755793253
