nuts,Autumn Extreme Precipitation Days (days) ensemble median - RCP8.5 - (2041 - 2070)
DE50,2.5795614336927732
DE60,2.4764682829380034
DE71,2.337118035554886
DE72,2.3679461926221848
DE73,2.455599143107732
DE80,2.2630412568648657
DE91,2.326021017630895
BG41,1.5584890899558863
BG42,1.197272449483474
CH01,2.3439320782820383
AT32,2.69021137903134
AT33,2.481739228963852
AT34,2.399195005496343
BE10,2.348614238699277
BE23,2.7030924489100774
BE24,2.3499254961808522
BE25,2.7022259612878163
BE31,2.237358683347702
BE32,2.478887849052747
BE33,2.57304903169473
BE34,2.434431160489718
BE35,2.5406203071276345
BG31,1.4484020361055931
BG32,1.1947943683713675
BG33,1.2945204149931668
BG34,1.1796255752444267
DE92,2.4640543897946676
DE93,2.319641508658727
DE94,2.737096885840098
CZ07,2.3009771078825
CZ08,2.3136536260445912
AL01,1.9937184035778046
AL02,1.8979982091734806
AL03,2.014023025830587
AT11,2.069204947849115
AT12,2.2850372234980267
AT13,2.216910031437874
AT21,2.27030660311381
AT22,2.417146035283804
AT31,2.7244511117537815
DK05,2.6567331587274867
BE21,2.366925140221914
BE22,2.441180044412613
ES43,0.9956086422937612
ES51,1.642494574189186
ES52,1.2110849104821682
ES53,1.3094394783178964
ES61,0.8478069027264913
ES62,0.8500671101113161
ES63,0.9443275044361751
ES64,0.6666666666666666
CH02,2.701882320642471
CH03,2.8102181921402614
CH04,2.563211737573147
CH05,2.4044479191303254
CH06,2.4202309677998226
CH07,2.0748119721810023
CY00,0.6795644233624141
CZ01,1.9737648849685987
CZ02,2.295529654622078
CZ03,2.365625737110774
CZ04,2.394051186243693
CZ05,2.3365424235661822
CZ06,2.0252696752548216
DE40,2.1609354108572005
EL53,1.5860625118017198
EL54,1.8082564021150271
EL61,1.2374499614040058
EL62,1.9358474103113015
EL63,1.6883215375244618
ES70,0.28333373268445333
ITC1,1.983445797363917
ITC2,2.1006772349278133
DE11,2.3724041998386385
DE12,2.46931005915006
DE13,2.700101730724176
DE14,2.565936328967412
DE21,2.515016847848892
DE22,2.470620862642924
DE23,2.4826224486033124
DE24,2.399090764919917
DE25,2.3295708884795507
DE26,2.4439629296461742
DE27,2.4191847760230303
DE30,2.242140083014965
EL42,0.6992106671134631
LV00,2.7092440048853557
ME00,2.114959655205409
MK00,1.7408439427614213
MT00,1.4498948186635972
NL11,2.9212216695149738
NL12,3.343584535519282
EL64,1.1514175041268269
EL65,1.0928493760526181
ES11,1.7841140155990918
ES12,2.1917422001560527
ES13,2.0297279516855875
ES21,2.0411827683448793
ES22,1.684334517021974
ES23,1.452371380229791
ES24,1.3334543163577715
ES30,1.1837155103683472
IE05,2.596630809704463
IE06,2.461628979444504
IS00,3.6850211381912232
ITC3,1.7245905400564274
FI19,2.7911568959554036
FI1B,3.028898137807846
FI1C,2.862757823864619
DEA1,2.3303684905171393
DEA2,2.394271652897199
DEA3,2.6175507426261904
DEA4,2.576350663105647
DEA5,2.3423601826032003
DEB1,2.212784805893898
DEB2,2.243717844163378
DEB3,2.3853935355941456
DEC0,2.2725011239449184
DED2,2.513438433408737
DED4,2.4398102323214212
DED5,2.241836629062891
DEE0,2.2496820122003554
DEF0,2.646990583340327
DEG0,2.4137524545192717
DK01,2.665482972065608
DK02,2.7724987834692003
DK03,2.6407284756501515
DK04,2.5844157616297405
ES41,1.2982306043306986
ES42,1.1920555412769318
HU23,1.9156409189105035
HU31,1.7944543252388636
HU32,1.8732622921466828
HU33,1.8605679611365
IE04,3.234442142645518
EE00,3.141116976737976
EL30,0.8486331169803937
EL41,0.8795420575886965
EL43,0.8262732831140359
EL51,1.2003639372065664
EL52,1.5182172844807307
FI20,3.0159643789132438
FR10,2.069169948498408
FRB0,2.004448742667834
FRC1,2.2591562529404956
FRC2,2.447964588801066
FRD1,2.4455416361490885
FRD2,2.403143241008123
FRE1,2.5981534361839294
FRE2,2.3376879910628
FRF1,2.6327340483665465
NL13,2.655838948984941
NL21,2.73860964179039
NL22,2.4181415885686874
NL23,2.7450890401999155
NL31,2.3999766250451406
NL32,3.1778185188770296
ITG2,1.5404654083152611
ITH1,2.5416820466518404
ITH2,2.2784122228622437
FRI3,2.0195081889629365
FRJ1,1.755588553349177
FRJ2,1.921404347817103
FRK1,2.1639159778753916
FRK2,2.008040420214335
FRL0,1.5222910324732462
FRM0,1.7395147184530895
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,1.021052422747016
