nuts,June Extreme Precipitation Days (days) (1981 - 2010)
DE50,0.7333333343267441
DE60,0.7166006212433179
DE71,0.6744274128228426
DE72,0.7044974361856778
DE73,0.7364673418924212
DE80,0.6687817917515834
DE91,0.7154648875817656
BG41,0.7122812587767839
BG42,0.6222078505903482
CH01,0.9500551444788774
AT32,1.0776232135792574
AT33,1.1102455583090582
AT34,1.0572232792774836
BE10,0.6667113622029622
BE23,0.6487169004976749
BE24,0.6861334616939226
BE25,0.6285604779918988
BE31,0.7000443339347839
BE32,0.68442824271818
BE33,0.7863948864241441
BE34,0.7547385696321726
BE35,0.7456728510558606
BG31,0.6451082025965055
BG32,0.6504072415952881
BG33,0.5990956197182338
BG34,0.5530836470425129
DE92,0.7153029813120763
DE93,0.7069377833356459
DE94,0.7238224023332198
CZ07,0.7524459813411037
CZ08,0.8015323271354039
AL01,0.5338379003107547
AL02,0.46094505762060484
AL03,0.3664500844354431
AT11,0.6808696823815504
AT12,0.7742192969967922
AT13,0.6667072306076686
AT21,0.9633675706883271
AT22,0.9483752055714528
AT31,0.9247982961436113
DK05,0.5440889595076441
BE21,0.6786056786775589
BE22,0.719471790889899
ES43,0.21782665324086944
ES51,0.46483561787754296
ES52,0.2859631389379501
ES53,0.14313100824753444
ES61,0.17717111812283595
ES62,0.1851743357256055
ES63,0.08890058298905691
ES64,0.1
CH02,0.9605026414617897
CH03,0.9267109433809916
CH04,0.9001761322220166
CH05,0.9849389863510927
CH06,1.0284394154946008
CH07,0.8571697709461054
CY00,0.053091641142964364
CZ01,0.6800278435150783
CZ02,0.7179012431452672
CZ03,0.8112634908407926
CZ04,0.7499378914634387
CZ05,0.7566610465447108
CZ06,0.7105058001975219
DE40,0.6402611999462048
EL53,0.38872029893100263
EL54,0.334267604102691
EL61,0.2520254763464133
EL62,0.1257517036050558
EL63,0.22765285111963748
ES70,0.06913196214785179
ITC1,0.7765426014239589
ITC2,0.9599325259526571
DE11,0.7774540850271782
DE12,0.7634422079970439
DE13,0.8488965133825938
DE14,0.885767599567771
DE21,0.9136402949690818
DE22,0.808256900558869
DE23,0.782384858901302
DE24,0.755057850976785
DE25,0.7494912659128506
DE26,0.7193423565477133
DE27,0.9114273875951767
DE30,0.6249999692042668
EL42,0.0350684130564332
LV00,0.6987226623110473
ME00,0.6486846253275871
MK00,0.5201211777205269
MT00,0.033333333830038704
NL11,0.7133177931110064
NL12,0.6640248691042264
EL64,0.20104100772490105
EL65,0.11782060097903013
ES11,0.4927424244582653
ES12,0.6781522138044238
ES13,0.6649064071476459
ES21,0.6090456525484721
ES22,0.5103652817507585
ES23,0.5106165011723837
ES24,0.4425101970011989
ES30,0.3242735748489698
IE05,0.7052862785756588
IE06,0.7110012003531059
IS00,0.7043137622065843
ITC3,0.5446163686613242
FI19,0.6282562290628751
FI1B,0.5810152486587564
FI1C,0.6164421600600084
DEA1,0.7305124099055926
DEA2,0.7726754412055016
DEA3,0.7218734961003065
DEA4,0.7433941181749105
DEA5,0.7904106727490823
