nuts,March Extreme Precipitation Days (days) ensemble median - RCP4.5 - (2041 - 2070)
DE50,0.6097462793191274
DE60,0.6555777966976166
DE71,0.8513379920274019
DE72,0.9270168888072173
DE73,0.8916629819199443
DE80,0.7624125509212415
DE91,0.7530587638417879
BG41,0.781871032093962
BG42,0.6019402172416448
CH01,0.7530721738934517
AT32,0.9892157865067323
AT33,0.9568285649642349
AT34,0.8045646717151006
BE10,0.9831545144319535
BE23,0.9443728496630986
BE24,0.9670987896621227
BE25,0.9051320125659307
BE31,1.0668440173069635
BE32,0.9768285011251767
BE33,1.0410858320693175
BE34,1.0702803583194813
BE35,1.0629182487726212
BG31,0.633708658690254
BG32,0.5724465136726697
BG33,0.5140122179562847
BG34,0.5322991027186315
DE92,0.7630343966186046
DE93,0.6444584638501207
DE94,0.7223956858118376
CZ07,1.1535435733074944
CZ08,1.1229643146197001
AL01,0.7660130664706231
AL02,0.7004515948394935
AL03,0.7045745828499397
AT11,0.7754495310286681
AT12,0.8440744171539942
AT13,0.6497566352287928
AT21,0.8155764006078243
AT22,0.8034897490094105
AT31,0.9382389261697729
DK05,0.5842615008354187
BE21,0.8741429001092911
BE22,0.9335577115416527
ES43,0.4087416631480058
ES51,0.4426063953588406
ES52,0.2828363148185114
ES53,0.38030315761764844
ES61,0.4156689686855922
ES62,0.33850325575719276
ES63,0.3222339113553365
ES64,0.23333333333333334
CH02,0.7295126333211859
CH03,0.8998260969916979
CH04,0.892420194298029
CH05,0.7196006730198861
CH06,0.7372384499758482
CH07,0.6328371942043305
CY00,0.4246559012681246
CZ01,0.8595336397488912
CZ02,0.8531672907372315
CZ03,0.8810673392067353
CZ04,0.8945668946951628
CZ05,0.9668962785974144
CZ06,0.9671050885071357
DE40,0.7877841595560312
EL53,0.7019381199032069
EL54,0.7989241734147072
EL61,0.5894481445352237
EL62,0.6205154669781526
EL63,0.6910615946476658
ES70,0.11656485199928283
ITC1,0.467855000992616
ITC2,0.7179018286367257
DE11,0.7662962317466736
DE12,0.7757915535320838
DE13,0.8901094560821851
DE14,0.8091312546283007
DE21,0.8912250554809967
DE22,0.8866825866823395
DE23,0.8738094940781593
DE24,0.8411696046590805
DE25,0.7663469682137172
DE26,0.8957302756607533
DE27,0.9012820286676287
DE30,0.683759655058384
EL42,0.39850398935377596
LV00,0.7667545847594738
ME00,0.7910034626722335
MK00,0.772712731299301
MT00,0.36666667014360427
NL11,0.7470787631968657
NL12,0.7643476814031601
EL64,0.6158836213250954
EL65,0.56116466956834
ES11,0.6748446882081528
ES12,0.7965601898729802
ES13,0.597448310504357
ES21,0.7075742176423471
ES22,0.6960813344766696
ES23,0.647453660145402
ES24,0.42839745748788116
ES30,0.44312905507783096
IE05,0.7416937739898761
IE06,0.7468234614779552
IS00,1.1062290837367377
ITC3,0.47151519954204557
FI19,0.6327891426781813
FI1B,0.6203011078139146
FI1C,0.6298052995155256
DEA1,0.9067944710453352
DEA2,0.9384252545734246
DEA3,0.8899189316978057
DEA4,0.8795960215230783
DEA5,0.8617337329934041
DEB1,0.964877367268006
DEB2,0.9270546612640221
DEB3,0.7133206115414699
DEC0,1.020399553577105
DED2,0.91636561366419
DED4,0.8224284186959266
DED5,0.7710275163253149
DEE0,0.7387010933210453
DEF0,0.6881365220993757
DEG0,0.7824200722078483
DK01,0.6702672901252905
DK02,0.6685242799421152
DK03,0.6866060069451729
DK04,0.6483829921732346
ES41,0.5341584542455773
ES42,0.41752096844526626
HU23,0.6386834240828951
HU31,0.6654823656504353
HU32,0.7204524369910359
HU33,0.6798680793493986
IE04,0.9867036111652852
EE00,0.7258236925428112
EL30,0.33637163129945596
EL41,0.46337182459731896
EL43,0.3308340369413296
EL51,0.5814809173345565
EL52,0.5596055990085006
FI20,0.46094172398249306
FR10,0.6865148589015007
FRB0,0.7003724330725769
FRC1,0.7616753250981371
FRC2,0.7525466709087293
FRD1,0.7633954455455144
FRD2,0.8286562784264485
FRE1,0.8584983720133702
FRE2,0.8566754288971424
FRF1,0.9073315647741159
NL13,0.7280789713064829
NL21,0.8471725692351659
NL22,0.9221770423154037
NL23,0.8436331823468208
NL31,0.9665731678406397
NL32,0.8132597268869479
ITG2,0.515690069583555
ITH1,0.8151427203168472
ITH2,0.5446439258754253
FRI3,0.6553051397204399
FRJ1,0.5089054789704581
FRJ2,0.6850481763482094
FRK1,0.6404718344410261
FRK2,0.5701106709738573
FRL0,0.4089957574692865
FRM0,0.5276680134236813
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,0.5155261375010014
TR32,0.48949622151752314
TR33,0.5877176771250864
HR03,0.7636549490193526
HR02,0.8297608738144239
HU11,0.7579185009002686
HU12,0.8212604181220134
HU21,0.6892513213058312
HU22,0.7220425949742396
PT16,0.48854371582468353
PT17,0.3666179838279883
FRF2,0.9447934423262875
FRF3,0.9695432064433892
FRG0,0.6840446775158247
FRH0,0.8064794788447519
FRI1,0.7689491723043224
FRI2,0.7519877130786577
ITC4,0.5530251017461221
ITF1,0.6209026837721467
ITF2,0.6457330573350191
ITF3,0.6787084781875213
ITF4,0.6229420059671005
ITF5,0.7212380727132162
ITF6,0.6566510236511628
ITG1,0.4025944033948084
LT01,0.8469184583052993
LT02,0.8287160021097709
LU00,0.9865808241069317
PL22,1.0466175145159164
PL41,0.9131246109182636
PL42,0.742542538481454
PT18,0.3328766880867382
PT20,0.0
PT30,0.0
RO11,0.8505075945518911
RO12,0.9817278131842613
RO21,0.8021513131136696
RO22,0.5735925155070921
RO31,0.5828905212692916
RO32,0.5697573309143384
ITH3,0.49166440734018885
ITH4,0.7099920666466156
ITH5,0.5113649099133909
ITI1,0.4839583057599763
ITI2,0.6366781196246545
ITI3,0.6253865595906973
ITI4,0.6863187249749899
LI00,0.7166275064150492
FI1D,0.6528203948090474
TR82,0.977511960764726
TR83,0.9657001957297325
TR90,1.0640682384371758
TRA1,0.8358944753805796
TRA2,1.016220227877299
PL43,0.7426997419446707
PL51,0.966515893333902
PL52,1.015785177052021
PL61,0.9593186520660917
PL62,0.884740078697602
PL63,0.8694445359210173
PL71,1.0278253296390176
PL72,0.9808940127491951
PL81,0.7971291131029526
PL82,0.9106121654311816
PL84,1.045116252824664
PL91,0.9696811130891244
PL92,0.9027203286687533
PT11,0.5516704298555851
PT15,0.4116202193001906
TRB1,0.7056865933040778
TRB2,0.816430904964606
TRC1,0.6297603193670511
RS12,0.6929869518925746
RS21,0.8447952223320802
RS22,0.6899632985393206
SE11,0.6430283786108096
SE12,0.773680891096592
NL33,0.9312009245157242
NL34,0.8137697525322437
NL41,0.917618137722214
NL42,0.9378784199555715
PL21,1.017955832121273
UKM6,0.8411758522192637
TR22,0.5731107534219821
TRC2,0.5268604819352428
TRC3,0.4395880321661631
UKC1,0.908829715847969
UKC2,0.9739810628195603
UKD1,0.7776793450117111
UKD3,0.8735692950586478
UKD4,0.7749773768087228
UKD6,0.8063369212051232
UKD7,0.9109368306895097
UKE1,0.7215874089548985
UKE2,0.771902634203434
UKE3,0.6614278145134449
RO41,0.6838705229262511
RO42,1.0006253781728447
RS11,0.6841816718379656
TR41,0.7493859351923068
TR42,0.8832242699960867
TR51,0.5908367250425121
TR52,0.6081393973280986
TR61,0.5241666739185651
TR62,0.6774477057779829
TR63,0.7096196035544078
TR71,0.6923823853333791
TR72,0.8703516309460004
TR81,0.9345890138298273
UKK1,0.6648649824162324
UKK2,0.6210370987653733
UKK3,0.781440012777845
UKK4,0.6208618817230066
UKL1,0.9755585295458634
UKL2,0.7899735290557146
UKM5,0.9004036687314511
UKM7,0.8955472022294998
UKM8,0.7691657731930415
UKM9,0.8804386084278425
UKN0,0.9731051859756311
SE21,0.6529876558110118
SE22,0.6536020672569672
SE23,0.654869573470205
SE31,0.8186648108065129
SE32,0.7505978814636668
SE33,0.7308234319090843
SI03,0.6927120706687371
SI04,0.7643056509395441
SK01,0.8063387600084145
SK02,0.9640133155509829
SK03,0.9821162611246109
SK04,0.8498310308903456
TR10,0.6782667685300112
TR21,0.5326307370016973
UKE4,0.6610656385620435
UKF1,0.8009542642782131
UKF2,0.6678503204137087
UKF3,0.6548585589975119
UKG1,0.6754058529933293
UKG2,0.8403066118558248
UKG3,0.7940963387489319
UKH1,0.6991018865257501
UKH2,0.6180096199115117
UKH3,0.7307982216278712
UKI3,0.7
UKI4,0.7
UKI5,0.7001835698882739
UKI6,0.5893743142485619
UKI7,0.6450153390566508
UKJ1,0.662292002638181
UKJ2,0.5937504063049952
UKJ3,0.6555683964242538
UKJ4,0.6120096781601508
NO09,0.8127029019407928
NO0A,0.874098298434789
NO0B,1.0809609666466713
HR05,0.6384194413820903
HR06,0.6868999893466632
NO02,0.8058789952347676
NO06,0.8560269072651863
NO07,0.9740166127681732
NO08,0.8040312221894662
