nuts,November Extreme Precipitation Days (days) ensemble median - RCP4.5 - (2011 - 2040)
DE50,0.7282374123732249
DE60,0.799537546435992
DE71,0.7638737220317126
DE72,0.704304035504659
DE73,0.7730072575310866
DE80,0.7089517194156846
DE91,0.7469364525129397
BG41,0.5703309965009491
BG42,0.4790563203394413
CH01,0.7593541118005912
AT32,0.867889991402626
AT33,0.9038959798713525
AT34,0.8507856003940105
BE10,0.733556850751241
BE23,0.7663345659772555
BE24,0.7304885004957516
BE25,0.7960857587556044
BE31,0.7085162182648976
BE32,0.7693015731871128
BE33,0.9667395055294037
BE34,0.8062510973463456
BE35,0.7969510780026515
BG31,0.5566852812965711
BG32,0.574341976766785
BG33,0.5652548418069879
BG34,0.5518246481195093
DE92,0.812003914701442
DE93,0.7781171292066574
DE94,0.7803224377334118
CZ07,0.7878042781104644
CZ08,0.7249970546613137
AL01,0.8895249952872594
AL02,0.9037390112876892
AL03,0.9101208611081044
AT11,0.622177084783713
AT12,0.6520398663977782
AT13,0.7497566352287929
AT21,0.8280095780889193
AT22,0.72444818764925
AT31,0.7501337926834821
DK05,0.7309497443338235
BE21,0.6715431394676368
BE22,0.652715306977431
ES43,0.3642913873617848
ES51,0.6006679680819312
ES52,0.4218362715095282
ES53,0.31223033418258034
ES61,0.3847821264838179
ES62,0.37343083595236143
ES63,0.710994170109431
ES64,0.26666666666666666
CH02,0.8170054369295637
CH03,0.7797533507148425
CH04,0.6326823095480602
CH05,0.7320476535086831
CH06,0.765305703257521
CH07,0.5694741937021415
CY00,0.350411976252993
CZ01,0.700348025560379
CZ02,0.7391382894789179
CZ03,0.72768518080314
CZ04,0.6845460706700881
CZ05,0.8425389201690753
CZ06,0.6766810276856025
DE40,0.6529149145508806
EL53,0.48617218832174935
EL54,0.8911457334955534
EL61,0.49506394018729527
EL62,0.8300405066460371
EL63,0.8360206976532936
ES70,0.20827220479647318
ITC1,0.45885179936885834
ITC2,0.6598229765892029
DE11,0.8581767911712329
DE12,0.8391535130639871
DE13,0.7930867167189717
DE14,0.7295990188916525
DE21,0.9335010847697656
DE22,0.8211402887478471
DE23,0.7201478345940511
DE24,0.7785833033422629
DE25,0.7481702923774719
DE26,0.8086557595680157
DE27,0.8190551087260246
DE30,0.6455016141136487
EL42,0.4274924748266737
LV00,0.7324770785868168
ME00,0.8801787003874779
MK00,0.6001003707448641
MT00,0.4750920380155245
NL11,0.7588151045143604
NL12,0.9221197623759508
EL64,0.5024031184613704
EL65,0.5514017587527633
ES11,0.920347664753596
ES12,1.1041134320820372
ES13,0.9297062918543816
ES21,0.8654568718125423
ES22,0.7874024266997973
ES23,0.6402438782155514
ES24,0.537931548152119
ES30,0.6060484329859416
IE05,0.7457636162638664
IE06,0.7897996058066686
IS00,1.0023839235305787
ITC3,0.5012383254865805
FI19,0.7772100279728572
FI1B,0.8263603031635285
FI1C,0.7894422228137652
DEA1,0.7104325219988823
DEA2,0.8890323581794898
DEA3,0.7853705157836278
DEA4,0.8691422621409098
DEA5,0.9172369452814261
DEB1,0.7445397410541773
DEB2,0.7186650692174832
DEB3,0.6918712049722672
DEC0,0.7898071217040221
DED2,0.7704800367355347
DED4,0.797404948870341
DED5,0.6499201225737731
DEE0,0.67506531663239
DEF0,0.7957402976850668
DEG0,0.7262103241557877
DK01,0.7857349472741286
DK02,0.8340743162979682
DK03,0.7522670263424516
DK04,0.7205218569686015
ES41,0.6139840299884478
ES42,0.5754083416735133
HU23,0.5987605193008979
HU31,0.5923179083814224
HU32,0.6166225651279091
HU33,0.5727899504204591
IE04,1.1429565750062465
EE00,0.8075288494427999
EL30,0.361605192348361
EL41,0.4342016664644082
EL43,0.43087157296637696
EL51,0.5589467272162437
EL52,0.4724042607471347
FI20,1.105964493378997
FR10,0.6532028907289108
FRB0,0.7714351251721382
FRC1,0.7858268988629182
FRC2,0.7658806751171748
FRD1,0.8411130800843238
FRD2,0.7852931750317415
FRE1,0.8406772445887327
FRE2,0.6942322707424561
FRF1,0.7299272612979014
NL13,0.7224731917182604
NL21,0.8057223374644915
NL22,0.7682306205232938
NL23,0.8635774530470371
NL31,0.8165731608867646
NL32,1.0074817078808944
ITG2,0.43085622259726125
ITH1,0.5154080398380756
ITH2,0.45769851629932723
FRI3,0.6958669736981392
FRJ1,0.6316852292045951
FRJ2,0.7697203854719797
FRK1,0.7487404452636838
FRK2,0.6489877372980117
FRL0,0.4288190668448806
FRM0,0.5774145965774854
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,0.5527963707844417
TR32,0.4881992382618288
TR33,0.38109240029007196
HR03,0.9327099780241649
HR02,0.6899420619010925
HU11,0.5665086368719737
HU12,0.5414101517448823
HU21,0.6601065124074618
HU22,0.6050634128352006
PT16,0.5011876857529084
PT17,0.4471094816923141
FRF2,0.8704098320255677
FRF3,0.8302496619522571
FRG0,0.7721734389352302
FRH0,0.7191388296273847
FRI1,0.7732813822726409
FRI2,0.7993410440782706
ITC4,0.564574925849835
ITF1,0.6759160054226716
ITF2,0.6578049402683973
ITF3,0.8452804691468676
ITF4,0.5983714868625005
ITF5,0.5699958662192027
ITF6,0.6430794664969047
ITG1,0.5400584356238445
LT01,0.8719167210782568
LT02,0.78001960896266
LU00,0.6668254983921845
PL22,0.7311882604534428
PL41,0.6118896928615868
