nuts,October Extreme Precipitation Days (days) (1981 - 2010)
DE50,0.6761347870031993
DE60,0.6774587472279866
DE71,0.6299946561455727
DE72,0.6393998404343922
DE73,0.6406443849826853
DE80,0.6078391071408987
DE91,0.6365055043250323
BG41,0.41761348272363347
BG42,0.3854073556760947
CH01,0.7120041188473503
AT32,0.6772709437956412
AT33,0.6752002120638887
AT34,0.6618888534605503
BE10,0.5999999965230624
BE23,0.6358580167094866
BE24,0.6083556815981865
BE25,0.6688542306423187
BE31,0.6166777521371841
BE32,0.6316257189959288
BE33,0.6726235729952653
BE34,0.6715996190905571
BE35,0.6492100641131401
BG31,0.3755485670020183
BG32,0.36032579677800336
BG33,0.3691778672238191
BG34,0.37875645483533543
DE92,0.6607041907807191
DE93,0.655847742035985
DE94,0.7024857262149453
CZ07,0.5283714559550087
CZ08,0.5651010962824027
AL01,0.5530248881628116
AL02,0.5110193823774656
AL03,0.4926365833729506
AT11,0.45094451420009135
AT12,0.49339054512480895
AT13,0.4416869481404622
AT21,0.5790940456092357
AT22,0.5914273142193754
AT31,0.6195409178733826
DK05,0.7524600353091955
BE21,0.6237356245517731
BE22,0.625022354722023
ES43,0.45658745989203453
ES51,0.49709426388144495
ES52,0.4048796133759121
ES53,0.4367774383475383
ES61,0.4008319539173196
ES62,0.32805126247306665
ES63,0.4888654977083206
ES64,0.3
CH02,0.7035883506139119
CH03,0.6900347808996836
CH04,0.6556318829456965
CH05,0.6507023399074873
CH06,0.7167211282998324
CH07,0.6785850820442041
CY00,0.2468140931179126
CZ01,0.47334725310405096
CZ02,0.49654265598704417
CZ03,0.5345555514718096
CZ04,0.5508544825638334
CZ05,0.5497610773270328
CZ06,0.467205779440701
DE40,0.5311058420067032
EL53,0.4211837562421958
EL54,0.4845766877134641
EL61,0.4483060243229071
EL62,0.49398698657751083
EL63,0.4744386790941159
ES70,0.22937971247980993
ITC1,0.6484737720961372
ITC2,0.7200934876998265
DE11,0.642978715027372
DE12,0.6631761655211449
DE13,0.6770696924999356
DE14,0.63775328596433
DE21,0.6437783701345324
DE22,0.5971966446687778
DE23,0.6063947450369597
DE24,0.6333633750677109
DE25,0.6233736009647449
DE26,0.6355109956115484
DE27,0.6310513774553935
DE30,0.5124999771515528
EL42,0.22246487100298207
LV00,0.7101940048237642
ME00,0.5650921745225788
MK00,0.4140032686293125
MT00,0.4000000019868215
NL11,0.730776513616244
NL12,0.806693027416865
EL64,0.41928099741538366
EL65,0.3560990305617452
ES11,0.731158948627611
ES12,0.7942655213798085
ES13,0.7299284073213737
ES21,0.6823426499962807
ES22,0.5700186381737391
ES23,0.5420410212129354
ES24,0.4508773469676574
ES30,0.46393828218181926
IE05,0.8451973813275496
IE06,0.7548799573133389
IS00,0.9675679574410121
ITC3,0.6139002530525128
FI19,0.62735314782088
FI1B,0.6583074711884062
FI1C,0.6560884353083869
DEA1,0.6652522891759872
DEA2,0.6821003270645937
DEA3,0.6747385111947855
DEA4,0.6938977009306352
DEA5,0.7151076006392638
DEB1,0.6518467160562674
DEB2,0.6555617244293293
DEB3,0.6265138730406761
DEC0,0.6666796050965786
DED2,0.5700770661234855
DED4,0.6000855322927237
DED5,0.5459357703725497
DEE0,0.5483793397744496
DEF0,0.7099220264703036
DEG0,0.6013860706860821
DK01,0.7070106243093809
DK02,0.6871120896190405
DK03,0.7301679043099284
DK04,0.7322137093792359
ES41,0.5417234966220955
ES42,0.43896024899246794
HU23,0.417064566227297
HU31,0.42082788006712996
HU32,0.41677497010678055
HU33,0.3918038579324881
IE04,0.9255214164343973
EE00,0.7383526441951592
EL30,0.25307229285438854
EL41,0.26646163625021774
EL43,0.29978410800298055
EL51,0.3621217469374339
EL52,0.41581743297477564
FI20,0.6823467740168174
FR10,0.6062788429359595
FRB0,0.6284826876595616
FRC1,0.6706378492837151
FRC2,0.709979314605395
FRD1,0.7118130015830199
FRD2,0.6731505083541075
FRE1,0.6665068077544372
FRE2,0.6343893978744746
FRF1,0.6934165704995394
NL13,0.6832932571570078
NL21,0.6783677995204925
NL22,0.6579160020997127
NL23,0.7151804350316524
NL31,0.670798271894455
NL32,0.7958782238264879
ITG2,0.4341228740910689
ITH1,0.6131766298164923
ITH2,0.6026871328552564
FRI3,0.6460639690980315
FRJ1,0.615194558724761
FRJ2,0.6466208154025177
FRK1,0.6645096886903048
FRK2,0.6476051691609125
FRL0,0.5241941132582724
FRM0,0.5297019237031539
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,0.29832152326901756
TR32,0.2762501544319093
TR33,0.3183761602267623
HR03,0.5968717829634745
HR02,0.46999129715065163
HU11,0.3916469117005666
HU12,0.4082557043681542
HU21,0.42034122509260974
HU22,0.42770640378197033
PT16,0.5664269765838981
PT17,0.49441363165775937
FRF2,0.6610900909639895
FRF3,0.6865916770572463
FRG0,0.6469043036922812
FRH0,0.7266692331681649
FRI1,0.6406403325187663
FRI2,0.69576900228858
ITC4,0.5742550887167454
ITF1,0.5253469325602055
ITF2,0.4902843238164981
ITF3,0.5535781922439734
ITF4,0.4202142813553413
ITF5,0.43001991386214894
ITF6,0.5090561876694362
ITG1,0.458340838799874
LT01,0.6147810041283568
LT02,0.633974946414431
LU00,0.6563316516578197
PL22,0.5598529339457552
PL41,0.4968935660397013
PL42,0.5974140075656275
PT18,0.44968980755656957
PT20,0.0
PT30,0.5154847969611486
RO11,0.508607292547822
RO12,0.4654696644904713
RO21,0.4169736104706923
RO22,0.33237316661203903
RO31,0.3628720057196915
RO32,0.33333333184321723
ITH3,0.562558250191311
ITH4,0.6379024766385555
ITH5,0.5482628708394865
ITI1,0.5963517071989676
ITI2,0.5825497473279635
ITI3,0.5240535032004118
ITI4,0.5899737725034356
LI00,0.7000783304373424
FI1D,0.6559238525107502
TR82,0.5258095972239971
TR83,0.4946435776539147
TR90,0.7479968120033542
TRA1,0.5362769652778904
TRA2,0.5527504819134871
PL43,0.517738742257158
PL51,0.5356753394628565
PL52,0.5265680539111296
PL61,0.520319923820595
PL62,0.5752704539025824
PL63,0.6252437042072415
