nuts,September Extreme Precipitation Days (days) ensemble median - RCP8.5 - (2011 - 2040)
DE50,0.7860758870840072
DE60,0.7887787312269211
DE71,0.5596006937325001
DE72,0.6363823369145394
DE73,0.7160570167005063
DE80,0.7580736421048642
DE91,0.7180054665232698
BG41,0.4738467855999867
BG42,0.43800663302342097
CH01,0.687889014557004
AT32,0.8475955976794164
AT33,0.743091529669861
AT34,0.6433147216836611
BE10,0.7167113795876503
BE23,0.6851420784989993
BE24,0.6775989723702271
BE25,0.7001283345123132
BE31,0.5916389584541321
BE32,0.5735158551484346
BE33,0.6896428861965735
BE34,0.5422691737612089
BE35,0.5329459872096777
BG31,0.44111760463565586
BG32,0.33009387192626793
BG33,0.38690742837886016
BG34,0.34135409742593764
DE92,0.7091381437455614
DE93,0.6706533747414748
DE94,0.8477548334747553
CZ07,0.6378489170223475
CZ08,0.6206949761758248
AL01,0.4759733852619926
AL02,0.3408398224661748
AL03,0.4132345461597045
AT11,0.6205832213163376
AT12,0.8107694486776987
AT13,0.7000000019868214
AT21,0.8024746011321743
AT22,0.9547024582823117
AT31,0.962857540945212
DK05,0.6544514872754613
BE21,0.7235931766529878
BE22,0.721978239218394
ES43,0.19479313505192597
ES51,0.5149418322369457
ES52,0.380020746588707
ES53,0.2960224313040574
ES61,0.20581238218583167
ES62,0.24437372535467147
ES63,0.13336841066678365
ES64,0.13333333333333333
CH02,0.8417836558694641
CH03,0.7634661470850309
CH04,0.6071742710967859
CH05,0.6413126001755397
CH06,0.6881336933622758
CH07,0.493406850596269
CY00,0.06664410618444284
CZ01,0.6266179457306862
CZ02,0.6547364519288142
CZ03,0.7500938927133878
CZ04,0.8479594193398953
CZ05,0.6894008269533515
CZ06,0.7207351765284936
DE40,0.6753032516377667
EL53,0.4213853692015012
EL54,0.3986764428516229
EL61,0.33557152897119524
EL62,0.39501239111026126
EL63,0.36667021705458563
ES70,0.07493886947631836
ITC1,0.5256738747780522
ITC2,0.5955668662985166
DE11,0.5551156997680664
DE12,0.6387218529979388
DE13,0.7262468793739875
DE14,0.6719441081086794
DE21,0.6710216605414947
DE22,0.7686264668901761
DE23,0.7264731744304299
DE24,0.717245914041996
DE25,0.5692515661319096
DE26,0.6502455836782853
DE27,0.6216162838662664
DE30,0.7335933645566305
EL42,0.07587646959970394
LV00,0.7611445553600789
ME00,0.44845607665677867
MK00,0.4917761673529943
MT00,0.26669296622276306
NL11,0.7822030497093996
NL12,1.0120169084519148
EL64,0.2851708032811681
EL65,0.22913840996722382
ES11,0.42755656884983184
ES12,0.5483371804778775
ES13,0.4409765422344208
ES21,0.5023823781559865
ES22,0.4552688072125117
ES23,0.2823892279217641
ES24,0.330220752209425
ES30,0.25036403102179366
IE05,0.7008435970172286
IE06,0.7209227661291758
IS00,1.0550382385651271
ITC3,0.4871859262386958
FI19,0.6403152607691784
FI1B,0.6757082361107071
FI1C,0.7123558673076331
DEA1,0.6731559084107478
DEA2,0.6943995008865992
DEA3,0.7872003075977166
DEA4,0.6999864888687929
DEA5,0.726663647343715
DEB1,0.5906556233142813
DEB2,0.4736025263865789
DEB3,0.5201332778980334
DEC0,0.5689110065499942
DED2,0.8015241384506225
DED4,0.8626827652255694
DED5,0.7763496701916058
DEE0,0.7639794772490859
DEF0,0.7372963345920046
DEG0,0.7149283854290843
DK01,0.5796129169563452
DK02,0.6420761727417509
DK03,0.7663611650466919
DK04,0.7849011665831009
ES41,0.316163149724404
ES42,0.2408528584986925
HU23,0.544206109456718
HU31,0.4312023627882203
HU32,0.47755836322903633
HU33,0.4178009590134025
IE04,0.939620824654897
