nuts,Spring Extreme Precipitation Days (days) (1981 - 2010)
DE50,2.0142579366763433
DE60,1.9611220876375834
DE71,2.106676666935285
DE72,2.145490484436353
DE73,2.178166060646375
DE80,1.8180743937691053
DE91,2.0806364794572194
BG41,2.1414195984601974
BG42,1.8592422326405844
CH01,2.54783388475577
AT32,2.712949828306834
AT33,2.7399092733860018
AT34,2.733289265135924
BE10,2.1334227244059245
BE23,2.0642802943785985
BE24,2.147319069504738
BE25,2.009635663032532
BE31,2.1959081600109736
BE32,2.170647398630778
BE33,2.3571297571063043
BE34,2.33118481139342
BE35,2.3107413510481516
BG31,1.817667555809021
BG32,1.6921507452925046
BG33,1.5855373862509927
BG34,1.62411787211895
DE92,2.0480115642150243
DE93,1.976359416047732
DE94,2.015342776477337
CZ07,2.0036605328321455
CZ08,2.1222845261295635
AL01,2.0564576499164104
AL02,1.942221426218748
AL03,1.8044785256187121
AT11,1.7456665949275096
AT12,2.00445189687113
AT13,1.7667477816343307
AT21,2.336071272691091
AT22,2.378371823827426
AT31,2.405823757251104
DK05,1.682290813451012
BE21,2.0905704627434414
BE22,2.183527573943138
ES43,1.2556272733956575
ES51,1.525140030682087
ES52,1.1261396935830514
ES53,0.8699823884914318
ES61,1.1501638129353524
ES62,0.9149865565200647
ES63,1.1110994209845861
ES64,0.9
CH02,2.6105889757474263
CH03,2.570072717467944
CH04,2.4633524755636853
CH05,2.520724526544412
CH06,2.669989423950513
CH07,2.283965111275514
CY00,0.7172912302116553
CZ01,1.8867780337731044
CZ02,1.9567918658256531
CZ03,2.1367805858453113
CZ04,2.089874291419983
CZ05,2.071408661206563
CZ06,1.8500075618426004
DE40,1.8467606488925716
EL53,1.7742755735913913
EL54,1.7970116893450419
EL61,1.4182410947978497
EL62,1.205106542011102
EL63,1.577137182156245
ES70,0.47261979840695856
ITC1,2.0930255686243373
ITC2,2.4287409976124765
DE11,2.2328389952580134
DE12,2.2676694902280965
DE13,2.4271463928123316
DE14,2.39157037747403
DE21,2.4198439652721087
DE22,2.1701315859953563
DE23,2.16546189536651
DE24,2.174449948469798
DE25,2.1395881971965234
DE26,2.1354769706726073
DE27,2.432466715077559
DE30,1.8208333457509676
EL42,0.6981114645178119
LV00,1.7268332953254382
ME00,2.2087513014674185
MK00,1.884714987874031
MT00,0.5833333363135655
NL11,1.9778685691456
NL12,1.8919858562449614
EL64,1.3131816270450751
EL65,1.1345248967409134
ES11,2.1933509948352974
ES12,2.4840634350975352
ES13,2.396524914105733
ES21,2.3048842449982962
ES22,1.9964888930320739
ES23,1.987634687125683
ES24,1.5312512159347533
ES30,1.4790275305509568
IE05,2.2907084301114082
IE06,2.2449013168613114
IS00,2.537476968765259
ITC3,1.812168076634407
FI19,1.4902069479227067
FI1B,1.442088134214282
FI1C,1.481977600355943
DEA1,2.117655532558759
DEA2,2.2610329372187454
DEA3,2.085312438507875
DEA4,2.1352641344070435
DEA5,2.2928162215898436
DEB1,2.1713467011849086
DEB2,2.244235478838285
DEB3,2.0809084168324867
DEC0,2.1768205712238946
DED2,2.0683412263790766
DED4,2.1979331572850547
DED5,1.9190400771796703
DEE0,1.9082278430461883
DEF0,1.8733524441719056
DEG0,2.1088093515485524
DK01,1.5969684302806855
DK02,1.6119098126888276
DK03,1.7883641046782335
DK04,1.7660807305326065
ES41,1.7850401729345322
ES42,1.3880791433155537
HU23,1.60430684213837
HU31,1.6890123667816321
HU32,1.6949284742275874
HU33,1.6094075402865806
IE04,2.5647796293099723
EE00,1.5713072299957276
EL30,0.8037156350910664
EL41,0.8491092109431823
EL43,0.8296442879984777
EL51,1.5359130452076595
EL52,1.5133649667104085
FI20,1.2096861466765403
FR10,1.9539478267232577
FRB0,1.9764174888531367
FRC1,2.147510862350464
FRC2,2.398339781165123
FRD1,2.0138234863678615
FRD2,2.0548834254344306
FRE1,2.070374292135239
FRE2,2.0669385800758997
FRF1,2.3266332395374776
NL13,1.9833734040458997
NL21,2.0119127382834754
NL22,2.037668114900589
NL23,2.0129955142736433
NL31,2.0291549623012544
NL32,1.8931984201073646
ITG2,1.2795238718390465
ITH1,2.45245312054952
ITH2,2.376308331886927
FRI3,1.9265780344605445
FRJ1,1.7242833996812503
FRJ2,2.169143744309743
FRK1,2.2507938712835314
FRK2,2.1850405991077424
FRL0,1.6126113032301268
FRM0,1.386955957611402
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,1.143581294765075
TR32,1.2553607868651548
TR33,1.5082415322462717
HR03,1.7545623987913133
HR02,1.815182455877463
HU11,1.558234558502833
HU12,1.6178259149193763
