nuts,Spring Extreme Precipitation Days (days) ensemble median - RCP4.5 - (2011 - 2040)
DE50,2.4064304267366725
DE60,2.3621115227540335
DE71,2.3157652179400126
DE72,2.3025087883075077
DE73,2.3404303312301638
DE80,1.8923495590686799
DE91,2.2917523900667827
BG41,2.4298869113127393
BG42,2.083057488997777
CH01,2.7993480642636617
AT32,3.3273754318555198
AT33,3.186623998483022
AT34,2.736678526798884
BE10,2.367203093568484
BE23,2.089956177274386
BE24,2.361364424228668
BE25,2.024722997347514
BE31,2.4412288626035052
BE32,2.1994051530957224
BE33,2.318773845831553
BE34,2.5598512262105944
BE35,2.2974465588728585
BG31,2.0155294933666785
BG32,1.8632180934151015
BG33,1.794059082865715
BG34,1.7344645092884698
DE92,2.4201755772034326
DE93,2.2166802187760672
DE94,2.132750985274712
CZ07,2.3310611764589946
CZ08,2.835800631841024
AL01,2.206001302599907
AL02,2.2008885482947034
AL03,1.9118831346432368
AT11,1.9882775137821833
AT12,2.5303027311960857
AT13,2.1166261126597723
AT21,2.568443978826205
AT22,2.7887754519780477
AT31,3.3055695672829946
DK05,1.8217997481425603
BE21,2.1077352434396746
BE22,2.134927467505137
ES43,1.3520002650717895
ES51,1.4889569848775863
ES52,0.7925590666631858
ES53,0.832856314877669
ES61,1.1589977675427994
ES62,0.6949804179370404
ES63,1.0001753995815912
ES64,0.9
CH02,2.768621697028478
CH03,3.066208166877429
CH04,2.706962085266908
CH05,2.6708911418914796
CH06,2.855315460761388
CH07,2.5772887329260508
CY00,0.8012474659830332
CZ01,2.2609257221221926
CZ02,2.301564849416415
CZ03,2.6915202816327413
CZ04,2.3027901152769723
CZ05,2.3579942246278125
CZ06,2.1884955843289693
DE40,1.9712668160597484
EL53,1.6510103990634282
EL54,1.8457217015326024
EL61,1.505150284866492
EL62,1.288948612411817
EL63,1.669226661324501
ES70,0.30004056692123415
ITC1,2.099096702535947
ITC2,2.5011972253521284
DE11,2.6781554768482843
DE12,2.755238580703735
DE13,2.9099252611398696
DE14,2.4703393399715425
DE21,2.7470932240287462
DE22,2.6592713594436646
DE23,2.323092112193505
DE24,2.0448058088620504
DE25,2.4062116662661235
DE26,2.2686087171236675
DE27,2.6343701322873434
DE30,1.9166419103741645
EL42,0.7580324706931909
LV00,1.914681710799535
ME00,2.4714272757371267
MK00,2.067762235800425
MT00,0.6665877744555473
NL11,2.0073191076517105
NL12,1.9127852102120717
EL64,1.376593180000782
EL65,1.1209773634870848
ES11,2.5131447354952496
ES12,2.750806001822154
ES13,2.7645565927028657
ES21,2.37892069319884
ES22,2.1886983791987102
ES23,1.9017065876473984
ES24,1.379569701353709
ES30,1.7253242606918018
IE05,2.358879053592682
IE06,2.282655311624209
IS00,2.7240972836812336
ITC3,1.8252103400727113
FI19,1.6378876661260924
FI1B,1.4799727690716584
FI1C,1.5526712218920389
DEA1,2.3007474581400555
DEA2,2.4042624672253927
DEA3,2.4799598664045335
DEA4,2.3962019244829813
DEA5,2.5144129355748492
DEB1,2.208356347680092
DEB2,2.204189422726631
DEB3,2.050399136543274
DEC0,2.114919192592303
DED2,2.283156983057658
DED4,2.5301967521508533
DED5,2.0094032377004623
DEE0,2.135339951515198
DEF0,2.183952859044075
DEG0,2.201459753513336
DK01,1.7444529687364896
DK02,1.7217619553208352
DK03,2.1081834773222607
DK04,2.0778654903173446
ES41,1.998460630575816
ES42,1.3550140243644515
HU23,2.0405547310908636
HU31,1.8843904356161754
HU32,2.098887023329735
HU33,2.0185075481732686
IE04,2.7089681486288706
EE00,1.8022329439719518
EL30,0.6577767678846915
EL41,0.9197176940739155
EL43,0.7605697691440583
EL51,1.6318808063864707
EL52,1.5696125989158949
FI20,1.2745141045500834
FR10,1.9789107476671537
FRB0,2.0852674345175424
FRC1,2.165397455294927
FRC2,2.667773586511612
FRD1,2.1327447056770326
FRD2,2.4971121614178022
FRE1,1.9931917627652487
FRE2,2.2275934358437857
FRF1,2.6289055069287617
NL13,2.149846798181534
NL21,2.1201399624347688
NL22,2.214843002955119
NL23,2.028876578807831
NL31,2.0669238030910493
NL32,1.8586100161075592
ITG2,1.3351069985578456
ITH1,2.431951144337654
ITH2,2.357438818613688
FRI3,2.137126113971074
FRJ1,1.784856273730596
FRJ2,2.024804409344991
FRK1,2.1076687316099805
FRK2,2.359203803539276
FRL0,1.646885123848915
FRM0,1.2948658411701521
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,1.2603639900684356
TR32,1.4168878311912219
TR33,1.7593483964602152
HR03,1.9571255455414454
HR02,2.112843405206998
HU11,2.1245456566413243
HU12,1.964507649342219
HU21,2.1033667425314584
HU22,1.959897185365359
PT16,1.6376446982224782
PT17,1.089051237454017
FRF2,2.2718685925006867
FRF3,2.3681085858494044
FRG0,2.3190621276696524
FRH0,2.1241589903831484
FRI1,2.0970178643862405
FRI2,2.153648090362549
ITC4,2.052242056528727
ITF1,1.8999841918547948
ITF2,1.8422467743357023
ITF3,1.9026019374529521
ITF4,1.3084319247553746
ITF5,1.551046398282051
ITF6,1.6597399026155473
ITG1,1.1548004010692239
LT01,2.343169402082761
LT02,2.0769224211573603
LU00,2.476126484076182
PL22,2.3725510080655416
PL41,2.074617818991343
PL42,2.056255704164505
PT18,1.1804952057699363
PT20,0.0
PT30,0.0
RO11,2.5119363089402515
RO12,2.870330105225245
RO21,2.238593062758446
RO22,1.6866718848546347
RO31,2.0561754455169043
RO32,1.7964811312655609
ITH3,1.9226600368817648
ITH4,2.4463541318972903
ITH5,1.673839024702708
ITI1,1.6508503486712773
ITI2,2.114383853475253
ITI3,1.5728160599867502
ITI4,2.0475392639636993
LI00,2.8999216705560684
FI1D,1.84891519844532
TR82,2.59490753809611
TR83,2.4612053434054055
TR90,3.149780004223188
TRA1,2.71232713162899
TRA2,3.347895383834839
PL43,2.076567467053731
PL51,2.374726575613022
PL52,2.3781652649243674
PL61,1.9535019884506861
PL62,2.1560869892438252
PL63,1.8404086848100027
PL71,2.1261536180973053
PL72,2.268168157339096
PL81,2.242270932594935
PL82,2.53872876316309
PL84,2.255265271663666
PL91,2.1722909808158875
PL92,2.2586230764786404
PT11,1.7723633875449498
PT15,1.070038944731156
TRB1,2.40805650750796
TRB2,2.622673000892003
TRC1,1.7154029220342637
RS12,2.065489955743154
RS21,2.420246178905169
RS22,2.2403013467788697
SE11,1.4562900933126608
SE12,1.6336963494618735
NL33,2.1468503336111704
NL34,2.108128321170807
NL41,2.2408120612303417
NL42,2.191971412797769
PL21,2.7485431392987567
UKM6,2.7213568727175397
TR22,1.4557520002126694
TRC2,1.6114274486899376
TRC3,1.5443771118919054
UKC1,2.2867765376965203
UKC2,2.2863589068253836
UKD1,2.567074704170227
UKD3,2.2961945990721384
UKD4,2.3082747362554072
UKD6,2.042713978886604
UKD7,2.013500279188156
UKE1,1.9602492908636728
UKE2,2.384346773227056
UKE3,2.212229136625926
RO41,2.2153350353240966
RO42,2.465868975718816
RS11,2.2515877723693847
TR41,1.8576542178789774
TR42,2.2652383108933765
TR51,1.8998035629590353
TR52,1.5604962249596914
