nuts,Winter Extreme Precipitation Days (days) (1981 - 2010)
DE50,2.004706204930941
DE60,2.1051813820997873
DE71,2.0322315603494645
DE72,2.0332770069440205
DE73,2.0916780665516854
DE80,1.8921165039141974
DE91,2.0503624523679416
BG41,1.4962276796499887
BG42,1.380689294139544
CH01,1.9486643950144449
AT32,2.1057584553956987
AT33,1.9746628317981958
AT34,1.9856214741865794
BE10,1.8416890094677607
BE23,1.8717160950104395
BE24,1.8944742389023304
BE25,1.9233384971817336
BE31,1.9209690968195596
BE32,1.9320523201177517
BE33,2.2003012801210087
BE34,2.177782126267751
BE35,2.116079836090406
BG31,1.351920477549235
BG32,1.3370102836440008
BG33,1.3002815023064613
BG34,1.3528693114717802
DE92,2.0238761802514396
DE93,2.0019081664582092
DE94,2.003872202336788
CZ07,1.7941213053961595
CZ08,1.935021610558033
AL01,1.8807564554115137
AL02,1.7274992551654578
AL03,1.773679498458902
AT11,1.2924574628472327
AT12,1.6523096323013307
AT13,1.424979716539383
AT21,1.4638818656404813
AT22,1.720909258723259
AT31,2.0602406499286494
DK05,1.9494978383183479
BE21,1.8976459592580794
BE22,2.0057896355787914
ES43,1.3114838735510905
ES51,1.0973637697597345
ES52,0.9678953463832537
ES53,1.211615822215875
ES61,1.252084877838691
ES62,0.8864233321199815
ES63,1.6887602627277374
ES64,1.0666666666666667
CH02,2.008639060954253
CH03,2.0032953888177873
CH04,1.9297549779216447
CH05,1.8488242069880167
CH06,2.008333459496498
CH07,1.5716331742703915
CY00,1.4096859867374103
CZ01,1.686743244032065
CZ02,1.7449047630031904
CZ03,1.8141857350866
CZ04,1.8992173628260691
CZ05,1.9291222850481669
CZ06,1.593597099557519
DE40,1.838561655084292
EL53,1.5616920006771882
EL54,1.89437290293475
EL61,1.6981510234375794
EL62,2.0439509093761443
EL63,1.9762528292834758
ES70,0.7993123685320218
ITC1,1.4171063899993896
ITC2,1.7887030988931656
DE11,2.0296557762349647
DE12,2.0902816229810317
DE13,2.0319399593397973
DE14,1.9500077925622463
DE21,1.9988560646772384
DE22,1.9387316904962062
DE23,1.966370270649592
DE24,2.088283414890369
DE25,1.9787995576858521
DE26,2.0396595468123753
DE27,1.9576900248105327
DE30,1.7915954927603404
EL42,1.7058436060945192
LV00,1.9612839708725611
ME00,1.97020945896705
MK00,1.4731753488381705
MT00,1.608293896416823
NL11,1.9749872098366419
NL12,2.134201024721066
EL64,1.7341882874568304
EL65,1.7181627869606018
ES11,2.1030007948478064
ES12,2.178932395577431
ES13,2.080211441963911
ES21,2.1057504708568255
ES22,1.7229628557960193
ES23,1.6435174718499184
ES24,1.1694763739903768
ES30,1.2745491209129491
IE05,2.3090653558572134
IE06,2.0873859276374183
IS00,2.7801352620124815
ITC3,1.4781571239233018
FI19,1.6595738679170609
FI1B,1.860734860599041
FI1C,1.8096073290954033
DEA1,2.1191886285940806
DEA2,2.193997700760762
DEA3,2.079717344045639
DEA4,2.1315960342685383
DEA5,2.253970710063974
DEB1,2.0418319885929423
DEB2,2.0887794335683187
DEB3,1.9545363619923593
DEC0,2.064095429579417
DED2,2.0824058572451274
DED4,2.1214315275351208
DED5,1.931631072362264
DEE0,1.8642377247413
DEF0,1.9839093332489333
DEG0,2.0248341988772154
DK01,1.8117102603117625
DK02,1.7447949103390177
DK03,1.883828416466713
DK04,1.8747133194158474
ES41,1.5231025884548823
ES42,1.2183453080554802
HU23,1.2682362015048663
HU31,1.3468333308895428
HU32,1.409824590633313
HU33,1.2973185136914254
IE04,2.5814056930442653
EE00,1.9454879966874918
EL30,1.3513235285878182
EL41,1.714689603820443
EL43,1.7547301729520162
EL51,1.4008042072877287
EL52,1.429407591621081
FI20,1.8785349195202192
FR10,1.7772809082021317
FRB0,1.8167900015910468
FRC1,2.0005506398777166
FRC2,2.0922922174135845
FRD1,2.025793593128522
FRD2,1.9524050168693066
FRE1,1.9456591839591661
FRE2,1.8905735671520234
FRF1,2.086707866564393
NL13,1.905686463912328
NL21,1.9608771781126657
NL22,1.9753443822264671
NL23,2.0305212850372
NL31,1.983286589384079
NL32,2.160409771526853
ITG2,1.5333626637856166
ITH1,1.5787941192587216
ITH2,1.2330969040592512
FRI3,1.8101456255962451
FRJ1,1.5025183881322544
FRJ2,1.823177272081375
FRK1,1.9600303615132968
FRK2,1.7882695138454436
FRL0,1.280837460110585
FRM0,1.6324490308761597
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,1.6703587085008622
TR32,1.6148142687976361
TR33,1.4761553179472684
HR03,1.7124278604984284
HR02,1.4527638668815295
HU11,1.2665876517693202
HU12,1.2790039944152036
HU21,1.3108928576111794
HU22,1.266241310350597
PT16,1.5927953273057938
PT17,1.5193234836061795
FRF2,2.017898586392403
FRF3,2.080333193143209
FRG0,1.764101647088925
FRH0,2.0756496086716654
FRI1,1.8543910865982374
FRI2,2.0450365704794726
ITC4,1.2334727632502716
ITF1,1.7333053449789684
ITF2,1.7785247726986806
ITF3,1.8848091050982476
ITF4,1.5930031180381774
ITF5,1.6209678456187249
ITF6,1.8912271410226822
ITG1,1.7087857753038407
LT01,1.9814766690135002
LT02,1.9230635503927866
LU00,2.0943486325442793
PL22,1.948780331015587
PL41,1.7488053262233734
PL42,1.8854079842567444
PT18,1.3480587149659793
PT20,0.0
PT30,1.5303694223364195
RO11,1.7109940943618616
RO12,1.5836202681064606
RO21,1.295487532019615
RO22,1.1463666970531146
RO31,1.2228779068216682
RO32,1.1633047295113406
ITH3,1.2387302845716477
ITH4,1.3644151066740353
ITH5,1.3687857247889041
ITI1,1.5223738958438238
ITI2,1.5896579220890998
ITI3,1.6525577511638403
ITI4,1.657051172790428
LI00,1.983450827995936
FI1D,1.6397959277033807
TR82,1.8798998065292836
TR83,1.7235395808393756
TR90,2.043889742096265
TRA1,1.5870641313493252
TRA2,1.4773580111563205
PL43,1.8259596968690555
PL51,1.925985985994339
PL52,1.8227608650922775
PL61,1.7087048947811128
PL62,1.9036892250180244
PL63,1.921320873995622
PL71,1.7718591063593825
PL72,1.7418075864513716
PL81,1.790739607810974
PL82,1.9573765804370244
PL84,1.8451174649099509
PL91,1.806164803604285
PL92,1.7756002647181353
PT11,1.6972981102764606
PT15,1.2850301444530488
TRB1,1.6560810168584188
TRB2,1.600145696103573
TRC1,1.6149208133419355
RS12,1.3684123327334723
RS21,1.7283369854092598
RS22,1.576512668033441
SE11,1.7752389547725518
SE12,1.5982029112676779
NL33,2.0129713296890257
NL34,1.9387468489507833
NL41,1.9203503102064132
NL42,2.0106226215759913
PL21,1.9338074843088786
UKM6,2.9293149411678314
TR22,1.6680149992307027
TRC2,1.5791251957416534
TRC3,1.6531740834315618
UKC1,2.1425189460317293
UKC2,2.1388310506939887
UKD1,2.4831818560759227
UKD3,2.2730778083205223
UKD4,2.4225616733233135
UKD6,2.081377732505401
UKD7,2.254749647776286
UKE1,1.8228251858303943
UKE2,2.0993444258968035
UKE3,1.858094013730685
RO41,1.3612176851679882
RO42,1.6329279964168866
RS11,1.5133050449192524
TR41,1.6141729036966959
TR42,1.9732107500235239
TR51,1.422633522748947
TR52,1.3031815141439438
TR61,1.6420393198728562
TR62,1.5161431858936945
TR63,1.6399110029141108
TR71,1.4017484645048777
TR72,1.578943522212406
TR81,2.096438396970431
