nuts,Annual Aridity Actual (-) ensemble median - (1971 - 2000) e_hypegrid
DE50,0.716809093952179
DE60,0.8134104609489441
DE71,0.8913439512252808
DE72,0.7981982231140137
DE73,0.8356644809246063
DE80,0.9458662569522858
DE91,0.8792127966880798
BG41,1.3436024188995361
BG42,1.7462034225463867
CH01,0.49501943588256836
AT32,0.2861389070749283
AT33,0.26780563592910767
AT34,0.2884463518857956
BE10,0.9040518403053284
BE23,1.0533781051635742
BE24,1.0681535005569458
BE25,1.0585508942604065
BE31,1.083755075931549
BE32,1.0493574738502502
BE33,0.814216285943985
BE34,0.7116188704967499
BE35,0.8631123304367065
BG31,1.5379737615585327
BG32,1.5525816082954407
BG33,1.7937660813331604
BG34,1.8805779814720154
DE92,0.8839680552482605
DE93,0.7959317862987518
DE94,0.7769654393196106
CZ07,0.8550035953521729
CZ08,0.755366861820221
AL01,2.246755003929138
AL02,1.8763995170593262
AL03,2.3254411220550537
AT11,1.2323572635650635
AT12,0.8615825474262238
AT13,1.0100895166397095
AT21,0.48514294624328613
AT22,0.5668180584907532
AT31,0.5896704196929932
DK05,0.8233844041824341
BE21,0.9796778857707977
BE22,1.0430160164833069
ES43,5.198612213134766
ES51,2.4492107629776
ES52,4.421306371688843
ES53,6.002985000610352
ES61,6.943631887435913
ES62,5.528476238250732
ES63,9.991754531860352
ES64,9.469444751739502
CH02,0.5085792541503906
CH03,0.6917764544487
CH04,0.6317907273769379
CH05,0.37415774166584015
CH06,0.3846079111099243
CH07,0.5661982595920563
CY00,5.088582515716553
CZ01,1.0729231238365173
CZ02,1.013152539730072
CZ03,0.7414256036281586
CZ04,0.7180255353450775
CZ05,0.7564356029033661
CZ06,1.0049040019512177
DE40,1.0505836009979248
EL53,2.252415895462036
EL54,2.482250690460205
EL61,2.3008272647857666
EL62,6.654141426086426
EL63,4.219510793685913
ES70,0.0
ITC1,1.682388961315155
ITC2,0.4014021307229996
DE11,0.8353463113307953
DE12,0.8244707584381104
DE13,0.6619039177894592
DE14,0.6930434703826904
DE21,0.5935348868370056
DE22,0.7315499186515808
DE23,0.7629812061786652
DE24,0.7840916812419891
DE25,0.8471421003341675
DE26,0.897559642791748
DE27,0.6174120604991913
DE30,1.2025517225265503
EL42,8.199666023254395
LV00,0.7577410042285919
ME00,1.7685162425041199
MK00,1.562143325805664
MT00,7.4232635498046875
NL11,0.7868019044399261
NL12,0.9161249697208405
EL64,3.649936556816101
EL65,3.6242623329162598
ES11,1.5682141780853271
ES12,0.9463437497615814
ES13,1.1046404838562012
ES21,1.194054126739502
ES22,1.5329925417900085
ES23,1.6676853895187378
ES24,2.2547413110733032
ES30,3.529183268547058
IE05,0.6139718592166901
IE06,0.6454867720603943
IS00,0.25444209575653076
ITC3,1.9291024804115295
FI19,0.8077646493911743
FI1B,0.8382799327373505
FI1C,0.8358116745948792
DEA1,0.8893601298332214
DEA2,0.8472834527492523
DEA3,0.8776161372661591
DEA4,0.8479108512401581
DEA5,0.7196675539016724
DEB1,0.8851007223129272
DEB2,0.8767752051353455
DEB3,0.9676937460899353
DEC0,0.9052083790302277
DED2,0.884807676076889
DED4,0.7636100947856903
DED5,1.0494084358215332
DEE0,1.0856386423110962
DEF0,0.8073394894599915
DEG0,0.8776101768016815
DK01,0.9147621393203735
DK02,0.9771004319190979
DK03,0.8291967809200287
DK04,0.8030562698841095
ES41,2.3727411031723022
ES42,3.9597524404525757
HU23,1.4283447861671448
HU31,1.3841099739074707
HU32,1.380968689918518
HU33,1.416221559047699
IE04,0.4974513500928879
EE00,0.7292841076850891
EL30,4.848225116729736
EL41,7.17557168006897
EL43,7.793735027313232
EL51,2.136549711227417
EL52,1.9779759645462036
FI20,0.8632798492908478
FR10,1.2474456429481506
FRB0,1.2489537596702576
FRC1,1.0033386945724487
FRC2,0.687351793050766
FRD1,1.1357123255729675
FRD2,1.1898810267448425
FRE1,1.1352967619895935
FRE2,1.194309115409851
FRF1,0.8470045626163483
NL13,0.7911235094070435
NL21,0.8557720184326172
NL22,0.8991126418113708
NL23,1.1706023216247559
NL31,0.8550725281238556
NL32,0.9757906794548035
ITG2,5.123690366744995
ITH1,0.4519321769475937
ITH2,0.6172609329223633
FRI3,1.2974313497543335
FRJ1,1.4070940017700195
FRJ2,1.06636643409729
FRK1,0.8536061644554138
FRK2,0.8682480156421661
FRL0,2.0937767028808594
FRM0,4.784561634063721
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,4.835564613342285
TR32,3.844091057777405
TR33,2.904555916786194
HR03,1.7946335077285767
HR02,1.0424143075942993
HU11,1.6127158999443054
HU12,1.552165687084198
HU21,1.5534096360206604
HU22,1.3954041004180908
PT16,3.4443130493164062
PT17,5.571484565734863
FRF2,1.0416327714920044
FRF3,0.8960023522377014
FRG0,1.333760380744934
FRH0,1.1792969703674316
FRI1,1.1244033575057983
FRI2,0.8356101512908936
ITC4,1.4752433896064758
ITF1,1.698123037815094
ITF2,1.8872650861740112
ITF3,2.322291135787964
ITF4,2.3874146938323975
ITF5,2.557020902633667
ITF6,3.028874635696411
ITG1,5.927895784378052
LT01,0.688649594783783
LT02,0.7867519855499268
LU00,0.8243535161018372
PL22,0.7976254224777222
PL41,0.976649284362793
PL42,0.8424497246742249
PT18,5.780416965484619
PT20,0.0
PT30,0.0
RO11,0.9984091818332672
RO12,0.8727708756923676
RO21,1.0970038771629333
RO22,1.716902256011963
RO31,1.4578665494918823
RO32,1.6129100918769836
ITH3,1.3559853434562683
ITH4,0.9396072328090668
ITH5,1.7493299841880798
ITI1,1.7855334281921387
ITI2,1.7372822761535645
ITI3,1.8188138604164124
ITI4,2.3947571516036987
LI00,0.44944150745868683
FI1D,0.5396569967269897
TR82,1.1820282936096191
TR83,1.3247767686843872
TR90,0.6145043075084686
TRA1,0.5263163149356842
TRA2,0.0
PL43,0.9927179217338562
PL51,0.8757762014865875
PL52,0.9479524493217468
PL61,0.9275499880313873
PL62,0.8572610020637512
PL63,0.8307532966136932
PL71,0.917745441198349
PL72,0.8868956863880157
PL81,0.8437528014183044
PL82,0.7716439068317413
PL84,0.7619812786579132
PL91,0.9306470155715942
PL92,0.9020635783672333
PT11,2.426121473312378
PT15,7.359996318817139
TRB1,3.8966805934906006
TRB2,0.0
TRC1,5.045091390609741
RS12,1.343538761138916
RS21,1.0244669914245605
RS22,1.4805031418800354
SE11,1.0425316095352173
SE12,0.9342455863952637
NL33,0.8649469912052155
NL34,1.0259023904800415
NL41,1.0132169127464294
NL42,1.0173865854740143
PL21,0.7442078292369843
UKM6,0.38126423954963684
TR22,5.124834299087524
TRC2,0.0
TRC3,0.0
UKC1,0.6776925921440125
UKC2,0.5968544483184814
UKD1,0.4614329934120178
UKD3,0.6503421366214752
UKD4,0.6178797781467438
UKD6,0.7817817628383636
UKD7,0.7734030187129974
UKE1,1.063242256641388
UKE2,0.7980192601680756
UKE3,0.8584080934524536
RO41,1.715951681137085
RO42,1.1692733764648438
RS11,1.2126888036727905
TR41,2.58928906917572
TR42,2.0416550040245056
TR51,2.767971634864807
TR52,3.6019952297210693
TR61,4.201757192611694
TR62,4.162727355957031
TR63,4.3464884757995605
TR71,3.31060528755188
TR72,2.4380905628204346
TR81,1.1262945532798767
UKK1,0.966763436794281
UKK2,0.8815845847129822
UKK3,0.755248636007309
UKK4,0.695160299539566
UKL1,0.5895140171051025
UKL2,0.6427868604660034
UKM5,0.5399819910526276
UKM7,0.5057154297828674
UKM8,0.45807957649230957
UKM9,0.44244062900543213
UKN0,0.5298131108283997
SE21,0.8262363374233246
SE22,0.9043740630149841
SE23,0.7282143533229828
SE31,0.6057224273681641
SE32,0.48167814314365387
SE33,0.42495281994342804
SI03,0.8024087846279144
SI04,0.6861741542816162
SK01,1.2117998600006104
SK02,1.2003514766693115
SK03,0.7788013219833374
SK04,0.7659735381603241
TR10,2.8632293939590454
TR21,2.663577675819397
UKE4,0.7141907513141632
UKF1,0.8715604245662689
UKF2,1.1163601279258728
UKF3,1.153116226196289
UKG1,1.0124044716358185
UKG2,0.8165947496891022
UKG3,0.9323650002479553
UKH1,1.1265860199928284
UKH2,1.166321575641632
UKH3,1.2404661774635315
UKI3,1.1260221004486084
UKI4,1.2976136207580566
UKI5,1.336632788181305
UKI6,0.9819329977035522
UKI7,1.0357157588005066
UKJ1,1.0415568351745605
UKJ2,1.164773404598236
UKJ3,1.0313197374343872
UKJ4,1.2537347674369812
NO09,0.4319181591272354
NO0A,0.29042482376098633
NO0B,0.0
HR05,0.9493609070777893
HR06,1.0420770645141602
NO02,0.4213210493326187
NO06,0.34258389472961426
NO07,0.3397201597690582
NO08,0.5286884009838104
