nuts,January Days With High Fire Danger (days) (1981 - 2010)
DE50,0.0
DE60,0.0
DE71,0.0
DE72,0.0
DE73,0.0
DE80,0.0
DE91,0.0
BG41,0.0
BG42,0.0
CH01,0.0
AT32,0.0
AT33,0.0
AT34,0.0
BE10,0.0
BE23,0.0
BE24,0.0
BE25,0.0
BE31,0.0
BE32,0.0
BE33,0.0
BE34,0.0
BE35,0.0
BG31,0.0
BG32,0.0
BG33,0.0
BG34,0.0
DE92,0.0
DE93,0.0
DE94,0.0
CZ07,0.0
CZ08,0.0
AL01,0.0
AL02,0.0
AL03,0.0
AT11,0.0
AT12,0.0
AT13,0.0
AT21,0.0
AT22,0.0
AT31,0.0
DK05,0.0
BE21,0.0
BE22,0.0
ES43,0.0031488684316476187
ES51,0.05713269462188085
ES52,0.25935051633665956
ES53,0.04876240889231364
ES61,0.08855290757492185
ES62,0.48471900026003517
ES63,0.0
ES64,0.1
CH02,0.0
CH03,0.0
CH04,0.0
CH05,0.0
CH06,0.0
CH07,0.0
CY00,0.05196144965787729
CZ01,0.0
CZ02,0.0
CZ03,0.0
CZ04,0.0
CZ05,0.0
CZ06,0.0
DE40,0.0
EL53,0.0
EL54,0.0
EL61,0.0021814127763112386
EL62,0.0
EL63,0.0
ES70,3.2681113744775456
ITC1,0.0
ITC2,0.0
DE11,0.0
DE12,0.0
DE13,0.0
DE14,0.0
DE21,0.0
DE22,0.0
DE23,0.0
DE24,0.0
DE25,0.0
DE26,0.0
DE27,0.0
DE30,0.0
EL42,0.035257059273620446
LV00,0.0
ME00,0.0
MK00,0.0
MT00,0.041653518378734586
NL11,0.0
NL12,0.0
EL64,0.0031639695167541503
EL65,0.005610311279694239
ES11,0.0
ES12,0.0
ES13,0.0
ES21,0.0
ES22,0.0
ES23,0.0
ES24,0.04622111842036247
ES30,0.002469867964585622
IE05,0.0
IE06,0.0
IS00,0.0
ITC3,0.007753686606884002
FI19,0.0
FI1B,0.0
FI1C,0.0
DEA1,0.0
DEA2,0.0
DEA3,0.0
DEA4,0.0
DEA5,0.0
DEB1,0.0
DEB2,0.0
DEB3,0.0
DEC0,0.0
DED2,0.0
DED4,0.0
DED5,0.0
DEE0,0.0
DEF0,0.0
DEG0,0.0
DK01,0.0
DK02,0.0
DK03,0.0
DK04,0.0
ES41,0.0
ES42,0.03772360884274046
HU23,0.0
HU31,0.0
HU32,0.0
HU33,0.0
IE04,0.0
EE00,0.0
EL30,0.00791388303041458
EL41,0.002256925404071808
EL43,0.03673184514045715
EL51,0.0
EL52,0.0
FI20,0.0
FR10,0.0
FRB0,0.0
FRC1,0.0
FRC2,0.0
FRD1,0.0
FRD2,0.0
FRE1,0.0
FRE2,0.0
FRF1,0.0
NL13,0.0
NL21,0.0
NL22,0.0
NL23,0.0
NL31,0.0
NL32,0.0
ITG2,0.013922789817055066
ITH1,0.0
ITH2,0.0
FRI3,0.0
FRJ1,0.0030027983089288075
FRJ2,0.0
FRK1,0.0
FRK2,0.0
FRL0,0.006021028726051251
FRM0,0.014219988758365313
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,0.0
TR32,0.000421902754654487
TR33,0.0
HR03,0.0
HR02,0.0
HU11,0.0
HU12,0.0
HU21,0.0
HU22,0.0
PT16,0.0033242625494798025
PT17,0.03333333333333333
FRF2,0.0
FRF3,0.0
FRG0,0.0
FRH0,0.0
FRI1,0.0
FRI2,0.0
ITC4,0.0
ITF1,0.0
ITF2,0.0
ITF3,0.0
ITF4,0.0
ITF5,0.0
ITF6,0.0
ITG1,0.004674536393334468
LT01,0.0
LT02,0.0
LU00,0.0
PL22,0.0
PL41,0.0
PL42,0.0
PT18,0.025922604339818158
PT20,0.0
PT30,0.05989850660165151
RO11,0.0
RO12,0.0
RO21,0.0
RO22,0.0
RO31,0.0
RO32,0.0
ITH3,0.0
ITH4,0.0
ITH5,0.0
ITI1,0.003918749839067459
ITI2,0.0
ITI3,0.0
ITI4,0.0
LI00,0.0
FI1D,0.0
TR82,0.0
TR83,0.0
TR90,0.0
TRA1,0.0
TRA2,0.0
PL43,0.0
PL51,0.0
PL52,0.0
PL61,0.0
PL62,0.0
PL63,0.0
PL71,0.0
PL72,0.0
PL81,0.0
PL82,0.0
PL84,0.0
PL91,0.0
PL92,0.0
PT11,0.0
PT15,0.10336609917382399
TRB1,0.0
TRB2,0.0
TRC1,0.0
RS12,0.0
RS21,0.0
RS22,0.0
SE11,0.0
SE12,0.0
NL33,0.0
NL34,0.0
NL41,0.0
NL42,0.0
PL21,0.0
UKM6,0.0
TR22,0.0
TRC2,0.0
TRC3,0.0014396360764900842
UKC1,0.0
UKC2,0.0
UKD1,0.0
UKD3,0.0
UKD4,0.0
UKD6,0.0
UKD7,0.0
UKE1,0.0
UKE2,0.0
UKE3,0.0
RO41,0.0
RO42,0.0
RS11,0.0
TR41,0.0
TR42,0.0
TR51,0.0
TR52,0.005345488588015239
TR61,0.0
TR62,0.0032184990122914314
TR63,0.0
TR71,0.0
TR72,0.0
TR81,0.0
UKK1,0.0
UKK2,0.0
UKK3,0.0
UKK4,0.0
UKL1,0.0
UKL2,0.0
UKM5,0.0
UKM7,0.0
UKM8,0.0
UKM9,0.0
UKN0,0.0
SE21,0.0
SE22,0.0
SE23,0.0
SE31,0.0
SE32,0.0
SE33,0.0
SI03,0.0
SI04,0.0
SK01,0.0
SK02,0.0
SK03,0.0
SK04,0.0
TR10,0.0
TR21,0.0
UKE4,0.0
UKF1,0.0
UKF2,0.0
UKF3,0.0
UKG1,0.0
UKG2,0.0
UKG3,0.0
UKH1,0.0
UKH2,0.0
UKH3,0.0
UKI3,0.0
UKI4,0.0
UKI5,0.0
UKI6,0.0
UKI7,0.0
UKJ1,0.0
UKJ2,0.0
UKJ3,0.0
UKJ4,0.0
NO09,0.0
NO0A,0.0
NO0B,0.0
HR05,0.0
HR06,0.0
NO02,0.0
NO06,0.0
NO07,0.0
NO08,0.0
