nuts,June Days With High Fire Danger (days) ensemble median - RCP4.5 - (2011 - 2040)
DE50,0.12379399885733923
DE60,0.2234146942694982
DE71,0.25833488038430613
DE72,0.07073572843025128
DE73,0.06689122306803862
DE80,0.44771441894893843
DE91,0.18735356243948142
BG41,0.3488193146884441
BG42,1.4100868890372416
CH01,0.0024732636908690133
AT32,0.0013988917072614035
AT33,0.0008795015513896942
AT34,0.001750960573554039
BE10,0.2999560038248698
BE23,0.3525490572055181
BE24,0.22489107909301917
BE25,0.2315024262915055
BE31,0.17953424627582232
BE32,0.23116183833529552
BE33,0.10115207632382711
BE34,0.088085608681043
BE35,0.10103196203708649
BG31,2.093681601869563
BG32,1.1385749263688922
BG33,1.072036961900691
BG34,0.9570357237632076
DE92,0.11362854577600956
DE93,0.2952205228308837
DE94,0.21931683818499248
CZ07,0.3729805505524079
CZ08,0.09663524304827055
AL01,0.5451182318851352
AL02,3.6299742927153904
AL03,4.106643960873286
AT11,0.8856358171751102
AT12,0.6397886165728172
AT13,1.5442441115776697
AT21,0.0037177671988805135
AT22,0.037456041760742666
AT31,0.020681279028455415
DK05,0.5781944836179416
BE21,0.41469123363494875
BE22,0.3144543925921122
ES43,15.491945328315099
ES51,5.129922198255857
ES52,12.003417952855427
ES53,5.078519843022028
ES61,16.824836309750875
ES62,19.271045891443887
ES63,0.0
ES64,0.0
CH02,0.019368182371060052
CH03,0.054467982674638434
CH04,0.042913695176442467
CH05,0.005186585243791342
CH06,0.018449408809343974
CH07,0.01185939610004425
CY00,24.971296628316242
CZ01,0.31622271438439686
CZ02,0.43320755039652187
CZ03,0.13345134118571877
CZ04,0.42521910977860294
CZ05,0.2793898383776347
CZ06,0.6471990136429667
DE40,0.7785846493206918
EL53,4.615502324452003
EL54,3.035108871261279
EL61,6.897906404733658
EL62,0.0
EL63,8.778856542706489
ES70,0.0
ITC1,0.2424174154487749
ITC2,0.01740231116612752
DE11,0.06602329189578691
DE12,0.11704961564391851
DE13,0.11881607460478942
DE14,0.02901158674309651
DE21,0.030599169867734113
DE22,0.055082718282938
DE23,0.11580237615853547
DE24,0.2546091852709651
DE25,0.20859448947012424
DE26,0.20261165052652358
DE27,0.06621136330068111
DE30,1.0417455404996872
EL42,18.9
LV00,0.21660968537908049
ME00,0.21839285244544346
MK00,3.2544151674645643
MT00,0.0
NL11,0.1924244284629822
NL12,0.13762104560931523
EL64,10.891756190856297
EL65,14.967797462145487
ES11,0.6782927024799089
ES12,0.06204748495171467
ES13,0.08093500236670176
ES21,0.4372455719858408
ES22,3.913033680121104
ES23,2.994989870861173
ES24,9.288583974043528
ES30,11.45950950582822
IE05,0.03601397108286619
IE06,0.028119688977797826
IS00,0.0339331370855992
ITC3,0.09820349452396233
FI19,0.15993648718576878
FI1B,0.6503839205950499
FI1C,0.4260978588213523
DEA1,0.3045429286857446
DEA2,0.19804613403975962
DEA3,0.27376070357859134
DEA4,0.09017009790986777
DEA5,0.06079841653505961
DEB1,0.16215139372895163
DEB2,0.11475345094998678
DEB3,0.3399662575994929
DEC0,0.2686217496792475
DED2,0.40936758120854694
DED4,0.25035445590813954
DED5,0.5509822148829698
DEE0,0.48432575886448226
DEF0,0.2096226637562116
DEG0,0.27108826460316776
DK01,0.744211021065712
DK02,0.39546215732892354
DK03,0.440526137376825
DK04,0.520084762138625
ES41,5.857151390612126
ES42,14.378303827842077
HU23,1.290100740455091
HU31,1.7389465987682342
HU32,2.052384156143914
HU33,1.845527688941608
IE04,0.020684834755957126
EE00,0.19990273838241895
EL30,22.041830492019653
EL41,14.633333333333333
EL43,21.89720985094706
EL51,3.284645447631677
EL52,3.83131407648325
FI20,0.23333333333333334
FR10,0.5257111849263311
FRB0,0.9948791764676571
FRC1,0.5789306907604138
FRC2,0.3217765123893817
FRD1,0.3092220791305105
FRD2,0.22186925783753395
FRE1,0.18099176548421383
FRE2,0.2358426465652883
FRF1,0.3175805111726125
NL13,0.3020539303620656
NL21,0.45155100027720135
NL22,0.4213215428094069
NL23,0.3041978538036346
NL31,0.3442861646413803
NL32,0.22162416974703472
ITG2,11.066927524407705
ITH1,0.0007224493349591891
ITH2,0.009316885968049367
FRI3,1.187246017033855
FRJ1,3.7564347929942112
FRJ2,0.649511574053516
FRK1,0.4065200505157312
FRK2,0.7337877474104365
FRL0,4.096278258164724
FRM0,1.3643698178231716
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,19.640457773208617
TR32,20.551817059516907
TR33,16.09040852387746
HR03,0.6050992930618425
HR02,0.7848561817780138
HU11,2.162781898180644
HU12,2.2599196415394545
HU21,1.817708664511641
HU22,1.4032321604589622
PT16,8.048500535885493
PT17,10.875991043448447
FRF2,0.33740160311572254
FRF3,0.3059396603765587
FRG0,1.090003348638614
FRH0,0.3960519620217383
FRI1,0.7735770161729306
FRI2,0.4073784896483024
ITC4,0.5820438388424615
ITF1,1.235734666759769
ITF2,4.533639314149817
ITF3,4.573175384600957
ITF4,14.588395064075788
ITF5,10.71945322304964
ITF6,3.9964974972109
ITG1,17.664282298088075
LT01,0.2680170380199949
LT02,0.2810094652619834
LU00,0.13507112339138985
PL22,0.3319196088860432
PL41,1.1898688067061205
PL42,0.6912227140118679
PT18,15.559305957953136
PT20,0.0
PT30,0.0
RO11,0.35505536012351513
RO12,0.034762453241273764
RO21,1.045658106294771
RO22,3.069560036311547
RO31,1.4106165293604136
RO32,0.8139198693136375
ITH3,0.41230876265714567
ITH4,0.0030412723620732627
ITH5,2.07418075222522
ITI1,1.7562028125549356
ITI2,3.3211940304686625
ITI3,1.8899557995299499
ITI4,2.7818935863673686
LI00,0.0
FI1D,0.08383810671123987
TR82,2.3921505878369014
TR83,2.5485241959492364
TR90,0.12415491199741761
TRA1,2.157308255881071
TRA2,0.15070672432581583
PL43,1.362018555092315
PL51,0.6618709811940789
PL52,0.570771926579376
PL61,0.7240183994174003
PL62,0.4350273659142355
PL63,0.5485719124476115
PL71,0.7310696290185054
PL72,0.33445582625766596
PL81,0.2609087650664151
PL82,0.1345795378399392
PL84,0.32987201952685913
PL91,0.4734667147199313
PL92,0.4328310765946905
PT11,3.615237874165177
PT15,16.98845028678576
TRB1,14.902036650975544
TRB2,6.566510964433352
TRC1,23.76974302927653
RS12,1.919370533588032
RS21,0.5108640131540596
RS22,1.0782770480029285
SE11,0.6073045387864113
SE12,0.6387364537144701
NL33,0.2510632038116455
NL34,0.4295554923514525
NL41,0.44037747333447136
NL42,0.3904996380209923
PL21,0.0966098499794801
UKM6,0.01698398735995094
TR22,11.772580837272107
TRC2,26.6323091506958
TRC3,27.93575471242269
UKC1,0.04113592430949211
UKC2,0.05000336219867071
UKD1,0.011951106724639733
UKD3,0.09003295103708903
UKD4,0.017631337543328605
UKD6,0.10799135863780976
UKD7,0.05342969199021657
UKE1,0.1106630265712738
UKE2,0.06827416643500328
UKE3,0.18667181581258774
RO41,1.9833783507967988
RO42,0.49980948699327804
RS11,1.554017633572221
TR41,11.07916693687439
TR42,1.3809264708310365
TR51,14.55243750413259
TR52,18.907520389556886
TR61,13.166211652755738
TR62,9.332836484909057
TR63,17.69884510040283
TR71,16.71654394467672
TR72,8.76388857960701
TR81,0.3472391982873281
UKK1,0.201011140892903
UKK2,0.12313669733703136
UKK3,0.05761012335618337
UKK4,0.04542317440112432
UKL1,0.05101254861801863
UKL2,0.062094474832216896
UKM5,0.043362565835316974
UKM7,0.049973367558171354
