nuts,March Days With High Fire Danger (days) (1981 - 2010)
DE50,0.0
DE60,0.0
DE71,0.0
DE72,0.0
DE73,0.0
DE80,0.0
DE91,0.0
BG41,0.003599208096663157
BG42,0.005928456783294678
CH01,0.0
AT32,0.0
AT33,0.0
AT34,0.0
BE10,0.0
BE23,0.0
BE24,0.0
BE25,0.0
BE31,0.0
BE32,0.0
BE33,0.0
BE34,0.0
BE35,0.0
BG31,0.1113871950035294
BG32,0.0614036259551843
BG33,0.03238416612148285
BG34,0.0034279311696688336
DE92,0.0
DE93,0.0
DE94,0.0
CZ07,0.0
CZ08,0.0
AL01,0.0
AL02,0.007428600266575813
AL03,0.009210266421238582
AT11,0.0
AT12,0.0
AT13,0.0
AT21,0.0
AT22,0.0
AT31,0.0
DK05,0.0
BE21,0.0
BE22,0.0
ES43,0.7569216874738535
ES51,0.7398422402640183
ES52,1.8907409752408664
ES53,0.24038091202576956
ES61,0.8717508986281852
ES62,3.200102976957957
ES63,0.09992983639240265
ES64,1.1
CH02,0.0
CH03,0.0
CH04,0.0
CH05,0.0
CH06,0.0
CH07,0.0030553060273329417
CY00,0.2049632211526235
CZ01,0.0
CZ02,0.0
CZ03,0.0
CZ04,0.0
CZ05,0.0
CZ06,0.0
DE40,0.0
EL53,0.0
EL54,0.0
EL61,0.011592615644137065
EL62,0.0016104870786269505
EL63,0.008825309326251347
ES70,3.1483654357492923
ITC1,0.010365171233812968
ITC2,0.0
DE11,0.0
DE12,0.0
DE13,0.0
DE14,0.0
DE21,0.0
DE22,0.0
DE23,0.0
DE24,0.0
DE25,0.0
DE26,0.0
DE27,0.0
DE30,0.0
EL42,0.09056442414099972
LV00,0.0
ME00,0.0
MK00,0.003757558142145475
MT00,0.04162722130616506
NL11,0.0
NL12,0.0
EL64,0.1560466054826975
EL65,0.09185860051463048
ES11,0.0
ES12,0.0
ES13,0.0
ES21,0.0
ES22,0.2793351344764233
ES23,0.13546498194336892
ES24,1.5436799839449427
ES30,0.35188007801771165
IE05,0.0
IE06,0.0
IS00,0.0
ITC3,0.011576135456562043
FI19,0.0
FI1B,0.0
FI1C,0.0
DEA1,0.0
DEA2,0.0
DEA3,0.0
DEA4,0.0
DEA5,0.0
DEB1,0.0
DEB2,0.0
DEB3,0.0
DEC0,0.0
DED2,0.0
DED4,0.0
DED5,0.0
DEE0,0.0
DEF0,0.0
DEG0,0.0
DK01,0.0
DK02,0.0
DK03,0.0
DK04,0.0
ES41,0.23436976200900972
ES42,0.9106440726667643
HU23,0.0
HU31,0.0
HU32,0.0
HU33,0.0
IE04,0.0
EE00,0.0
EL30,0.3602648285528024
EL41,0.040097447608908016
EL43,0.2713827480872472
EL51,0.01599000593026479
EL52,0.018221338838338853
FI20,0.0
FR10,0.0
FRB0,0.0
FRC1,0.0
FRC2,0.0
FRD1,0.0
FRD2,0.0
FRE1,0.0
FRE2,0.0
FRF1,0.0
NL13,0.0
NL21,0.0
NL22,0.0
NL23,0.0
NL31,0.0
NL32,0.0
ITG2,0.1764102105672161
ITH1,0.0
ITH2,0.0
FRI3,0.0013824419428904852
FRJ1,0.2225257687891523
FRJ2,0.004745099072655042
FRK1,0.0
FRK2,0.011135069777568181
FRL0,0.26023648704091706
FRM0,0.062020986527204516
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,0.009507464990019799
TR32,0.0507360038968424
TR33,0.0549807938747108
HR03,0.0
HR02,0.0
HU11,0.0
HU12,0.0
HU21,0.0
HU22,0.0
PT16,0.35809676523009937
PT17,0.5243847511708737
FRF2,0.0
FRF3,0.0
FRG0,0.0
FRH0,0.0
FRI1,0.004078647742668788
FRI2,0.0
ITC4,0.017509029743572078
ITF1,0.0
ITF2,0.009799508502086003
ITF3,0.0
ITF4,0.08640006743371487
ITF5,0.03652176683147748
ITF6,0.011129246900479
ITG1,0.1270383813728889
LT01,0.0
LT02,0.0
LU00,0.0
PL22,0.0
PL41,0.0
PL42,0.0
PT18,1.1169845020088056
PT20,0.0
PT30,0.053243117034435274
RO11,0.0
RO12,0.0
RO21,0.0042416935165723165
RO22,0.060004288951555886
RO31,0.07370674995084604
RO32,0.05004287958145141
ITH3,0.0
ITH4,0.0
ITH5,0.00635401817659537
ITI1,0.0024516796693205833
ITI2,0.0
ITI3,0.0
ITI4,0.0
LI00,0.0
FI1D,0.0
TR82,0.006278680761655172
TR83,0.01043282225728035
TR90,0.0
TRA1,0.0
TRA2,0.00045619194085399307
PL43,0.0
PL51,0.0
PL52,0.0
PL61,0.0
PL62,0.0
PL63,0.0
PL71,0.0
PL72,0.0
PL81,0.0
PL82,0.0
PL84,0.0
PL91,0.0
PL92,0.0
PT11,0.05802137392262618
PT15,0.9370679023365179
TRB1,0.0007495282217860222
TRB2,0.0
TRC1,0.06283785458654165
RS12,0.0
RS21,0.0031900420784950257
RS22,0.007829567790031433
SE11,0.0
SE12,0.0
NL33,0.0
NL34,0.0
NL41,0.0
NL42,0.0
PL21,0.0
UKM6,0.0
TR22,0.029278274128834405
TRC2,0.2775242838387688
TRC3,0.04979481492191553
UKC1,0.0
UKC2,0.0
UKD1,0.0
UKD3,0.0
UKD4,0.0
UKD6,0.0
UKD7,0.0
UKE1,0.0
UKE2,0.0
UKE3,0.0
RO41,0.09725733303154509
RO42,0.0
RS11,0.0
TR41,0.09914482434590657
TR42,0.0017977694670359293
TR51,0.18189039727052053
TR52,0.3331437380363544
TR61,0.028785141898940006
TR62,0.018832050325969855
TR63,0.010524569948514303
TR71,0.23911332363883656
TR72,0.032336241689821084
TR81,0.0
UKK1,0.0
UKK2,0.0
UKK3,0.0
UKK4,0.0
UKL1,0.0
UKL2,0.0
UKM5,0.0
UKM7,0.0
UKM8,0.0
UKM9,0.0
UKN0,0.0
SE21,0.0
SE22,0.0
SE23,0.0
SE31,0.0
SE32,0.0
SE33,0.0
SI03,0.0
SI04,0.0
SK01,0.0
SK02,0.0
SK03,0.0
SK04,0.0
TR10,0.0
TR21,0.020271246631940205
UKE4,0.0
UKF1,0.0
UKF2,0.0
UKF3,0.0
UKG1,0.0
UKG2,0.0
UKG3,0.0
UKH1,0.0
UKH2,0.0
UKH3,0.0
UKI3,0.0
UKI4,0.0
UKI5,0.0
UKI6,0.0
UKI7,0.0
UKJ1,0.0
UKJ2,0.0
UKJ3,0.0
UKJ4,0.0
NO09,0.0
NO0A,0.0
NO0B,0.0
HR05,0.0
HR06,0.0
NO02,0.0
NO06,0.0
NO07,0.0
NO08,0.0
