nuts,March Days With High Fire Danger (days) ensemble median - RCP4.5 - (2011 - 2040)
DE50,0.0
DE60,0.0
DE71,0.0
DE72,0.0
DE73,0.0
DE80,0.0
DE91,0.0
BG41,0.013831106200814246
BG42,0.019230411512156327
CH01,0.0012366404136021933
AT32,0.0006937780107061068
AT33,0.0004361872871716817
AT34,0.0
BE10,0.0
BE23,0.0
BE24,0.0
BE25,0.0
BE31,0.0
BE32,0.0
BE33,0.0
BE34,0.0
BE35,0.0
BG31,0.13733200918262203
BG32,0.030339287780225276
BG33,0.015507600704828898
BG34,0.012383426663776238
DE92,0.0
DE93,0.0
DE94,0.0
CZ07,0.00057891762504975
CZ08,0.0008296219011147816
AL01,0.005215865559875965
AL02,0.010284562905629476
AL03,0.012251201644539833
AT11,0.0
AT12,0.00033278620491425197
AT13,0.0
AT21,0.0
AT22,0.0027684122634430725
AT31,0.0
DK05,0.0
BE21,0.0
BE22,0.0
ES43,1.4515384632628412
ES51,1.0949262492669125
ES52,3.7798241848746934
ES53,0.5483911534150442
ES61,2.0032294352073223
ES62,5.061995989270509
ES63,0.0
ES64,0.0
CH02,0.0
CH03,0.0
CH04,0.0
CH05,0.0
CH06,0.0
CH07,0.0
CY00,0.8975050347546737
CZ01,0.0
CZ02,0.0
CZ03,0.0
CZ04,0.0005731737241148948
CZ05,0.0
CZ06,0.0
DE40,0.0
EL53,0.013590444500247637
EL54,0.0016147110611200333
EL61,0.024686553205053013
EL62,0.0
EL63,0.004780007898807526
ES70,0.0
ITC1,0.011999798814455669
ITC2,0.0
DE11,0.0
DE12,0.0
DE13,0.005546230946977934
DE14,0.0
DE21,0.0
DE22,0.0
DE23,0.0
DE24,0.0
DE25,0.0
DE26,0.0
DE27,0.0005359110732873281
DE30,0.0
EL42,0.0
LV00,0.0
ME00,0.0038432226205865542
MK00,0.026246473814050358
MT00,0.0
NL11,0.0
NL12,0.0
EL64,0.12631526303788027
EL65,0.06362136503060659
ES11,0.034470253406713405
ES12,0.02308283026019732
ES13,0.020846258848905563
ES21,0.035449878126382825
ES22,0.4710767635454734
ES23,0.3694761395454407
ES24,1.9204648979008199
ES30,0.8873087026178836
IE05,0.0
IE06,0.0
IS00,0.0
ITC3,0.005533665915330251
FI19,0.0003877398557960987
FI1B,0.000661295528213183
FI1C,0.0013230539858341216
DEA1,0.0
DEA2,0.0
DEA3,0.0
DEA4,0.0
DEA5,0.0
DEB1,0.0
DEB2,0.0
DEB3,0.0
DEC0,0.0
DED2,0.0
DED4,0.0
DED5,0.0
DEE0,0.0
DEF0,0.0
DEG0,0.0
DK01,0.0
DK02,0.0
DK03,0.0
DK04,0.0
ES41,0.5760768038841585
ES42,1.9193853407166899
HU23,0.0
HU31,0.004881194482247035
HU32,0.009996201780935129
HU33,0.0014004722858468692
IE04,0.0
EE00,0.0
EL30,0.6327587097883225
EL41,0.03333333333333333
EL43,0.6585559678574403
EL51,0.012969758237401645
EL52,0.011749855180581411
FI20,0.0
FR10,0.0
FRB0,0.00018022839600841204
FRC1,0.0008954714983701705
FRC2,0.002396905173858007
FRD1,0.0
FRD2,0.0
FRE1,0.0
FRE2,0.0
FRF1,0.0
NL13,0.0
NL21,0.0
NL22,0.0
NL23,0.0
NL31,0.0
NL32,0.0
ITG2,0.2897847901408871
ITH1,0.0
ITH2,0.0009345802788933118
FRI3,0.0015371804436047872
FRJ1,0.20965305250138044
FRJ2,0.05381888983150323
FRK1,0.004301462043076754
FRK2,0.00847352781953911
FRL0,0.20570101498936613
FRM0,0.028683468947807947
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,0.03510031799475352
TR32,0.11926768505945802
TR33,0.15816997891912857
HR03,0.000840629202624162
HR02,0.0002786180625359217
HU11,0.0
HU12,0.0023393568893273673
HU21,0.0
HU22,0.0
PT16,0.9221441992248098
PT17,1.3193610226114592
FRF2,0.0
FRF3,0.0
FRG0,0.0
FRH0,0.00033729191248615584
FRI1,0.01971370812195043
FRI2,0.0023636693755785623
ITC4,0.02089737793430686
ITF1,0.0013930064936478932
ITF2,0.024653259168068566
ITF3,0.0007048636674880981
ITF4,0.16095308102667333
ITF5,0.05913001000881195
ITF6,0.015617054825027784
ITG1,0.3801887232810259
LT01,0.0
LT02,0.0
LU00,0.0
PL22,0.0
PL41,0.0
PL42,0.0
PT18,1.7811805765454969
PT20,0.0
PT30,0.0
RO11,0.0
RO12,0.0020810026054581005
RO21,0.008734502146641414
RO22,0.08257291850944361
RO31,0.06592229126642148
RO32,0.044524240245421724
ITH3,0.010411685922493537
ITH4,0.0
ITH5,0.07445354256778955
ITI1,0.008321472133199373
ITI2,0.0014732002591093382
ITI3,0.022462956607341766
ITI4,0.0014235214330255985
LI00,0.0
FI1D,0.0
TR82,0.03627219777554273
TR83,0.03787752992163102
TR90,0.0015336339982847372
TRA1,0.007913446736832459
TRA2,0.0
PL43,0.0
PL51,0.0
PL52,0.0
PL61,0.0
PL62,0.0
PL63,0.0
PL71,0.0
PL72,0.0
PL81,0.0
PL82,0.0
PL84,0.0
PL91,0.0
PL92,0.0
PT11,0.22044196128845214
PT15,2.357108527421951
TRB1,0.03766031339764595
TRB2,0.004188435773054759
TRC1,0.2194508750922978
RS12,0.01648547997077306
RS21,0.01121434842546781
RS22,0.03429185425241788
SE11,0.0
SE12,0.003341980557888746
NL33,0.0
NL34,0.0
NL41,0.0
NL42,0.0
PL21,0.0
UKM6,0.0
TR22,0.04834219856808583
TRC2,0.6104190521563093
TRC3,0.5097108734150727
UKC1,0.0
UKC2,0.0
UKD1,0.0
UKD3,0.0
UKD4,0.0
UKD6,0.0
UKD7,0.0
UKE1,0.0
UKE2,0.0
UKE3,0.0
RO41,0.09927800409495831
RO42,0.0031841145362704994
RS11,0.023052268971999485
TR41,0.17952513080090285
TR42,0.013913099157313506
TR51,0.2901625869174798
TR52,0.8213075876235962
TR61,0.060009964276105165
TR62,0.05702523707101743
TR63,0.07190681655580798
TR71,0.47942430069670083
TR72,0.1345763630233705
TR81,0.005241226156552633
UKK1,0.0
UKK2,0.0
UKK3,0.0
UKK4,0.0
UKL1,0.0
UKL2,0.0
UKM5,0.0
UKM7,0.0
UKM8,0.0
UKM9,0.0
UKN0,0.0
SE21,0.00858682901598513
SE22,0.0022018400331338247
SE23,0.0009573719153801601
SE31,0.016708650641764203
SE32,0.0
SE33,0.0
SI03,0.0
SI04,0.0007415933534502984
SK01,0.0
SK02,0.0007951369509100914
SK03,0.0018728154400984446
SK04,0.0
TR10,0.004156391819318136
TR21,0.027552183096607525
UKE4,0.0
UKF1,0.0
UKF2,0.0
UKF3,0.0010522608955701193
UKG1,0.0
UKG2,0.0
UKG3,0.0
UKH1,0.0
UKH2,0.0
UKH3,0.0
UKI3,0.0
UKI4,0.0
UKI5,0.0
UKI6,0.0
UKI7,0.0
UKJ1,0.0
UKJ2,0.0
UKJ3,0.0
UKJ4,0.0
NO09,0.0005896707065403461
NO0A,0.0
NO0B,0.0
HR05,0.0
HR06,0.0
NO02,0.0019444116701682408
NO06,0.0
NO07,0.0
NO08,0.0006586103079219659
