nuts,November Days With High Fire Danger (days) (1981 - 2010)
DE50,0.0
DE60,0.0
DE71,0.0
DE72,0.0
DE73,0.0
DE80,0.0
DE91,0.0
BG41,0.0
BG42,0.036128148436546326
CH01,0.0
AT32,0.0
AT33,0.0
AT34,0.0
BE10,0.0
BE23,0.0
BE24,0.0
BE25,0.0
BE31,0.0
BE32,0.0
BE33,0.0
BE34,0.0
BE35,0.0
BG31,0.07448135490218798
BG32,0.06652311136325201
BG33,0.06001767988006274
BG34,0.02760985145966212
DE92,0.0
DE93,0.0
DE94,0.0
CZ07,0.0
CZ08,0.0
AL01,0.0
AL02,0.0
AL03,0.0
AT11,0.001737649862964948
AT12,0.0005879664793610572
AT13,0.0
AT21,0.0
AT22,0.0
AT31,0.0
DK05,0.0
BE21,0.0
BE22,0.0
ES43,0.4181257310633858
ES51,0.3027700402153035
ES52,1.119379733564953
ES53,0.40232424971958003
ES61,0.9080618403851985
ES62,1.8873729248841604
ES63,0.08879533807436625
ES64,1.6666666666666667
CH02,0.0
CH03,0.0
CH04,0.0
CH05,0.0
CH06,0.0
CH07,0.0
CY00,2.6979105605433387
CZ01,0.0
CZ02,0.0
CZ03,0.0
CZ04,0.0
CZ05,0.0
CZ06,0.0
DE40,0.0
EL53,0.0033506435652573903
EL54,0.009567862749099732
EL61,0.023224135177830854
EL62,0.046452128887176515
EL63,0.044952747970819475
ES70,4.194305098056793
ITC1,0.003145222862561544
ITC2,0.0
DE11,0.0
DE12,0.0
DE13,0.0
DE14,0.0
DE21,0.0
DE22,0.0
DE23,0.0
DE24,0.0
DE25,0.0
DE26,0.0
DE27,0.0
DE30,0.0
EL42,1.6222907056411107
LV00,0.0
ME00,0.0
MK00,0.006999661525090535
MT00,0.7750657305121422
NL11,0.0
NL12,0.0
EL64,0.19450372252613307
EL65,0.3548248220855991
ES11,0.0069247071941693624
ES12,0.0
ES13,0.00479617714881897
ES21,0.005371953050295512
ES22,0.1741173505783081
ES23,0.11074884546299775
ES24,0.7939922608435154
ES30,0.27748126089572905
IE05,0.0
IE06,0.0
IS00,0.0
ITC3,0.016799654314915338
FI19,0.0
FI1B,0.0
FI1C,0.0
DEA1,0.0
DEA2,0.0
DEA3,0.0
DEA4,0.0
DEA5,0.0
DEB1,0.0
DEB2,0.0
DEB3,0.0
DEC0,0.0
DED2,0.0
DED4,0.0
DED5,0.0
DEE0,0.0
DEF0,0.0
DEG0,0.0
DK01,0.0
DK02,0.0
DK03,0.0
DK04,0.0
ES41,0.09170382578546803
ES42,0.743837837750713
HU23,0.0
HU31,0.0
HU32,0.001160382851958275
HU33,0.006307617823282877
IE04,0.0
EE00,0.0
EL30,0.8586421962827444
EL41,1.1588138627509277
EL43,1.8409197226166725
EL51,0.16642884134004512
EL52,0.020084987270335357
FI20,0.0
FR10,0.0
FRB0,0.0
FRC1,0.0
FRC2,0.0
FRD1,0.0
FRD2,0.0
FRE1,0.0
FRE2,0.0
FRF1,0.0
NL13,0.0
NL21,0.0
NL22,0.0
NL23,0.0
NL31,0.0
NL32,0.0
ITG2,0.24135025534778834
ITH1,0.0
ITH2,0.0
FRI3,0.0
FRJ1,0.07395941885188222
FRJ2,0.006235880156358083
FRK1,0.0
FRK2,0.0014659631997346878
FRL0,0.15730542792007327
FRM0,0.08124554653962453
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,0.525524191558361
TR32,0.6789283502226074
TR33,0.3758176758264502
HR03,0.0
HR02,0.0
HU11,0.0
HU12,0.0
HU21,0.0
HU22,0.0
PT16,0.16403678512821596
PT17,0.16368396083513895
FRF2,0.0
FRF3,0.0
FRG0,0.0
FRH0,0.0
FRI1,0.0015749391168355942
FRI2,0.0
ITC4,0.004008311778306961
ITF1,0.0
ITF2,0.005879705150922139
ITF3,0.008582936724026997
ITF4,0.050347270692388216
ITF5,0.05862691750129064
ITF6,0.05707749550541242
ITG1,0.2174582554337879
LT01,0.0
LT02,0.0
LU00,0.0
PL22,0.0
PL41,0.003958454976479213
PL42,0.0
PT18,0.501376660913229
PT20,0.0
PT30,0.1331077918410301
RO11,0.001566225787003835
RO12,0.0
RO21,0.0020623819281657537
RO22,0.038187494315207
RO31,0.032118920733531314
RO32,0.0
ITH3,0.001232905313372612
ITH4,0.0
ITH5,0.0014643972118695578
ITI1,0.0029282539462049803
ITI2,0.0
ITI3,0.0
ITI4,0.0
LI00,0.0
FI1D,0.0
TR82,0.024111223717530567
TR83,0.0712093452612559
TR90,0.0
TRA1,0.015102794952690601
TRA2,0.02252200087532401
PL43,0.0
PL51,0.0
PL52,0.002911317845185598
PL61,0.0
PL62,0.0
PL63,0.0
PL71,0.0024327124158541364
PL72,0.0
PL81,0.0
PL82,0.0
PL84,0.0
PL91,0.0
PL92,0.0
PT11,0.013812828063964843
PT15,0.5194891183326642
TRB1,0.19249456158528724
TRB2,0.16320314134160677
TRC1,1.7173104251424471
RS12,0.028865567843119302
RS21,0.0
RS22,0.0008697530254721641
SE11,0.0
SE12,0.0
NL33,0.0
NL34,0.0
NL41,0.0
NL42,0.0
PL21,0.0
UKM6,0.0
TR22,0.2800267475657165
TRC2,2.2733346360425153
TRC3,1.7926704566925764
UKC1,0.0
UKC2,0.0
UKD1,0.0
UKD3,0.0
UKD4,0.0
UKD6,0.0
UKD7,0.0
UKE1,0.0
UKE2,0.0
UKE3,0.0
RO41,0.047638365036497515
RO42,0.019324737787246703
RS11,0.012753389279047648
TR41,0.21684719392408927
TR42,0.02575464497009913
TR51,0.5016819453177352
TR52,1.167526720215877
TR61,0.46490189973264934
TR62,1.1566049667075275
TR63,0.7510130206743876
TR71,0.6814739956520498
TR72,0.28361472111816205
TR81,0.0
UKK1,0.0
UKK2,0.0
UKK3,0.0
UKK4,0.0
UKL1,0.0
UKL2,0.0
UKM5,0.0
UKM7,0.0
UKM8,0.0
UKM9,0.0
UKN0,0.0
SE21,0.0
SE22,0.0
SE23,0.0
SE31,0.0
SE32,0.0
SE33,0.0
SI03,0.0
SI04,0.0
SK01,0.0
SK02,0.0
SK03,0.0
SK04,0.0
TR10,0.038377634187539415
TR21,0.18100412723918755
UKE4,0.0
UKF1,0.0
UKF2,0.0
UKF3,0.0
UKG1,0.0
UKG2,0.0
UKG3,0.0
UKH1,0.0
UKH2,0.0
UKH3,0.0
UKI3,0.0
UKI4,0.0
UKI5,0.0
UKI6,0.0
UKI7,0.0
UKJ1,0.0
UKJ2,0.0
UKJ3,0.0
UKJ4,0.0
NO09,0.0
NO0A,0.0
NO0B,0.0
HR05,0.0
HR06,0.0
NO02,0.0
NO06,0.0
NO07,0.0
NO08,0.0
