nuts,November Days With High Fire Danger (days) ensemble median - RCP8.5 - (2071 - 2100)
DE50,0.0
DE60,0.0
DE71,0.0015618904278828548
DE72,0.0
DE73,0.0
DE80,0.0
DE91,0.0
BG41,0.012091873213648796
BG42,0.049591643592486016
CH01,0.0
AT32,0.0016122437440432035
AT33,0.0020272773332320727
AT34,0.0
BE10,0.0
BE23,0.0
BE24,0.0
BE25,0.0
BE31,0.0
BE32,0.0
BE33,0.0
BE34,0.0
BE35,0.0
BG31,0.07183538033412053
BG32,0.03531362918707041
BG33,0.055429619092207685
BG34,0.0615495523581138
DE92,0.0
DE93,0.0
DE94,0.0
CZ07,0.0
CZ08,0.0
AL01,0.0
AL02,0.011827972072821397
AL03,0.01998972720824755
AT11,0.0
AT12,0.0
AT13,0.0
AT21,0.0
AT22,0.0
AT31,0.0
DK05,0.0
BE21,0.0
BE22,0.0
ES43,1.7533917372616439
ES51,0.5829970731328313
ES52,2.2549207201943946
ES53,1.1034409323563943
ES61,3.3398819021307506
ES62,3.373946879918759
ES63,0.0
ES64,0.0
CH02,0.0
CH03,0.0
CH04,0.0
CH05,0.0011074128918922865
CH06,0.0
CH07,0.0
CY00,4.785606475976797
CZ01,0.0
CZ02,0.0
CZ03,0.0
CZ04,0.0
CZ05,0.0
CZ06,0.0
DE40,0.0
EL53,0.03617640412770785
EL54,0.03393806860997127
EL61,0.012832777144817205
EL62,0.0
EL63,0.07912457648378152
ES70,0.0
ITC1,0.003780122846364975
ITC2,0.0
DE11,0.0
DE12,0.0
DE13,0.0
DE14,0.0
DE21,0.0
DE22,0.0
DE23,0.0
DE24,0.0
DE25,0.0
DE26,0.0
DE27,0.0
DE30,0.0
EL42,2.4615384615384617
LV00,0.0
ME00,0.0
MK00,0.03173643121352562
MT00,0.0
NL11,0.0
NL12,0.0
EL64,0.18247240609847581
EL65,0.3116128546400712
ES11,0.18288992459957415
ES12,0.04041672669924223
ES13,0.05154805343884688
ES21,0.10274118930101395
ES22,0.6946105432625
ES23,0.6699315447073716
ES24,1.6608485452687511
ES30,1.452741912064644
IE05,0.0
IE06,0.0
IS00,0.0
ITC3,0.0
FI19,0.0
FI1B,0.0
FI1C,0.0
DEA1,0.0
DEA2,0.0
DEA3,0.0
DEA4,0.0
DEA5,0.0
DEB1,0.0
DEB2,0.0
DEB3,0.0
DEC0,0.0
DED2,0.0
DED4,0.0
DED5,0.0
DEE0,0.0
DEF0,0.0
DEG0,0.0
DK01,0.0
DK02,0.0
DK03,0.0
DK04,0.0
ES41,0.7937241352091615
ES42,2.8407168553139153
HU23,0.0
HU31,0.0
HU32,0.0
HU33,0.0031790658831596375
IE04,0.0
EE00,0.0
EL30,0.9356284737586975
EL41,1.1538461538461537
EL43,3.2454354717181277
EL51,0.12273040528480823
EL52,0.020598644820543435
FI20,0.0
FR10,0.00961052798307859
FRB0,0.006597169316731966
FRC1,0.0025356790194144617
FRC2,0.0009048452170995566
FRD1,0.03934197242443378
FRD2,0.023823336913035467
FRE1,0.0025055591876690206
FRE2,0.014640625852804918
FRF1,0.0
NL13,0.0
NL21,0.0
NL22,0.0
NL23,0.0
NL31,0.0
NL32,0.0
ITG2,0.4691710735742862
ITH1,0.004997684835241391
ITH2,0.0
FRI3,0.0
FRJ1,0.16885775642899367
FRJ2,0.03198409732431173
FRK1,0.0017766356468200684
FRK2,0.0022978543733748105
FRL0,0.13110765886421388
FRM0,0.029181105013077076
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,0.9042659086676744
TR32,2.000650792597578
TR33,1.421579685778572
HR03,0.0
HR02,0.0
HU11,0.0
HU12,0.0
HU21,0.0
HU22,0.0
PT16,0.7562202844195641
PT17,1.1997189888587365
FRF2,0.002300858855820619
FRF3,0.0006368844411694086
FRG0,0.0010709306583381616
FRH0,0.011023534175295096
FRI1,0.025279799619546302
FRI2,0.0
ITC4,0.003173813223838806
ITF1,0.0
ITF2,0.01706927728194457
ITF3,0.0016296768131164403
ITF4,0.22075205167325643
ITF5,0.22719413600862026
ITF6,0.014438043420131389
ITG1,0.5098985978043996
LT01,0.0
LT02,0.0
LU00,0.0
PL22,0.0
PL41,0.0
PL42,0.0
PT18,2.086814801280315
PT20,0.0
PT30,0.0
RO11,0.0009393638286453027
RO12,0.0009626031208496827
RO21,0.008283508762430686
RO22,0.03649409917684702
RO31,0.051804816780182034
RO32,0.025716829758424025
ITH3,0.0009616659954190254
ITH4,0.0
ITH5,0.0
ITI1,0.0
ITI2,0.0
ITI3,0.0
ITI4,0.0
LI00,0.0
FI1D,0.0
TR82,0.3525837897681273
TR83,0.44607996474951506
TR90,0.064175880406625
TRA1,0.2360934168100357
TRA2,0.038642750336573675
PL43,0.0
PL51,0.0
PL52,0.0
PL61,0.0
PL62,0.0
PL63,0.0
PL71,0.0
PL72,0.0
PL81,0.0
PL82,0.0
PL84,0.0
PL91,0.0
PL92,0.0
PT11,0.23788406864668316
PT15,3.9449298473504872
TRB1,0.8028305821980422
TRB2,0.1534937207515423
TRC1,3.0162413922639995
RS12,0.018806305355750598
RS21,0.008084900104082547
RS22,0.00735702021763875
SE11,0.0
SE12,0.0
NL33,0.0
NL34,0.0
NL41,0.0
NL42,0.0
PL21,0.0
UKM6,0.0
TR22,0.5398198067425535
TRC2,3.66346618017325
TRC3,4.783560387217081
UKC1,0.0
UKC2,0.0
UKD1,0.0
UKD3,0.0
UKD4,0.0
UKD6,0.0
UKD7,0.0
UKE1,0.0
UKE2,0.0
UKE3,0.0
RO41,0.0742912430029649
RO42,0.0010332751732606154
RS11,0.035381185034146674
TR41,0.7257598286064771
TR42,0.11635519177294694
TR51,1.1620734325395181
TR52,2.6013446405816536
TR61,1.9591628106740804
TR62,2.3693773464228096
TR63,2.10124898279229
TR71,1.4220505511531463
TR72,0.9753993134945631
TR81,0.08724044377987202
UKK1,0.0033698173669668343
UKK2,0.0
UKK3,0.0
UKK4,0.0
UKL1,0.0014600557490037037
UKL2,0.0013576899296962298
UKM5,0.0
UKM7,0.0
UKM8,0.0
UKM9,0.0
UKN0,0.0
SE21,0.0
SE22,0.0
SE23,0.0
SE31,0.0
SE32,0.0
SE33,0.0
SI03,0.0
SI04,0.0
SK01,0.0
SK02,0.0
SK03,0.0
SK04,0.0
TR10,0.08175499164141141
TR21,0.19896517923245063
UKE4,0.0
UKF1,0.010723097966267513
UKF2,0.010616460671791663
UKF3,0.0
UKG1,0.0018187999152220213
UKG2,0.0054938099705255945
UKG3,0.008541703224182129
UKH1,0.0
UKH2,0.015450029419018673
UKH3,0.020345827707877524
UKI3,0.11554029354682335
UKI4,0.09625788376881526
UKI5,0.12092584142318138
UKI6,0.1281362405190101
UKI7,0.13468700188856858
UKJ1,0.010428788570257334
UKJ2,0.09220597377190223
UKJ3,0.03298107018837562
UKJ4,0.032864043345818154
NO09,0.0
NO0A,0.0
NO0B,0.0
HR05,0.0
HR06,0.0
NO02,0.0
NO06,0.0
NO07,0.0
NO08,0.0
