nuts,Spring Days With High Fire Danger (days) ensemble median - RCP8.5 - (2011 - 2040)
DE50,0.08013444741566976
DE60,0.08999418020248413
DE71,0.26658682779719434
DE72,0.22747338439027467
DE73,0.14602044795950253
DE80,0.2423352850911518
DE91,0.21905247792601584
BG41,0.16951336345324913
BG42,0.6367556534397105
CH01,0.006801488002141317
AT32,0.012469924241304397
AT33,0.02009618729352951
AT34,0.007011985778808594
BE10,0.36666666666666664
BE23,0.30976656725009283
BE24,0.28322990288337074
BE25,0.25133345735569795
BE31,0.2255805251499017
BE32,0.21941202338784932
BE33,0.16423374911149344
BE34,0.13414239548146725
BE35,0.1711563544968764
BG31,1.2399399508101245
BG32,1.3308969344943762
BG33,0.8933848129585386
BG34,0.6082198489767809
DE92,0.1463634065662821
DE93,0.23644894134874145
DE94,0.26832420757661263
CZ07,0.23156349398195744
CZ08,0.16738225370645524
AL01,0.08103762144843737
AL02,0.8929372275869052
AL03,0.9535146282985807
AT11,0.7346379132320483
AT12,0.4070379553983609
AT13,0.8275507345795632
AT21,0.003724839041630427
AT22,0.0330367964381973
AT31,0.06007610587403178
DK05,0.10019531846046448
BE21,0.413546167810758
BE22,0.33899688261250654
ES43,9.834597521151105
ES51,5.313596266508102
ES52,13.298037099838258
ES53,3.2783023079236346
ES61,12.616904225945472
ES62,22.147655590375265
ES63,0.0
ES64,0.0
CH02,0.013199263562758764
CH03,0.004538710042834282
CH04,0.0
CH05,0.0028639787808060644
CH06,0.006178218747178713
CH07,0.007906264066696167
CY00,20.210566874345144
CZ01,0.5787962387005489
CZ02,0.5929072490893305
CZ03,0.18273850769425432
CZ04,0.4780323239043355
CZ05,0.2867961081986626
CZ06,0.4671409564403196
DE40,0.5294453624946376
EL53,1.0087965037673712
EL54,0.49980252037445705
EL61,2.1102942464873196
EL62,0.0
EL63,1.7743726847693324
ES70,0.0
ITC1,0.14468417766814431
ITC2,0.017415065690875052
DE11,0.150099162509044
DE12,0.18524897092332443
DE13,0.05848065161456664
DE14,0.04352665077894926
DE21,0.03836980008830627
DE22,0.12752207132677237
DE23,0.10863259378820658
DE24,0.20862986768285433
DE25,0.16149590301016967
DE26,0.2516153646633029
DE27,0.03139359736815095
DE30,0.8081670274337133
EL42,3.1333333333333333
LV00,0.12985282350176325
ME00,0.045261920305589835
MK00,1.0716955532009402
MT00,0.0
NL11,0.24366875489552817
NL12,0.2042580783367157
EL64,5.166033778587977
EL65,4.879753338297208
ES11,0.16179455065478882
ES12,0.04838879642387231
ES13,0.09596122180422147
ES21,0.18543064333498477
ES22,2.687017503629128
ES23,1.8394407550493876
ES24,9.986257274945578
ES30,7.842555486410856
IE05,0.028335511684417725
IE06,0.04510932161162297
IS00,0.004878100062099596
ITC3,0.05812684794267019
FI19,0.09946990755852311
FI1B,0.14663310814648867
FI1C,0.09716687696054578
DEA1,0.25546044800430534
DEA2,0.17712823990732432
DEA3,0.383297067694366
DEA4,0.12361756016810735
DEA5,0.13048198490093152
DEB1,0.2840036677196622
DEB2,0.12069725940624873
DEB3,0.13598005808889865
DEC0,0.11102617432673773
DED2,0.24942469981809456
DED4,0.15417796187102795
DED5,0.38857255602876345
DEE0,0.42990789950514835
DEF0,0.09732221687833469
DEG0,0.23855089371403057
DK01,0.3331756775577863
DK02,0.09397247011462848
DK03,0.1385803351799647
DK04,0.1627495380739371
ES41,3.780266028891007
ES42,11.968741757671038
HU23,1.3320722803783913
HU31,1.5598169513046742
HU32,2.014655700232834
HU33,1.9657149738321702
IE04,0.051097383412222065
EE00,0.06492515626984338
EL30,17.545909349123637
EL41,2.95
EL43,16.29195132255554
EL51,1.1992818950364987
EL52,0.8350239169783891
FI20,0.0
FR10,0.3776337957320114
FRB0,0.3206746060401201
FRC1,0.202791632944718
FRC2,0.14163738749921323
FRD1,0.2437450200940172
FRD2,0.22017941723267237
FRE1,0.251025614887476
FRE2,0.2711394768518706
FRF1,0.0765130997945865
NL13,0.3702541686594486
NL21,0.500312523668011
NL22,0.3752355495467782
NL23,0.41890561729669573
NL31,0.3082107904056708
NL32,0.2462756057580312
ITG2,4.007617624973258
ITH1,0.0029063128555814424
ITH2,0.004629487171769142
FRI3,0.4118645804313322
FRJ1,1.9264031623800595
FRJ2,0.3443084295839071
FRK1,0.2180963857875516
FRK2,0.3223613016307354
FRL0,2.360348720351855
FRM0,0.42640021356443564
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,6.406974710027376
TR32,10.13362624545892
TR33,7.550310868397355
HR03,0.16109401161472003
HR02,0.5663624210904042
HU11,1.116954614718755
HU12,1.2816871927430233
HU21,1.2743666892250378
HU22,1.2145565706615646
