nuts,Winter Days With High Fire Danger (days) ensemble median - RCP8.5 - (2041 - 2070)
DE50,0.0
DE60,0.0
DE71,0.0
DE72,0.0
DE73,0.0
DE80,0.0
DE91,0.0
BG41,0.010145977977663279
BG42,0.006747778287778298
CH01,0.0024579618747035663
AT32,0.0
AT33,0.0
AT34,0.0
BE10,0.0
BE23,0.0
BE24,0.0
BE25,0.0
BE31,0.0
BE32,0.0
BE33,0.0
BE34,0.0
BE35,0.0
BG31,0.0003502689612408479
BG32,0.0004321857976416747
BG33,0.0
BG34,0.0
DE92,0.0
DE93,0.0
DE94,0.0
CZ07,0.0
CZ08,0.0
AL01,0.002623135782778263
AL02,0.0025663445393244427
AL03,0.0007220756262540818
AT11,0.0
AT12,0.0
AT13,0.0
AT21,0.001231748362382253
AT22,0.0003989138330022494
AT31,0.0
DK05,0.0
BE21,0.0
BE22,0.0
ES43,0.5791172933454315
ES51,0.5410568330436945
ES52,2.4697532075146835
ES53,0.12972704842686653
ES61,1.3686184756457807
ES62,3.5902936587731045
ES63,0.0
ES64,0.0
CH02,0.0
CH03,0.0
CH04,0.0
CH05,0.0
CH06,0.0
CH07,0.0
CY00,1.34650769730409
CZ01,0.0
CZ02,0.0
CZ03,0.0
CZ04,0.0
CZ05,0.0
CZ06,0.0
DE40,0.0
EL53,0.0
EL54,0.0
EL61,0.0
EL62,0.0
EL63,0.0
ES70,0.0
ITC1,0.005729042428235213
ITC2,0.0
DE11,0.0
DE12,0.0
DE13,0.0012379150837659835
DE14,0.0
DE21,0.0
DE22,0.0
DE23,0.0
DE24,0.0
DE25,0.0
DE26,0.0
DE27,0.0
DE30,0.0
EL42,0.36666666666666664
LV00,0.0
ME00,0.0032841076453526815
MK00,0.00637780095761021
MT00,0.0
NL11,0.0
NL12,0.0
EL64,0.0015194375067949296
EL65,0.005590479386349519
ES11,0.0025217972074945767
ES12,0.0007976109782854716
ES13,0.004189322143793106
ES21,0.0
ES22,0.06060628307362397
ES23,0.040529044531285766
ES24,0.8374500628560781
ES30,0.25956470891833305
IE05,0.0
IE06,0.0
IS00,7.494643796235323e-05
ITC3,0.005568692460656166
FI19,0.0
FI1B,0.0
FI1C,0.0
DEA1,0.0
DEA2,0.0
DEA3,0.0
DEA4,0.0
DEA5,0.0
DEB1,0.0
DEB2,0.0
DEB3,0.0
DEC0,0.0
DED2,0.0
DED4,0.0
DED5,0.0
DEE0,0.0
DEF0,0.0
DEG0,0.0
DK01,0.0
DK02,0.0
DK03,0.0
DK04,0.0
ES41,0.18920220277116945
ES42,0.9626632180220137
HU23,0.0
HU31,0.0
HU32,0.0
HU33,0.0
IE04,0.0
EE00,0.0
EL30,0.011117441455523173
EL41,0.05
EL43,0.8727272490660349
EL51,0.005641099313894908
EL52,0.0009441690519452095
FI20,0.0
FR10,0.001037971613307794
FRB0,0.0
FRC1,0.0
FRC2,0.002813736100991567
FRD1,0.0
FRD2,0.0005706474805871645
FRE1,0.0
FRE2,0.0010146946956713994
FRF1,0.0
NL13,0.0
NL21,0.0
NL22,0.0
NL23,0.0
NL31,0.0
NL32,0.0
ITG2,0.12984337701151769
ITH1,0.0043693413337071735
ITH2,0.00834940771261851
FRI3,0.0
FRJ1,0.03927059105286996
FRJ2,0.006936785082022349
FRK1,0.0028148706847180923
FRK2,0.003612705273553729
FRL0,0.08982289821530381
FRM0,0.012706803654630979
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,0.06776832782973846
TR32,0.240462289750576
TR33,0.17592519215929012
HR03,0.0
HR02,0.0
HU11,0.0
HU12,0.0
HU21,0.0
HU22,0.0
PT16,0.24057384120921294
PT17,0.7466334998607635
FRF2,0.0
FRF3,0.0
FRG0,0.0
FRH0,0.00034056510776281357
FRI1,0.010007123524943987
FRI2,0.0
ITC4,0.018277286303540072
ITF1,0.0006985239684581757
ITF2,0.0
ITF3,0.0
ITF4,0.013221389924486479
ITF5,0.007411303992072741
ITF6,0.0020854949951171877
ITG1,0.07400098958363135
LT01,0.0
LT02,0.0
LU00,0.0
PL22,0.0
PL41,0.0
PL42,0.0
PT18,1.1730310320233306
PT20,0.0
PT30,0.0
RO11,0.0
RO12,0.0031300350868453584
RO21,0.0017737359429399171
RO22,0.0031015376249949136
RO31,0.0031594623190661273
RO32,0.0
ITH3,0.012419635305802028
ITH4,0.001522325724363327
ITH5,0.010170564303795497
ITI1,0.0
ITI2,0.001483616605401039
ITI3,0.001812936117251714
ITI4,0.0009424972037474314
LI00,0.0
FI1D,0.0
TR82,0.04430979229509831
TR83,0.0347915801530083
TR90,0.01830395182284216
TRA1,0.04167215220319728
TRA2,0.0
PL43,0.0
PL51,0.0
PL52,0.0
PL61,0.0
PL62,0.0
PL63,0.0
PL71,0.0
PL72,0.0
PL81,0.0
PL82,0.0
PL84,0.0
PL91,0.0
PL92,0.0
PT11,0.018678975105285645
PT15,2.221204410990079
TRB1,0.12722346372902393
TRB2,0.17917365903655688
TRC1,0.32603346339116496
RS12,0.0
RS21,0.0
RS22,0.0012662239062289397
SE11,0.0
SE12,0.00017592484752337138
NL33,0.0
NL34,0.0
NL41,0.0
NL42,0.0
PL21,0.0
UKM6,0.0
TR22,0.042501701259364685
TRC2,0.485146082037439
TRC3,0.8060233102490505
UKC1,0.0
UKC2,0.0
UKD1,0.0
UKD3,0.0
UKD4,0.0
UKD6,0.0
UKD7,0.0
UKE1,0.0
UKE2,0.0
UKE3,0.0
RO41,0.007424997786680858
RO42,0.0004457571233312289
RS11,0.0
TR41,0.09319429245466987
TR42,0.047752823835859694
TR51,0.17520447156081598
TR52,0.40209626965224743
TR61,0.14014849780748287
TR62,0.3165160935992996
TR63,0.2353412667599817
TR71,0.35820645609249674
TR72,0.4716155126069983
TR81,0.008809687631825606
UKK1,0.0
UKK2,0.0
UKK3,0.0
UKK4,0.0
UKL1,0.0
UKL2,0.0
UKM5,0.0
UKM7,0.0
UKM8,0.0
UKM9,0.0
UKN0,0.0
SE21,0.0002035830014695724
SE22,0.0
SE23,0.0
SE31,0.0
SE32,0.0
SE33,0.0
SI03,0.0
SI04,0.0007366289695103964
SK01,0.0
SK02,0.0
SK03,0.0
SK04,0.0
TR10,0.006246338784694672
TR21,0.00873436729113261
UKE4,0.0
UKF1,0.0018549617379903793
UKF2,0.0
UKF3,0.0
UKG1,0.0
UKG2,0.0
UKG3,0.0
UKH1,0.0
UKH2,0.0
UKH3,0.0
UKI3,0.0
UKI4,0.0
UKI5,0.0
UKI6,0.0
UKI7,0.0
UKJ1,0.0
UKJ2,0.0013358958065509796
UKJ3,0.0
UKJ4,0.002377772827943166
NO09,0.0
NO0A,0.0
NO0B,0.0
HR05,0.0
HR06,0.0
NO02,0.0
NO06,0.0
NO07,0.0
NO08,0.0
