nuts,altitude,Annual Snowfall amount (mm) (1981 - 2010)
BG423,1000,138.71623
BG424,1000,134.57002
BG425,1000,93.314224
CH011,1000,136.13795
CH012,1000,414.95166
CH013,1000,
CH021,1000,261.41934
CH022,1000,194.6314
CH023,1000,
CH024,1000,198.6089
CH025,1000,219.44269
CH031,1000,
CH032,1000,
CH033,1000,
CH040,1000,279.38083
CH051,1000,315.22104
CH052,1000,
CH053,1000,
CH054,1000,345.0696
CH055,1000,337.34412
CH056,1000,52.713
CH057,1000,279.38083
CH061,1000,261.41934
CH062,1000,201.55806
AL013,1000,170.10103
AL015,1000,170.10103
AL014,1000,170.88336
AL011,1000,170.88336
AL012,1000,58.783318
AL021,1000,146.33984
AL022,1000,95.7408
AL034,1000,53.12889
AL031,1000,54.011864
AL032,1000,
AL035,1000,74.71336
AL033,1000,53.12889
AT111,1000,
AT112,1000,
AT113,1000,
AT121,1000,442.50162
AT122,1000,329.19888
AT123,1000,
AT124,1000,
AT125,1000,
AT126,1000,
AT127,1000,
AT130,1000,
AT211,1000,138.15517
AT212,1000,218.18147
AT213,1000,121.929565
AT221,1000,129.25577
AT222,1000,184.3868
AT223,1000,329.19888
AT224,1000,122.034676
AT225,1000,185.4807
AT226,1000,142.33061
AT311,1000,
AT312,1000,
AT313,1000,
AT314,1000,254.06152
AT315,1000,327.8695
AT321,1000,
AT322,1000,327.8695
AT323,1000,409.70547
AT331,1000,286.30283
AT332,1000,173.73036
AT333,1000,
AT334,1000,355.65353
AT335,1000,257.8803
AT341,1000,293.26157
AT342,1000,321.89304
BE100,1000,
BE211,1000,
BE212,1000,
BE213,1000,
BE224,1000,
BE225,1000,
BE223,1000,
BE231,1000,
BE232,1000,
BE233,1000,
BE234,1000,
BE235,1000,
BE236,1000,
BE241,1000,
BE242,1000,
BE251,1000,
BE252,1000,
BE253,1000,
BE254,1000,
BE255,1000,
BE256,1000,
BE257,1000,
BE258,1000,
BE310,1000,
BE32A,1000,
BE32B,1000,
BE323,1000,
BE328,1000,
BE32C,1000,
BE32D,1000,
BE331,1000,
BE332,1000,
BE334,1000,
BE335,1000,
BE336,1000,
BE341,1000,
BE342,1000,
BE343,1000,
BE344,1000,
BE345,1000,
BE351,1000,
BE352,1000,
BE353,1000,
BG311,1000,153.75087
BG312,1000,189.97751
BG313,1000,189.38179
BG314,1000,
BG315,1000,202.6225
BG321,1000,191.13144
BG322,1000,264.5886
BG323,1000,
BG324,1000,
BG325,1000,
BG331,1000,
BG332,1000,
BG333,1000,
BG334,1000,
BG341,1000,
BG342,1000,191.13144
BG343,1000,
BG344,1000,162.56671
BG411,1000,149.96297
BG412,1000,98.25274
BG413,1000,108.02287
BG414,1000,91.439804
BG415,1000,91.439804
BG421,1000,134.57002
BG422,1000,
DE736,1000,
DE737,1000,
DE803,1000,
DE804,1000,
DE80J,1000,
DE80K,1000,
DE80L,1000,
DE80M,1000,
DE80N,1000,
DE80O,1000,
DE911,1000,
DE912,1000,
DE913,1000,
DE914,1000,
DE916,1000,
DE917,1000,
DE918,1000,
DE91A,1000,
DE91B,1000,
DE91C,1000,
DE922,1000,
DE923,1000,
DE925,1000,
DE926,1000,
DE927,1000,
DE928,1000,
CH063,1000,201.55806
CH064,1000,293.6508
CH065,1000,201.55806
CH066,1000,272.96155
DE40B,1000,
DE40C,1000,
DE40D,1000,
DE40E,1000,
DE40F,1000,
DE40G,1000,
DE40H,1000,
DE40I,1000,
DE501,1000,
DE502,1000,
DE600,1000,
DE711,1000,
DE712,1000,
DE713,1000,
DE714,1000,
DE715,1000,
DE716,1000,
DE717,1000,
DE718,1000,
DE719,1000,
DE71A,1000,
DE71B,1000,
DE71C,1000,
DE71D,1000,
DE71E,1000,
DE721,1000,
DE722,1000,
DE723,1000,
DE724,1000,
DE725,1000,
DE731,1000,
DE732,1000,
DE929,1000,
DE931,1000,
DE11A,1000,
DE11B,1000,
DE11C,1000,
DE11D,1000,
DE121,1000,
DE122,1000,
DE123,1000,
DE124,1000,
DE125,1000,
DE126,1000,
DE127,1000,
DE128,1000,
DE129,1000,
DE12A,1000,
DE12B,1000,
DE12C,1000,
DE131,1000,240.67404
DE132,1000,277.7845
DE133,1000,283.6192
DE134,1000,273.2192
DE135,1000,
DE136,1000,283.6192
DE137,1000,
DE138,1000,
DE139,1000,277.7845
DE13A,1000,277.7845
DE141,1000,
DE142,1000,
DE143,1000,
DE144,1000,
DE145,1000,
DE146,1000,
DE147,1000,
DE148,1000,
DE149,1000,
DE211,1000,
DE212,1000,
DE213,1000,
DE214,1000,
DE215,1000,342.63666
DE216,1000,284.43
DE217,1000,
DE218,1000,
DE219,1000,
DE21A,1000,
DE21B,1000,
DE21C,1000,
DE21D,1000,258.12515
DE21E,1000,
DE21F,1000,469.80316
DE21G,1000,
DE21H,1000,
DE21I,1000,
DE21J,1000,
DE21K,1000,368.48383
DE21L,1000,
DE21M,1000,368.48383
DE21N,1000,228.2225
DE221,1000,
DE222,1000,
DE223,1000,
DE224,1000,
DE225,1000,327.1642
DE226,1000,
DE227,1000,
DE228,1000,
DE229,1000,242.50417
DE22A,1000,
DE22B,1000,
DE22C,1000,
DE231,1000,
DE232,1000,
DE233,1000,
CH070,1000,158.92825
CY000,1000,28.742308
CZ010,1000,
CZ020,1000,
CZ031,1000,327.1642
CZ032,1000,257.32486
CZ041,1000,313.32312
CZ042,1000,313.32312
CZ051,1000,406.69385
CZ052,1000,406.69385
CZ053,1000,300.31448
CZ063,1000,
CZ064,1000,
CZ071,1000,267.85312
CZ072,1000,
CZ080,1000,267.85312
DE111,1000,
DE112,1000,
DE113,1000,
DE114,1000,
DE115,1000,
DE116,1000,
DE117,1000,
DE118,1000,
DE119,1000,
DE264,1000,
DE265,1000,
DE266,1000,
DE267,1000,
DE268,1000,
DE269,1000,
DE26A,1000,
DE26B,1000,
DE26C,1000,
DE271,1000,
DE272,1000,
DE273,1000,
DE274,1000,
DE275,1000,
DE276,1000,
DE277,1000,
DE278,1000,
DE279,1000,
DE27A,1000,368.8844
DE27B,1000,259.01178
DE27C,1000,
DE27D,1000,
DE27E,1000,302.69382
DE300,1000,
DE401,1000,
DE402,1000,
DE403,1000,
DE404,1000,
DE405,1000,
DE406,1000,
DE407,1000,
DE408,1000,
DE409,1000,
DE40A,1000,
DE234,1000,
DE235,1000,342.20087
DE236,1000,
DE237,1000,
DE238,1000,
DE239,1000,
DE23A,1000,
DE241,1000,
DE242,1000,
DE243,1000,
DE244,1000,
DE245,1000,
DE246,1000,
DE247,1000,
DE248,1000,
DE249,1000,
DE24A,1000,
DE24B,1000,
DE24C,1000,
DE24D,1000,
DE251,1000,
DE252,1000,
DE253,1000,
DE254,1000,
DE255,1000,
DE256,1000,
DE257,1000,
DE258,1000,
DE259,1000,
DE25A,1000,
DE25B,1000,
DE25C,1000,
DE261,1000,
DE262,1000,
DE263,1000,
DE932,1000,
DE933,1000,
DE934,1000,
DE935,1000,
DE936,1000,
DE937,1000,
DE938,1000,
DE939,1000,
DE93A,1000,
DE93B,1000,
DE941,1000,
DE942,1000,
DE943,1000,
DE944,1000,
DE945,1000,
DE946,1000,
DE947,1000,
DE948,1000,
DE949,1000,
DE94A,1000,
DE94B,1000,
DE94C,1000,
DE94D,1000,
DE94E,1000,
DE94F,1000,
DE94G,1000,
DE94H,1000,
DEA11,1000,
DEA12,1000,
DEA13,1000,
DEA14,1000,
DE733,1000,
DE734,1000,
DE735,1000,
DEA53,1000,
DEA54,1000,
DEA55,1000,
DEA56,1000,
DEA57,1000,
DEA58,1000,
DEA59,1000,
DEA5A,1000,
DEA5B,1000,
DEA5C,1000,
DEB11,1000,
DEB12,1000,
DEB13,1000,
DEB14,1000,
DEB15,1000,
DEB17,1000,
DEB18,1000,
DEB1A,1000,
DEB1B,1000,
DEB1C,1000,
DEB1D,1000,
DEB21,1000,
DEB22,1000,
DEB23,1000,
DEB24,1000,
DEB25,1000,
DEB31,1000,
DEB32,1000,
DEB33,1000,
DEB34,1000,
DEB35,1000,
DEB36,1000,
DEB37,1000,
DEB38,1000,
DEB39,1000,
DEB3A,1000,
DEB3B,1000,
DEB3C,1000,
DEB3D,1000,
DEB3E,1000,
DEB3F,1000,
DEB3G,1000,
DEB3H,1000,
DEB3I,1000,
DEB3J,1000,
DEB3K,1000,
DEC01,1000,
DEC02,1000,
DEC03,1000,
DEC04,1000,
DEC05,1000,
DEC06,1000,
DED21,1000,
DED2C,1000,
DED2D,1000,
DED2E,1000,
DED2F,1000,
DED41,1000,
DED42,1000,313.32312
DED43,1000,
DED44,1000,
DED45,1000,
DED51,1000,
DED52,1000,
DED53,1000,
DEE01,1000,
DEE02,1000,
DEE03,1000,
DEE04,1000,
DEE05,1000,
DEE06,1000,
DEE07,1000,
DEE08,1000,
DEG0E,1000,
DEG0F,1000,
DEG0G,1000,
DEG0H,1000,
DEG0I,1000,
DEG0J,1000,
DEG0K,1000,
DEG0L,1000,
DEG0M,1000,
DEG0N,1000,
DEG0P,1000,
DK011,1000,
DK012,1000,
DK013,1000,
DK014,1000,
DK021,1000,
DK022,1000,
DK031,1000,
DK032,1000,
DK041,1000,
DK042,1000,
DK050,1000,
EE001,1000,
EE004,1000,
EE009,1000,
EE00A,1000,
EE008,1000,
EL301,1000,
EL302,1000,
EL303,1000,
EL304,1000,
EL305,1000,
EL306,1000,
EL307,1000,
EL411,1000,
EL412,1000,
EL413,1000,
EL421,1000,
EL422,1000,
EL431,1000,
EL432,1000,
EL433,1000,31.261658
EL434,1000,
EL511,1000,
EL512,1000,
EL513,1000,
EL514,1000,94.56421
EL515,1000,
EL521,1000,77.09203
EL522,1000,
EL523,1000,
DEA15,1000,
DEE09,1000,
DEE0A,1000,
DEE0B,1000,
DEE0C,1000,
DEE0D,1000,
DEE0E,1000,
DEF01,1000,
DEF02,1000,
DEF03,1000,
DEF04,1000,
DEF05,1000,
DEF06,1000,
DEF07,1000,
DEF08,1000,
DEF09,1000,
DEF0A,1000,
DEF0B,1000,
DEF0C,1000,
DEF0D,1000,
DEF0E,1000,
DEF0F,1000,
DEG01,1000,
DEG02,1000,
DEG03,1000,
DEG04,1000,
DEG05,1000,
DEG06,1000,
DEG07,1000,
DEG09,1000,
DEG0A,1000,
DEG0B,1000,
DEG0C,1000,
DEG0D,1000,
DEA16,1000,
DEA17,1000,
DEA18,1000,
DEA19,1000,
DEA1A,1000,
DEA1B,1000,
DEA1C,1000,
DEA1D,1000,
DEA1E,1000,
DEA1F,1000,
DEA22,1000,
DEA23,1000,
DEA24,1000,
DEA26,1000,
DEA27,1000,
DEA28,1000,
DEA29,1000,
DEA2A,1000,
DEA2B,1000,
DEA2C,1000,
DEA2D,1000,
DEA31,1000,
DEA32,1000,
DEA33,1000,
DEA34,1000,
DEA35,1000,
