nuts,July Fire Weather Index (-) (1981 - 2010)
DE50,7.667155568263281
DE60,8.931970651860203
DE71,10.183696389282327
DE72,7.982389440630056
DE73,7.628615640747189
DE80,9.664485142055819
DE91,8.963596371572146
BG41,13.623938515201631
BG42,19.052571328100218
CH01,3.4756389124118527
AT32,2.4618564714524798
AT33,2.2209773045334615
AT34,2.642098609305504
BE10,8.872341613010247
BE23,8.723869484385652
BE24,8.81793068779132
BE25,8.522259593457747
BE31,8.457203017190023
BE32,8.563505264877186
BE33,7.080485543319212
BE34,7.286129199150085
BE35,7.125596947567838
BG31,18.635196216915837
BG32,16.592106645686634
BG33,16.775521167078626
BG34,18.41094141995943
DE92,9.117126528443459
DE93,9.576701236070392
DE94,7.5963692627317405
CZ07,8.618461800616034
CZ08,7.1341064805417975
AL01,15.147105699254393
AL02,22.477250631753783
AL03,24.065662840821805
AT11,13.933791007391228
AT12,10.542742489260839
AT13,15.039764085588239
AT21,3.441653766530827
AT22,4.76843156018902
AT31,4.813978535784421
DK05,8.399098140172143
BE21,9.38182688514967
BE22,8.778089680474725
ES43,42.71411367194748
ES51,23.452668575722306
ES52,34.21716018613821
ES53,22.93261366033316
ES61,41.821401152286846
ES62,41.72589073450962
ES63,27.83007140102751
ES64,36.49935964101069
CH02,4.442965705604008
CH03,6.048260375788685
CH04,5.442311234740595
CH05,3.4055241754385284
CH06,3.332290584755253
CH07,5.431469914835814
CY00,33.10608147232983
CZ01,10.28143086991805
CZ02,9.716745034512103
CZ03,7.0301842478384815
CZ04,8.717487803296892
CZ05,8.575577271469564
CZ06,11.121404120195148
DE40,11.587253701758756
EL53,25.698356648521717
EL54,23.971781023409374
EL61,26.089901196223458
EL62,18.27197858416409
EL63,28.855355339567467
ES70,30.001447725364695
ITC1,11.532286030592196
ITC2,5.875998093887155
DE11,8.026399075962583
DE12,8.903195831857607
DE13,6.854925911242993
DE14,4.816936974412185
DE21,5.038444984541476
DE22,6.523533728033489
DE23,7.301742795867813
DE24,7.93744950747912
DE25,8.548561008819844
DE26,9.042950336864527
DE27,5.047258224481244
DE30,12.023856213097707
EL42,32.776126131121586
LV00,8.29281082101491
ME00,11.75537015490324
MK00,22.43836216076421
MT00,20.269681745565954
NL11,6.112475512700425
NL12,5.257101192717582
EL64,33.1550550545523
EL65,33.22854146739283
ES11,13.69200274675971
ES12,5.519074428822238
ES13,7.602133736736828
ES21,9.171378814722832
ES22,21.609510712406184
ES23,21.87226033148315
ES24,32.55462353367057
ES30,41.76854998925174
IE05,4.797599589361791
IE06,4.99622879853427
IS00,2.9916732135150594
ITC3,10.843709998639198
FI19,7.905086798121557
FI1B,9.871826946720127
FI1C,8.807376859972758
DEA1,9.028686942384391
DEA2,8.018537557935
DEA3,9.29369076402324
DEA4,8.647854015804388
DEA5,7.657410403198598
DEB1,9.253501017114642
DEB2,9.07097811602649
DEB3,11.27034501189022
DEC0,10.002260630112724
DED2,9.400907413265692
DED4,7.464231085189448
DED5,10.833644183640795
DEE0,10.80698553491764
DEF0,8.415329065835792
DEG0,8.267116894423326
DK01,8.546070445004567
DK02,8.806092301322513
DK03,8.439123788621385
DK04,8.333510482104206
ES41,29.93170962607665
ES42,44.56207559602334
HU23,16.093236535548154
HU31,16.998053444618247
HU32,17.71875970834261
HU33,18.323410187153296
IE04,3.624277022007156
EE00,8.48444548442371
EL30,38.41350679611818
EL41,36.109651671461435
EL43,38.85633629045806
EL51,25.0415248548785
EL52,24.41777228863232
FI20,5.949870891741602
FR10,12.64451115276657
FRB0,13.552099282818453
FRC1,11.231564428415968
FRC2,9.152729639008824
FRD1,9.01692878811555
FRD2,9.847897726720984
FRE1,8.853308316647988
FRE2,9.985620125540356
FRF1,9.47332275467393
NL13,7.353137202241273
NL21,8.506572698469524
NL22,8.959791746333885
NL23,8.069575893040984
NL31,8.933120251988841
NL32,6.209025296627706
ITG2,33.08785335679781
ITH1,3.4736720975749105
ITH2,4.140102489304233
FRI3,14.31958104679282
FRJ1,23.916371492513893
FRJ2,13.138386920435222
FRK1,10.71410762042102
FRK2,12.548552832166404
FRL0,24.478671324252158
FRM0,20.446174832400104
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,45.039220552549885
TR32,42.14148122967957
TR33,39.193744649685016
HR03,16.036282447878737
HR02,14.061343816683939
HU11,18.97926745415978
HU12,18.666262133165446
HU21,17.141206178869595
HU22,15.864984086601174
PT16,31.295177411587904
PT17,29.210815819412186
FRF2,10.295211305891028
FRF3,10.025144769037384
FRG0,13.103290071053795
FRH0,9.260227297195733
FRI1,12.45534131217392
FRI2,10.049625639923738
ITC4,12.710466469423075
ITF1,18.33975049194965
ITF2,23.3369035251125
ITF3,23.181590541717622
ITF4,31.772657834045727
ITF5,31.99394562052138
ITF6,23.880081685489092
ITG1,29.755649515563427
LT01,8.811326463776584
LT02,8.785807762352803
LU00,8.558871484295107
PL22,8.15787085823669
PL41,12.553070777137362
PL42,9.903159178975505
PT18,40.58103574569494
PT20,0.0
PT30,20.449991159286782
RO11,8.543338729585964
RO12,5.875733755010844
RO21,10.395717696827079
RO22,17.96773245037229
RO31,15.213915981524986
RO32,14.773450660731458
ITH3,10.674628188661233
ITH4,8.09006243978176
ITH5,18.594678022024787
ITI1,20.38314570402644
ITI2,25.456665626532565
ITI3,20.758862394629087
ITI4,23.23546138067691
LI00,2.222731338377794
FI1D,6.123964478580107
TR82,21.440112717564823
TR83,23.63803508091985
TR90,8.143182534386888
TRA1,20.577993267465537
TRA2,17.688657412876925
PL43,13.134692149159445
PL51,10.342119171898096
PL52,10.14598202238487
PL61,10.883879583188213
PL62,8.68714825980674
PL63,8.769997237281515
PL71,11.438342596982368
PL72,9.263250787841802
PL81,9.227278489702345
PL82,7.023418170120284
PL84,9.149894548669398
PL91,10.198878997178166
PL92,10.020815404698753
PT11,24.020726644678906
PT15,34.48023931622054
TRB1,44.55094544733281
TRB2,34.27550585738364
TRC1,55.38083840093078
RS12,17.683435869632053
RS21,13.588832253132436
RS22,16.689871856317087
SE11,8.29827760402415
SE12,9.573968268585238
NL33,7.591832975266522
NL34,8.132304215073749
NL41,9.19384349909904
NL42,9.009494136975617
PL21,6.167274914723589
UKM6,2.223708105802089
TR22,35.23671321244954
TRC2,61.37267864202239
TRC3,55.02022090458105
UKC1,6.827849352175237
UKC2,5.68492569866535
UKD1,3.912906652662111
UKD3,5.9752528950910655
UKD4,4.6318224335140314
UKD6,6.803112468177316
UKD7,5.404088460387974
UKE1,8.648505253150109
UKE2,7.267100306138938
UKE3,9.81470074424135
RO41,17.307643388957775
RO42,11.553237750840719
RS11,16.859599657275037
TR41,31.540145860774086
TR42,18.398564850233882
TR51,38.59321385241854
TR52,43.55010516315517
TR61,35.52663114108529
TR62,32.48311730230899
TR63,43.65964357183491
TR71,43.870090385101754
TR72,36.90281708075358
TR81,12.38373015275332
UKK1,9.593635992682
UKK2,8.050180789330442
UKK3,6.407170080205286
UKK4,6.540072940474169
UKL1,5.210016950782593
UKL2,6.733920073943559
UKM5,3.659171648725115
UKM7,4.2311967497279745
UKM8,3.864887930733294
UKM9,3.9410553200677794
UKN0,3.8410132133622144
SE21,9.331496054569211
SE22,9.085370879881088
SE23,8.075561043040267
SE31,8.265445394183075
SE32,6.671829413181477
SE33,5.731441183436457
SI03,8.743545224123135
SI04,7.884008697467973
SK01,16.51193471605685
SK02,14.408133929254111
SK03,8.44001266699685
SK04,8.445500656331017
TR10,24.387832509660438
TR21,30.229417969649283
UKE4,8.19958998471606
UKF1,9.880913402142316
UKF2,10.944870961715198
UKF3,10.362745565699472
UKG1,9.668219291561103
UKG2,8.208156950230546
UKG3,9.613935291534599
UKH1,9.500925493790199
UKH2,10.97900705229203
UKH3,9.847164354423928
UKI3,11.072111675913472
UKI4,11.072111675913472
UKI5,10.813652747641537
UKI6,10.562739168048614
UKI7,10.716914984682315
UKJ1,10.565350712588858
UKJ2,9.424373003718909
UKJ3,9.842714183155362
UKJ4,8.983661789648819
NO09,7.49827625396444
NO0A,2.74208989422972
NO0B,0.6167575556906603
HR05,13.06251819302978
HR06,12.54331824340532
NO02,5.593775936321212
NO06,3.0392384201736697
NO07,3.1983785281895747
NO08,7.601876294694368
