nuts,March Fire Weather Index (-) (1981 - 2010)
DE50,1.2762634596375222
DE60,1.1860970373519149
DE71,1.3120529662277645
DE72,1.009137498964628
DE73,1.0071918125792527
DE80,1.3353440611273104
DE91,1.223530575997669
BG41,2.8490187796385973
BG42,3.529374485415563
CH01,0.7407236952329324
AT32,0.5389428119318556
AT33,0.472929733327636
AT34,0.6326705888414448
BE10,1.940905728002245
BE23,1.909017778683633
BE24,1.8457920023106096
BE25,1.9592937849423775
BE31,1.8531800802453926
BE32,1.8269957556223824
BE33,1.3378266864201978
BE34,1.185396398775963
BE35,1.4385608260651055
BG31,5.292216124238553
BG32,4.760956154309495
BG33,4.367259688989254
BG34,3.823925159127701
DE92,1.2971852073700585
DE93,1.3447362775743703
DE94,1.320788856959608
CZ07,1.6706471007967831
CZ08,1.6803709833473874
AL01,2.0506119914641405
AL02,3.2246262544525317
AL03,3.066999172691718
AT11,3.4068603194770404
AT12,2.6138729729909893
AT13,3.6494876833875893
AT21,0.9976711001209095
AT22,1.4704466803880472
AT31,1.1775132742626202
DK05,1.293559764579273
BE21,1.7938599776301656
BE22,1.616352184753974
ES43,11.26297179753197
ES51,9.876836101319569
ES52,15.01955334084467
ES53,9.04593011123476
ES61,11.927280864122181
ES62,17.74907827575753
ES63,7.208892553207943
ES64,13.334092132492177
CH02,1.0304415354781236
CH03,1.339978137897238
CH04,1.2780353231063246
CH05,0.7208102029068562
CH06,0.8474112148032461
CH07,1.9962969527677084
CY00,8.758714172201696
CZ01,2.1542069049838255
CZ02,1.8891516407113902
CZ03,1.5465893089253342
CZ04,1.4704021074094373
CZ05,1.3566673780803562
CZ06,2.42988201338046
DE40,1.667564448045222
EL53,3.308465823824884
EL54,2.4178549808419003
EL61,3.4803591162085312
EL62,3.170833793025761
EL63,3.1797009724619496
ES70,18.41479023185861
ITC1,3.3063104573560604
ITC2,1.2176626924255523
DE11,1.3551802232071206
DE12,1.3515933671707847
DE13,1.2788793891720034
DE14,1.2699860544695682
DE21,1.4099121131055938
DE22,1.4632391566044982
DE23,1.2874771391687214
DE24,1.1455488399916427
DE25,1.4214462222201438
DE26,1.2311255230987757
DE27,1.3611082466410198
DE30,1.7078741822938892
EL42,7.646086100652294
LV00,0.8911945560909426
ME00,1.61459910427352
MK00,3.401388013200132
MT00,7.349596819681941
NL11,1.4127080170763384
NL12,1.2311460575817272
EL64,5.309281731834999
EL65,5.645727364886217
ES11,4.057933400857876
ES12,2.843977097359442
ES13,3.065594297743847
ES21,3.270441681967538
ES22,7.110371685505102
ES23,6.744451973794406
ES24,13.185949901688161
ES30,9.841929801602486
IE05,1.56918226386603
IE06,1.5486422985336858
IS00,0.39375983169760276
ITC3,3.66864173951417
FI19,0.44969550996020163
FI1B,0.5818355739840207
FI1C,0.48689542609572223
DEA1,1.4425682209906174
DEA2,1.245210148422946
DEA3,1.3675377695716335
DEA4,1.1870641309302945
DEA5,1.065182912381613
DEB1,1.2212959714787042
DEB2,1.1934379486529956
DEB3,1.5297528320376717
DEC0,1.3365113295945468
DED2,1.391223007154498
DED4,1.2147980307431085
DED5,1.761729033331322
DEE0,1.6643798104251593
DEF0,1.167982867328212
DEG0,1.2640064697499191
DK01,1.254921431689939
DK02,1.2517423989331666
DK03,1.2041027678190694
DK04,1.2852389447436416
ES41,7.785006899166168
ES42,12.11872907735664
HU23,3.6598638978741684
HU31,3.769949561237412
HU32,3.9329633618273854
HU33,4.043525993303632
IE04,1.1113448296202504
EE00,0.7017097757218335
EL30,7.991796512060484
EL41,6.281184255377442
EL43,8.088362819867628
EL51,3.770996014664711
EL52,4.185266662833336
FI20,0.7358484372391738
FR10,2.5006382276998664
FRB0,2.936876159847042
FRC1,2.1178891869355403
FRC2,1.8139913855581349
FRD1,2.168101105803795
FRD2,2.1548296313566593
FRE1,1.9683008344414257
FRE2,2.0469805335986795
FRF1,1.4609168986804753
NL13,1.5403679494352864
NL21,1.45306525485315
NL22,1.5350479251108307
NL23,1.505345166346677
NL31,1.6612506548571921
NL32,1.3723230934782396
ITG2,7.655451475070735
ITH1,0.6106444442583138
ITH2,1.36260188096414
FRI3,3.6708866772252224
FRJ1,7.013629828066747
FRJ2,3.640610887210407
FRK1,2.6864154356208756
FRK2,2.69631166913705
FRL0,7.105539620153999
FRM0,5.345968901841222
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,4.886959521829865
TR32,5.286257810371419
TR33,4.946885351348013
HR03,3.1980312529832564
HR02,3.370549667629045
HU11,4.039597799041752
HU12,4.03706184836975
HU21,3.6107365172136348
HU22,3.748119659148077
PT16,8.744101974452752
PT17,9.405083758916676
FRF2,1.7781143576059726
FRF3,1.5014256410611897
FRG0,3.1478568650428427
FRH0,2.6157477365960964
FRI1,3.892724758657172
FRI2,3.0333177324564184
ITC4,3.8956577187539323
ITF1,2.701071367243008
ITF2,3.6768541749194146
ITF3,2.948781897737797
ITF4,6.207551190722061
ITF5,5.388778162510893
ITF6,4.110357919731766
ITG1,6.752014188093158
LT01,0.8517768938329826
LT02,0.9978491100490704
LU00,1.2086382754972018
PL22,2.0771480653621297
PL41,1.9366729434175523
PL42,1.3697316761789746
PT18,12.432565571790052
PT20,0.0
PT30,6.817509167729791
RO11,2.0813554182022838
RO12,1.7858738262695628
RO21,3.1580663132591296
RO22,5.04754592631574
RO31,4.860457524594455
RO32,4.846629999589292
ITH3,2.955094776006886
ITH4,2.179244116456393
ITH5,4.497384518887492
ITI1,4.12704988656788
ITI2,3.5843507590855492
ITI3,3.489735127060474
ITI4,3.3337373225469435
LI00,0.6378554915857542
FI1D,0.26516145625543114
TR82,2.7049498623915382
TR83,3.020567867557824
TR90,0.8446603587246236
TRA1,0.868098696632172
TRA2,1.6515074592025802
PL43,1.793386127051386
PL51,1.7673788180714827
PL52,2.144609913104036
PL61,1.782968953975328
PL62,1.2522080184782816
PL63,1.3607621084396355
PL71,2.135738405988321
PL72,2.12118151446746
PL81,1.6583721539330973
PL82,1.5153601635582417
PL84,1.3553040810389507
PL91,1.5949352509333312
PL92,1.6755078872091171
PT11,6.311695293741609
PT15,11.496937151765602
TRB1,2.1536374214039107
TRB2,1.3695073865883707
TRC1,4.9356933911158425
RS12,4.578528729332328
RS21,3.1522730016549128
RS22,3.668109812235211
SE11,1.1633405805584216
SE12,1.3234024618693119
NL33,1.6047716010479427
NL34,1.7311408119921181
NL41,1.7073070200649916
NL42,1.5618954961309892
PL21,1.625524863148391
UKM6,0.9694170456502148
TR22,4.347148883508164
TRC2,6.575678674513144
TRC3,4.128228216246726
UKC1,2.158308637921073
UKC2,1.992478877832144
UKD1,0.8116032311113835
UKD3,1.2029178377256762
UKD4,1.0198185417576644
UKD6,1.4285747441084158
UKD7,1.2870462822604463
UKE1,2.8537824939725964
UKE2,2.111244754343348
UKE3,2.787579105046093
RO41,5.107318499765427
RO42,2.889457565334102
RS11,4.437393184542497
TR41,4.790327497349787
TR42,2.3151709676112
TR51,5.957332833664192
TR52,7.208193131893017
TR61,4.074539227848141
TR62,4.0054042973759305
TR63,3.697101765725319
TR71,6.6533753125016
TR72,3.659659962620312
TR81,1.669371846525717
UKK1,2.3434678469359063
UKK2,2.174842397932908
UKK3,1.9499996829625863
UKK4,1.9199543139342756
UKL1,1.2078289176167627
UKL2,1.3390720615763652
UKM5,1.3151365642029433
UKM7,1.0861407079104342
UKM8,0.859649578828313
UKM9,1.1594420207757152
UKN0,1.1094538141399686
SE21,1.379299932893121
SE22,1.255558366328655
SE23,1.024436191891888
SE31,0.889251585521159
SE32,0.4651751734033627
SE33,0.33554338740807427
SI03,2.627910043634685
SI04,2.277094816619059
SK01,3.69009327716821
SK02,3.1326944008176425
SK03,1.8102116722809132
SK04,1.7680390408824742
TR10,2.995447214743976
TR21,4.468874165670803
UKE4,2.081146773643117
UKF1,2.5685526040479623
UKF2,2.8402989824009346
UKF3,3.036120834281508
UKG1,2.29511790302476
UKG2,1.780825049325666
UKG3,2.23354092578929
UKH1,2.7822049138138163
UKH2,2.9534932417166013
UKH3,2.8520298074216974
UKI3,2.9101265194936623
UKI4,2.9101265194936623
UKI5,2.862248436628808
UKI6,2.7614526842283498
UKI7,2.731311989223532
UKJ1,2.6489902621472354
UKJ2,2.4721229143636574
UKJ3,2.4933128065333268
UKJ4,2.418881948075766
NO09,0.6815133677194993
NO0A,0.44978536591497154
NO0B,0.5033546016342129
HR05,3.0808944546769563
HR06,3.2561811392727322
NO02,0.4234173602292739
NO06,0.3800339460806294
NO07,0.28730358624347174
NO08,0.7014382236047616
