nuts,Summer Fire Weather Index (-) ensemble median - RCP8.5 - (2071 - 2100)
DE50,8.564836383799733
DE60,11.193294303838474
DE71,17.549937881133122
DE72,13.856183018581438
DE73,12.770969112546842
DE80,12.108159507325693
DE91,11.951210997507156
BG41,21.498538338603108
BG42,25.93303883177226
CH01,10.29529824781637
AT32,6.452045706286929
AT33,6.873309854143663
AT34,8.18311979083239
BE10,14.002079418462642
BE23,14.002180658678213
BE24,13.946811672080853
BE25,14.099466145708865
BE31,13.369117161828186
BE32,14.511839815177247
BE33,12.804366766723136
BE34,15.063178278502361
BE35,14.175716399777738
BG31,25.83610012510239
BG32,23.170800921866572
BG33,24.44573338287556
BG34,24.845032177650673
DE92,10.917482942998742
DE93,11.393968705156324
DE94,9.694511666298352
CZ07,15.080399020497222
CZ08,12.331248388197098
AL01,25.177252475808405
AL02,31.751784483633138
AL03,34.045893089053564
AT11,17.848328887669574
AT12,14.523002420468828
AT13,18.670012925153816
AT21,7.786164911607179
AT22,8.362793317691027
AT31,9.3287872184018
DK05,8.845540097822
BE21,13.475596038945618
BE22,13.631054471501752
ES43,46.09404929295202
ES51,31.020843512945344
ES52,42.25805086086959
ES53,31.257565752188754
ES61,45.475508815420156
ES62,47.98766249791717
ES63,0.0
ES64,0.0
CH02,11.11977948713532
CH03,13.334903707388722
CH04,12.849493928742422
CH05,9.469046898162361
CH06,9.15041807166952
CH07,9.91776394853886
CY00,45.604362017708155
CZ01,14.463748072612434
CZ02,14.435607962410856
CZ03,11.897666971514159
CZ04,13.118713598455379
CZ05,13.403030618703157
CZ06,15.896763377014558
DE40,13.634896531253869
EL53,32.003091580419415
EL54,33.931875160639734
EL61,34.69183021062447
EL62,0.0
EL63,40.69171419914491
ES70,0.0
ITC1,17.261555088373175
ITC2,12.795823468749104
DE11,15.50348474739204
DE12,16.68470344330389
DE13,14.122442488768787
DE14,12.12604604772299
DE21,9.988573779152784
DE22,12.088757237128467
DE23,13.880282525686894
DE24,14.539283070307759
